"","male","black","white","edu","hours","age","inc_labor","int_id"
"5382",0,0,1,15,1860,45,18492,4083
"5434",1,0,1,14,2904,31,65148.12109375,3541
"5439",1,1,0,13,2080,38,96480,512
"5468",0,0,1,12,2295,25,26130,4577
"5470",0,0,1,15,160,29,1527.59997558594,5346
"5487",0,0,1,9,1164,48,15778.5,4686
"5496",0,0,1,14,2230,25,31155,729
"5522",1,0,1,16,2068,34,70350,4730
"5558",1,0,1,11,1428,32,14803.650390625,1582
"5562",0,0,1,12,2218,25,31721.8203125,4272
"5608",1,0,1,17,2168,36,48240,4343
"5614",1,0,1,17,2223,29,76380,3638
"5638",0,0,1,14,196,59,12060,3643
"5654",0,0,1,12,0,27,0,2585
"5662",0,1,0,12,1392,33,6831.990234375,3919
"5683",0,0,1,14,1936,31,22110,25
"5685",1,0,1,13,2000,31,32160,3437
"5690",1,0,1,13,2000,26,30150,4318
"5691",0,0,1,12,0,30,0,2833
"5702",1,0,1,16,1528,40,74370,2325
"5708",0,0,1,14,0,37,0,1564
"5715",0,0,1,14,1314,52,106530,3704
"5736",1,0,1,14,2554,40,76380,3825
"5738",1,0,1,16,2500,37,224414.484375,1336
"5784",0,0,1,12,1851,59,13404.6904296875,477
"5810",0,0,1,11,936,55,13185.599609375,2029
"5817",1,0,1,12,2030,27,22110,3526
"5841",1,0,1,12,1720,47,28140,522
"5850",0,0,1,12,2116,52,62310,6703
"5859",0,1,0,16,1868,37,70350,1616
"5868",1,0,1,16,2152,42,58893,259
"5890",0,0,1,12,1688,41,18090,305
"5909",0,0,1,12,2500,58,32160,3374
"5922",0,0,1,14,2058,32,32383.109375,6025
"5929",0,0,1,16,920,31,16080,4014
"5935",0,0,1,13,1952,36,20100,3059
"5983",1,0,1,12,2040,42,53265,3487
"6018",0,0,1,12,74,35,241.199996948242,3011
"6044",1,0,1,16,1976,32,80691.453125,5304
"6051",1,0,1,16,2310,50,66330,6239
"6053",0,0,1,17,0,33,0,2119
"6055",1,1,0,17,1790,39,74370,1616
"6070",0,0,1,14,653,32,2572.80004882812,1357
"6098",1,0,1,16,2287,32,128640,3473
"6117",1,0,1,10,3120,46,0,3421
"6151",0,0,1,14,2309,26,38190,2050
"6170",0,0,1,17,1920,30,18090,7105
"6190",0,0,1,16,0,41,0,2217
"6203",0,0,1,14,1266,36,10050,2760
"6209",1,0,0,12,2288,29,36381,5366
"6217",0,0,1,11,0,48,0,3291
"6220",0,0,1,12,0,46,0,6544
"6228",0,0,1,10,2142,46,30150,4948
"6281",1,0,1,17,853,32,134670,1863
"6287",1,1,0,12,2010,35,30753,368
"6295",0,0,1,12,490,37,9045,3497
"6300",0,0,1,17,2132,49,96480,3053
"6397",1,0,1,12,2550,55,104520,2559
"6416",0,0,1,13,1944,31,28367.130859375,237
"6421",0,0,1,14,1992,30,44220,4224
"6452",0,0,1,12,936,40,6030,5347
"6457",1,0,1,12,2555,34,32712.75,4847
"6495",0,0,1,14,2000,59,26130,6026
"6503",0,0,1,17,1858,40,44220,4973
"6535",0,0,1,17,2062,35,37830.2109375,182
"6574",0,0,1,12,1422,32,26130,6999
"6592",1,0,1,12,2115,27,30150,4640
"6608",0,0,1,12,0,51,0,5388
"6623",1,0,1,14,2250,35,48240,2524
"6644",0,0,1,11,880,49,0,5444
"6645",1,0,1,16,2470,41,72360,1691
"6681",0,0,1,12,2080,29,7718.39990234375,1515
"6686",0,0,1,7,3000,54,36180,4661
"6703",1,0,1,12,1400,34,19698,4997
"6729",0,1,0,12,2090,38,40803,6177
"6753",1,0,1,17,2620,29,81405,5565
"6851",0,0,1,12,0,60,0,187
"6859",1,0,1,17,680,30,12060,4291
"6867",0,0,1,12,82,38,0,322
"6872",1,0,1,13,1854,48,62310,3361
"6882",1,0,1,16,2381,38,73164,6315
"6902",0,1,0,12,1202,25,10050,163
"6907",0,0,1,12,0,57,0,4610
"6912",0,0,1,12,0,56,0,6185
"6931",0,0,1,12,1750,41,13292.1298828125,3800
"6942",1,0,1,12,2000,59,54270,3977
"7023",0,0,1,12,3016,49,31171.080078125,1103
"7031",1,0,1,12,2144,53,22110,3937
"7055",0,0,1,13,0,35,0,6543
"7061",1,0,1,16,4000,35,180900,6472
"7081",1,0,1,12,2134,28,57285,4910
"7089",0,0,1,11,1794,43,6432,293
"7104",1,0,1,16,3138,36,58428.69140625,2307
"7111",0,0,1,14,3032,34,46873.19921875,2951
"7142",0,0,1,16,2541,39,102510,569
"7153",1,0,1,16,2880,44,112560,3993
"7159",1,0,1,17,2004,41,27289.76953125,4243
"7177",0,0,1,12,906,26,6231,6421
"7211",1,0,1,9,1984,30,33948.8984375,4549
"7213",0,0,1,12,1957,36,38190,1609
"7216",0,0,1,12,816,33,20100,5048
"7218",1,0,1,12,3032,30,69168.1171875,2458
"7220",0,0,1,12,2000,29,32160,4058
"7228",0,0,1,12,0,49,0,2943
"7254",0,0,1,12,0,56,0,664
"7276",1,0,1,17,428,27,4020,3447
"7283",1,0,1,12,492,37,8040,1214
"7298",0,0,1,12,0,59,0,3794
"7330",1,0,1,17,3831,34,130935.421875,4061
"7333",1,0,1,10,1728,41,46246.078125,583
"7347",0,0,1,16,1000,38,28140,3404
"7349",0,0,1,12,1664,55,15075,3977
"7350",1,0,1,14,1904,44,76380,4829
"7358",1,0,1,13,2040,39,17085,2569
"7363",0,0,1,12,1896,39,24120,1986
"7367",0,0,1,12,1010,32,10452,213
"7403",1,0,1,6,2500,59,84420,2166
"7405",1,0,1,14,2310,41,30150,2433
"7415",0,0,1,12,1920,33,44220,5598
"7445",0,0,1,14,456,40,12060,5167
"7483",0,0,1,12,0,54,0,6800
"7496",0,0,1,17,1666,38,48240,6479
"7505",1,0,1,12,1344,26,24120,1405
"7524",1,0,1,17,1005,30,36180,6737
"7543",0,0,1,17,123,39,1248.2099609375,1336
"7555",1,0,1,10,2751,47,16783.5,4003
"7568",0,0,1,17,0,29,0,889
"7585",1,0,1,14,2078,42,34170,2168
"7610",1,0,1,12,1440,27,21306,2105
"7686",0,0,1,8,2042,36,28140,1041
"7736",1,0,1,12,2550,32,66330,1003
"7744",1,0,1,8,0,44,0,7042
"7746",0,0,1,13,2080,54,34170,3661
"7798",1,0,1,16,2860,41,100500,410
"7800",1,0,1,13,1982,42,40200,1675
"7827",1,0,1,8,2819,40,20904,2294
"7837",1,0,1,17,1892,39,64923,1703
"7853",0,0,1,12,1250,33,20100,2023
"7856",1,0,1,13,2600,40,60300,6288
"7878",0,0,1,12,1523,43,44220,6806
"7891",0,0,1,12,1790,33,40200,937
"7892",1,0,1,12,2805,30,60300,2509
"7896",1,0,1,17,2648,30,65672.7265625,2326
"7902",1,1,0,11,2216,40,28140,689
"7904",1,0,1,12,2205,45,50250,3912
"7924",1,0,1,12,1905,35,54270,1303
"7988",0,0,1,15,1708,38,48240,148
"8007",1,0,1,14,2205,27,43215,3768
"8013",1,0,1,17,1764,26,53265,2102
"8020",1,0,1,14,1968,35,56883,2716
"8028",0,0,1,14,1954,28,20100,2562
"8081",1,1,0,14,1984,35,47536.5,4276
"8085",0,1,0,12,2024,30,38330.69921875,4276
"8088",0,0,1,14,1574,39,26130,259
"8129",0,0,1,14,2081,47,34170,1040
"8151",0,0,1,16,774,53,3015,6393
"8152",0,0,1,14,0,25,0,1644
"8154",0,0,1,12,1696,56,28140,4879
"8156",1,1,0,11,700,29,5238.06005859375,5289
"8190",1,0,1,12,1924,32,58766.37109375,6474
"8204",1,0,1,10,416,33,7236,3077
"8205",0,1,0,12,2040,28,12060,5075
"8214",0,0,1,12,996,55,16075.98046875,2863
"8242",1,0,1,13,1934,40,46230,2272
"8247",1,0,1,14,2323,45,100500,2708
"8258",1,0,1,13,2076,29,61779.359375,2829
"8303",0,0,1,16,1098,49,30150,6333
"8322",0,0,1,14,2214,55,59918.1015625,5171
"8339",1,0,1,14,2340,31,62310,6369
"8345",0,0,1,14,2408,39,68139,2739
"8346",0,0,1,12,0,28,0,6155
"8357",0,0,1,12,2429,33,46674.2109375,6620
"8359",1,0,1,16,2684,33,70036.4375,4215
"8391",0,0,1,16,1476,40,32160,644
"8405",1,0,1,12,2277,29,36180,3511
"8423",0,0,1,14,1539,34,17085,1447
"8424",0,0,1,14,1446,32,8040,2114
"8483",0,0,1,14,2450,29,94470,5725
"8490",0,0,1,14,2000,37,27313.890625,5345
"8508",1,0,1,16,490,31,61272.83984375,2209
"8509",0,0,1,12,0,57,0,4732
"8513",0,0,1,13,0,28,0,4818
"8527",1,0,1,16,3600,36,40728.62890625,4287
"8535",0,0,1,16,0,38,0,1690
"8551",0,0,1,16,960,44,12060,3993
"8573",1,0,1,16,2728,40,160800,2063
"8580",1,0,1,17,1840,39,47249.0703125,2145
"8591",1,0,1,17,2288,58,29699.759765625,4503
"8597",0,1,0,13,1771,50,46230,3237
"8620",1,0,1,12,1861,30,71523.84375,1206
"8624",0,0,1,16,1512,33,44220,3350
"8630",1,0,1,12,2040,30,9085.2001953125,3866
"8631",1,0,1,16,130,26,0,2618
"8637",0,0,1,11,2728,27,68340,1055
"8645",0,0,1,2,0,58,0,6916
"8683",0,0,1,16,1992,30,52260,3443
"8704",0,0,1,12,0,59,0,3019
"8710",1,0,1,17,2450,35,82410,6227
"8727",0,0,1,12,1032,25,16719.1796875,4322
"8734",1,0,1,17,2084,29,70350,4347
"8738",1,0,1,12,1739,43,50250,54
"8743",1,0,1,14,1648,26,14070,3776
"8798",1,1,0,9,2100,35,39462.328125,3919
"8815",0,0,1,13,85,55,7987.740234375,4850
"8817",0,0,1,12,1968,27,26130,6218
"8836",0,0,1,12,1868,39,56280,4998
"8847",1,0,0,17,0,45,16080,6998
"8866",0,0,1,12,2836,42,17889,2347
"8878",1,0,1,17,2232,41,83549.671875,6543
"8886",1,0,1,13,1903,38,16683,748
"8902",0,0,1,12,0,32,0,6499
"8907",0,0,1,12,1952,34,42210,6092
"8908",1,0,1,17,1350,30,23115,7000
"8946",0,0,1,16,1800,36,100500,5861
"8954",1,0,1,16,2600,34,133464,6471
"8955",1,0,1,17,1904,29,84420,4812
"8961",0,0,1,12,1300,52,10050,5015
"8974",1,0,1,16,2131,59,134268,5835
"8975",0,0,1,16,1920,42,54800.640625,4632
"8976",1,0,1,17,2107,39,81845.1875,7072
"8979",1,0,1,16,2016,37,96170.4609375,3170
"8983",0,0,1,16,1551,40,32953.94921875,4970
"8990",0,0,1,12,0,55,0,5835
"8993",0,0,1,17,2155,47,74370,4437
"9006",1,0,1,12,2470,43,90450,944
"9021",1,0,1,12,1920,57,33366,24
"9025",0,0,1,17,790,28,10653,5315
"9038",0,0,1,13,2040,34,38592,3733
"9061",1,0,0,15,2709,32,35175,784
"9062",0,0,1,17,2000,35,40200,4636
"9066",1,0,0,8,2184,40,76380,3285
"9089",1,0,1,16,2496,28,90450,6767
"9146",0,0,1,13,2340,32,6834,1790
"9158",1,0,1,17,2930,57,111333.8984375,2118
"9195",1,0,1,12,1888,42,70350,4494
"9218",0,0,1,12,1750,53,28140,1254
"9239",1,0,1,12,2400,26,26431.5,7013
"9247",0,0,1,12,1940,26,46230,901
"9251",0,0,1,12,3120,40,44220,6688
"9271",0,0,1,12,1972,35,16080,1555
"9291",0,0,1,16,1300,33,17085,5650
"9295",0,0,1,13,1974,26,26130,4598
"9296",1,0,1,12,2480,40,16080,1925
"9324",0,0,1,12,1368,46,34250.3984375,1408
"9344",1,0,1,14,2940,35,76380,3944
"9371",0,0,1,17,1640,44,62310,5644
"9426",0,0,1,14,0,35,0,5387
"9433",0,0,1,15,176,25,1863.27001953125,1074
"9435",0,0,1,12,2172,53,26130,1430
"9455",0,1,0,12,2468,36,27155.099609375,4591
"9485",0,1,0,10,0,32,0,2881
"9499",0,0,1,12,480,37,8040,2912
