"","male","black","hours","age","inc_labor","works","int_id"
"5961",1,1,3470,29,28380,1,4562
"5983",1,0,2040,57,40248,1,818
"6011",1,0,1908,58,32250,1,7017
"6018",0,0,967,50,6450,1,3342
"6029",0,0,1032,31,10320,1,2777
"6041",0,0,2205,44,51600,1,1222
"6044",1,0,1944,47,94170,1,3305
"6053",0,0,1815,48,14250.6298828125,1,3
"6055",1,1,1854,54,85140,1,3716
"6064",0,0,2080,30,35346,1,632
"6070",0,0,1716,47,12384,0,1067
"6098",1,0,2880,47,206400,1,1185
"6113",0,0,1600,35,15609,1,6208
"6151",0,0,1896,41,73530,1,7437
"6153",0,0,0,44,0,0,2556
"6158",0,0,786,26,20640,0,2034
"6167",1,0,2362,26,36120,1,5685
"6179",1,0,5508,51,63919.5,1,4380
"6189",0,0,856,28,19348.7109375,1,4081
"6190",0,0,1692,56,59340,1,3503
"6192",1,0,2262,33,35475,1,2287
"6199",1,0,3528,27,64500,1,7446
"6203",0,0,1444,51,23220,1,2548
"6209",1,0,2064,44,54180,1,2619
"6260",0,0,980,57,15480,1,2855
"6261",0,0,1748,39,34830,0,5962
"6281",1,0,1960,48,258000,1,6567
"6293",1,0,0,52,0,0,919
"6344",1,0,1864,50,154800,0,1498
"6353",1,0,1772,25,29716.439453125,0,2695
"6416",0,0,1860,46,39990,1,6759
"6421",0,0,1864,45,82302,1,7111
"6440",0,0,2410,48,14835,1,2463
"6445",1,0,2420,36,53664,1,7726
"6452",0,0,0,55,0,0,988
"6478",1,0,2175,26,110940,1,6156
"6487",0,1,260,32,1419,0,4439
"6490",1,0,2115,28,49764.328125,1,7724
"6503",0,0,1464,55,49020,1,3395
"6535",0,0,1266,50,14319,1,310
"6574",0,0,2071,47,49020,1,2586
"6592",1,0,512,42,8228.91015625,1,5605
"6636",0,0,2000,29,77400,1,7142
"6681",0,0,1200,44,19350,1,1109
"6703",1,0,2288,49,28380,1,2933
"6706",0,0,0,28,0,0,744
"6719",1,0,2970,26,43860,1,4469
"6729",0,1,1896,53,49020,1,3228
"6745",0,0,0,31,0,0,2561
"6753",1,0,2750,44,279930,1,2499
"6764",0,0,1494,51,14190,1,5382
"6775",1,0,2232,37,63210,1,2262
"6810",1,0,2008,47,46440,1,2415
"6825",1,0,2040,26,64500,1,2538
"6848",0,0,1656,26,41280,1,3754
"6859",1,0,2550,45,139320,1,1822
"6867",0,0,1901,53,10320,1,56
"6874",1,0,2868,29,64500,1,978
"6882",1,0,3000,52,58050,1,160
"6902",0,1,0,41,0,0,4444
"6930",0,0,2300,48,55470,1,5949
"6931",0,0,780,55,5165.16015625,1,484
"6932",0,0,2250,27,55470,1,2896
"6948",1,0,3424,41,64500,1,2776
"6961",0,0,2670,49,19350,1,1374
"6965",1,0,1912,37,90300,1,6379
"6977",1,1,2547,35,38055,1,4934
"6999",0,0,1536,55,51600,1,2840
"7024",0,0,1428,36,64500,1,5538
"7055",0,0,260,49,9030,1,2277
"7061",1,0,3335,50,141900,1,2556
"7062",0,0,1224,28,38700,1,1518
"7064",0,0,140,32,9030,0,6247
"7081",1,0,3000,43,60501,1,4992
"7087",0,0,3816,60,32250,1,725
"7089",0,0,1206,58,29670,1,4247
"7091",0,0,2673,29,71982,1,6510
"7104",1,0,1928,52,0,1,697
"7111",0,0,2695,49,0,1,6278
"7135",1,0,816,43,38184,1,956
"7142",0,0,1928,54,76980.75,1,190
"7153",1,0,2600,59,89010,1,1576
"7159",1,0,2000,56,0,1,510
"7163",1,0,0,30,0,0,2816
"7177",0,0,2160,42,123840,1,7539
"7189",1,0,2090,31,50310,1,5938
"7207",0,0,3120,32,71315.0703125,1,5370
"7211",1,0,1904,45,33540,1,3963
"7213",0,0,1832,51,42570,1,2376
"7216",0,0,1882,48,32198.400390625,1,6239
"7220",0,0,1854,44,12900,0,4324
"7233",1,0,3780,26,54954,1,2368
"7241",0,0,1624,26,16770,1,3070
"7276",1,0,2700,42,82560,1,2926
"7278",0,0,2808,48,135450,1,1957
"7288",0,0,1760,25,22833,1,5685
"7299",0,0,1920,48,58050,1,1452
"7333",1,0,1976,56,23220,1,346
"7342",0,0,0,31,0,0,3574
"7347",0,0,3240,54,58050,1,5082
"7350",1,0,1920,59,42828,1,4751
"7363",0,0,1944,54,32012.640625,1,254
"7367",0,0,952,47,23220,1,931
"7405",1,0,2793,56,65790,1,2855
"7415",0,0,1888,48,49020,1,2064
"7423",1,0,3000,39,31863,1,5510
"7430",0,0,2039,28,32250,0,6047
"7443",0,0,691,27,23220,1,2953
"7445",0,0,0,55,0,0,6122
"7459",1,0,2000,36,90300,1,5966
"7473",0,1,2223,28,54180,1,6554
"7479",1,1,0,56,0,0,829
"7496",0,0,1900,53,70001.8515625,1,3694
"7505",1,0,2064,41,51600,1,2475
"7506",0,0,1000,39,90300,1,7632
"7512",1,0,1305,37,258000,1,1646
"7524",1,0,1828,45,0,1,7187
"7525",0,0,2496,36,49020,1,6427
"7543",0,0,2072,54,51600,1,4193
"7547",1,0,1968,25,72240,1,148
"7565",0,0,674,45,10320,1,3661
"7568",0,0,2470,44,70685.546875,1,3956
"7585",1,0,0,57,0,0,2993
"7597",1,0,2522,35,54180,1,3615
"7601",1,0,1840,37,77400,1,5763
"7603",0,0,0,49,0,0,1021
"7610",1,0,0,42,0,0,4428
"7613",0,0,2232,38,81270,1,3064
"7635",1,0,2550,39,69660,1,7366
"7640",1,0,1984,32,54180,1,3384
"7675",0,0,920,27,19350,1,2580
"7680",0,0,0,52,0,0,4538
"7686",0,0,2250,51,19813.109375,1,938
"7693",0,1,2080,38,19350,1,6086
"7702",1,0,2670,26,183180,1,6999
"7711",0,0,0,41,0,1,5072
"7758",1,0,2204,26,45150,1,5814
"7791",1,0,731,54,38700,1,1898
"7798",1,0,0,56,0,0,5135
"7800",1,0,1960,57,69660,1,4485
"7807",1,0,3927,34,46440,1,648
"7827",1,0,1920,54,23220,1,639
"7834",0,0,2544,25,24793.80078125,1,4452
"7837",1,0,1833,54,52890,1,1889
"7853",0,0,840,48,15480,1,2198
"7856",1,0,3458,54,25800,1,1657
"7878",0,0,1880,58,89010,1,5608
"7879",0,0,2000,26,38700,1,3447
"7892",1,0,2728,45,72240,1,1712
"7896",1,0,1800,45,101948.703125,1,4718
"7951",0,0,897,26,32250,0,978
"7961",1,0,2580,29,58050,1,1793
"7985",1,0,2040,28,20640,1,7716
"7987",1,0,1722,55,72885,1,5247
"7988",0,0,1944,54,70047,1,6675
"8007",1,0,1413,42,0,0,6899
"8013",1,0,2390,41,98040,1,1444
"8016",1,0,0,31,0,0,5294
