"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"55015",1,0,1,15,0,60,0,6037,0,1,118560
"55038",1,0,1,9,2333,27,54221.44140625,2931,2,1,54221.44140625
"55056",1,0,1,16,2730,26,41990,3155,0,0,42978
"55082",1,0,1,12,827,36,8385.650390625,2131,2,1,49081.37109375
"55087",0,0,1,12,792,41,7335.89990234375,5357,1,1,104636.609375
"55096",1,0,1,16,2405,28,49400,981,1,1,60515
"55097",1,0,1,16,2000,39,246997.53125,3487,2,1,529815
"55127",1,1,0,9,2080,55,86450,2572,0,1,103386.7890625
"55141",0,0,1,15,2080,26,17290,4244,0,1,34580
"55163",0,0,1,12,1702,46,18772,2462,0,1,87932
"55183",0,0,1,14,782,37,7410,2330,3,0,40310.3984375
"55184",0,0,1,12,0,26,0,5205,2,1,44460
"55198",0,0,1,8,1760,55,17290,4368,0,1,75582
"55232",1,0,1,12,2696,38,76570,1997,3,1,83782.3984375
"55244",1,1,0,12,1560,45,53846,3040,0,0,76570
"55257",0,0,1,12,1868,43,17509.830078125,6529,2,1,44371.078125
"55280",0,0,1,10,0,50,0,4455,0,1,98800
"55304",0,0,1,14,2640,28,29195.400390625,5762,0,1,112385
"55322",1,0,1,12,1730,28,40755,2216,2,1,45991.3984375
"55323",0,0,1,12,2295,29,24700,42,0,1,116090
"55336",1,0,1,17,2304,50,246997.53125,3353,0,1,247988
"55414",0,0,1,12,0,53,0,3214,1,0,44390.83984375
"55428",1,0,1,16,2575,30,9324.25,1140,1,1,29022.5
"55432",0,0,1,12,1375,33,4539.85986328125,493,2,1,45615.9609375
"55448",0,1,0,11,952,27,13239.2001953125,990,0,0,32999.19921875
"55450",1,0,1,12,1388,53,29640,4151,1,1,80126.796875
"55462",0,0,1,12,0,36,0,4808,2,1,84021.9921875
"55494",1,0,1,13,2480,36,197600,2112,0,1,259350
"55516",0,0,1,17,60,54,741,4721,2,1,72741.5
"55517",0,0,1,14,2021,27,35815,4363,0,0,35815
"55527",0,1,0,3,0,59,0,5415,0,0,29289.259765625
"55528",1,0,1,14,2346,28,97318,5163,0,1,114030.0234375
"55536",1,0,1,14,1924,27,42298.75,4689,2,1,67739.75
"55557",0,0,1,12,1960,45,37926.8515625,1475,0,0,40100.44921875
"55605",0,0,1,12,912,55,7410,1401,0,1,133380
"55607",0,0,1,16,600,42,6175,483,0,0,10744.5
"55634",1,0,1,16,2805,30,37050,1053,2,1,41249
"55641",0,0,1,12,910,27,7410,6151,3,1,40137.5
"55660",1,0,1,12,1835,29,30613.1796875,44,2,1,47312.8515625
"55680",0,0,1,12,3480,38,39767,5042,0,0,40080.69140625
"55697",1,0,1,16,2250,34,86450,5623,0,1,149682
"55698",0,0,1,12,900,30,7410,3463,1,1,59280
"55699",1,1,0,12,1944,29,56570.41015625,52,0,0,77703.7265625
"55708",0,0,1,12,776,30,6422,1926,3,1,80620.796875
"55734",1,0,1,14,2500,33,123500,3111,0,1,167960
"55750",1,0,1,12,1439,41,51870,2679,0,1,67702.703125
"55761",0,0,1,14,84,54,1482,3803,0,1,196513.203125
"55799",1,0,1,16,1880,36,51870,2538,1,1,82745
"55829",1,0,1,12,1672,46,59280,1865,2,1,97009.25
"55833",1,0,1,12,2280,49,83980,5615,0,1,128440
"55849",1,0,1,12,1900,29,53105,2956,0,0,53747.19921875
"55872",0,0,1,16,1560,42,29640,3083,1,1,184015
"55916",0,0,1,16,1704,25,17290,2736,0,1,52364
"55923",1,0,1,12,2318,27,41002,2612,0,1,58292
"55925",0,0,1,15,2331,29,19382.08984375,1836,1,0,25804.08984375
"55927",1,0,1,13,1920,43,96330,2518,2,1,141778
"55929",0,1,0,11,0,42,0,5303,0,0,11974.5595703125
"55964",1,0,1,17,2318,47,81510,609,4,1,90155
"55971",0,0,1,13,0,28,0,3082,2,1,103964.7734375
"55993",1,0,1,14,2126,38,64220,4303,1,1,96379.3984375
"56002",1,0,1,15,2696,30,43225,4312,2,1,80275
"56040",0,0,1,12,0,58,0,1671,0,1,107198
"56041",0,1,0,16,2039,51,33345,3848,0,1,103987
"56042",1,0,1,16,2380,42,93613,528,1,1,125278.3984375
"56060",1,0,1,12,2296,25,59280,6146,0,1,92872
"56103",1,0,1,16,1747,25,49400,5664,0,1,100529
"56106",1,0,1,12,2550,28,30319.25,3027,2,1,54340
"56126",0,0,0,12,1504,46,16055,647,0,1,94107
"56153",0,0,1,13,3156,35,46732.3984375,3123,1,1,89216.3984375
"56172",0,0,1,14,735,58,24700,4899,0,1,175370
"56174",1,1,0,12,976,28,14820,1908,0,1,34876.3984375
"56185",1,0,1,17,1760,59,123500,4899,0,1,175370
"56189",0,0,1,17,240,33,6175,4248,2,1,128193
"56197",1,0,1,17,2276,32,47300.5,138,1,1,64644.83984375
"56224",1,0,1,12,1040,29,22230,4702,3,1,29936.400390625
"56312",1,0,1,17,2205,56,123500,1901,0,1,139555
"56415",1,0,1,12,670,28,9880,358,1,1,46090.19921875
"56420",1,0,1,17,2232,28,66694.9375,4150,0,1,101521.9375
"56449",0,0,1,13,1747,31,19760,5617,1,0,42402.48828125
"56453",1,0,1,10,0,25,0,310,4,1,4446
"56473",0,0,1,12,2998,27,36803,4611,2,1,96749.8984375
"56474",1,0,1,17,1357,27,26923,160,4,1,31616
"56502",1,0,1,12,1080,55,51946.5703125,5723,0,1,75488.140625
"56505",1,0,1,12,2208,34,76570,2040,2,1,79059.7578125
"56511",1,1,0,11,1840,60,39520,3118,1,1,71951.1015625
"56513",1,1,0,11,1980,43,30875,4261,1,1,53105
"56526",0,0,1,9,0,60,0,691,0,1,28938.51953125
"56535",0,0,1,12,1537,56,19760,1627,0,1,168782.515625
"56537",1,0,1,11,2458,52,20849.26953125,2737,0,1,96330
"56547",0,0,1,14,0,26,0,5420,1,1,59280
"56551",1,0,1,8,0,59,0,4499,0,1,30134
"56556",1,0,1,12,2100,40,43225,3066,1,1,73754.203125
"56559",1,0,1,12,2163,28,69160,3757,1,1,106704
"56560",0,0,1,12,0,47,0,1268,4,1,105345.5
"56562",1,0,1,8,855,55,6335.5498046875,3690,0,1,11275.5498046875
"56626",0,0,1,12,1000,49,7410,3985,0,1,40755
"56652",0,0,0,12,1896,38,46189,4943,1,1,110194.109375
"56658",0,0,1,12,0,27,0,2931,2,1,54221.44140625
"56671",1,0,1,12,2805,26,33345,4790,0,1,58168.5
"56692",1,0,1,15,2500,27,14664.3896484375,352,1,1,37247.6015625
"56798",0,0,1,12,1872,42,22230,333,1,1,24082.5
"56822",0,0,1,12,387,52,2754.05004882812,2122,0,1,51907.05078125
"56828",1,0,1,17,1968,34,66690,2777,1,1,68913
"56922",1,0,1,17,1768,34,175370,496,2,1,175370
"56995",1,0,1,12,2420,33,86450,4396,2,1,86450
"57046",0,0,1,12,832,32,13585,2821,2,1,80275
"57052",1,0,1,12,2392,45,45307.2109375,797,1,1,52991.37890625
"57056",0,0,1,12,1200,53,13585,6041,1,1,76320.53125
"57085",1,0,0,8,0,54,0,6426,0,0,15516.5400390625
"57102",1,0,1,17,2250,38,111150,598,0,1,146965
"57152",0,0,1,15,1300,41,15748.7197265625,2944,2,0,50723.921875
"57185",0,0,1,14,720,39,8892,2010,0,1,22427.599609375
"57205",0,0,1,16,1470,37,16635.44921875,5337,3,1,96330
"57208",1,0,1,12,2570,53,20809.75,1704,0,1,58909.5
"57209",0,0,1,6,0,41,0,3129,1,1,33871.109375
"57211",1,0,1,14,2050,38,36810.41015625,810,2,1,71390.40625
"57251",0,0,1,16,1200,36,39520,2722,1,1,103740
"57257",1,0,1,15,2105,25,65455,4313,2,1,79818.046875
"57263",1,0,1,17,2475,45,113620,3920,0,1,147293.515625
"57295",1,0,1,12,2397,33,43719,1241,1,0,52171.33984375
"57350",0,0,1,17,1014,54,49859.421875,3505,0,0,114803.1328125
"57364",1,0,1,16,3120,40,56192.5,3587,1,1,94230.5
"57366",1,0,1,16,2380,34,170430,6415,3,1,180680.5
"57380",0,0,1,17,1855,31,34580,139,0,0,45882.71875
"57383",1,0,1,12,1673,32,61750,4812,0,1,108927
"57405",0,0,1,17,810,28,6577.60986328125,5401,0,1,20748
"57532",0,1,0,12,2632,26,81510,4677,0,1,158080
"57592",1,0,1,12,3606,46,28397.58984375,4106,2,1,78546
"57611",1,0,1,12,2250,31,57798,3461,1,1,105222
"57639",1,0,1,12,2020,37,74100,5674,1,1,139159.796875
"57664",1,0,1,12,2009,26,33878.51953125,1782,1,1,42565.51171875
"57696",1,0,1,16,2025,50,100035,1790,1,1,154375
"57702",0,0,1,12,0,58,0,1957,0,1,69530.5
"57787",0,0,1,12,1144,54,11856,577,1,1,43966
"57791",1,0,1,12,0,59,0,107,0,1,53391.51953125
"57797",1,0,1,8,1160,51,44460,270,0,1,59188.609375
"57813",1,0,1,17,2232,25,69160,5763,0,0,69407
"57822",1,0,1,12,3332,42,37600.80859375,2059,3,1,38079.98828125
"57828",0,0,1,13,2252,52,32110,5921,0,0,34580
"57848",1,0,1,12,796,25,17290,1156,2,1,28405
"57859",1,0,1,16,2352,39,71630,2995,1,1,127205
"57882",1,1,0,11,4048,52,61750,3848,0,1,103987
"57893",0,0,1,14,1788,48,4940,6141,0,1,73620.8203125
"57904",1,0,1,17,1864,43,83980,4583,0,0,85462
"57905",0,0,1,15,780,28,8892,6059,3,1,69160
"57925",1,0,1,15,2450,29,54340,695,0,1,59280
"57937",1,0,1,16,1824,30,69160,4637,2,1,111644
"57959",1,0,1,12,4160,27,32110,6151,3,1,40137.5
"57970",1,0,0,11,3012,37,61750,5068,2,1,94848
"57984",0,0,1,10,0,50,0,4061,1,0,39915.19921875
