"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"37",0,0,1,12,5,10,1953,13,0,29,0,2249,2,NA,27963,4,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,9,23900,0,0,0,0,2,13,0,0,NA,1
"38",0,0,1,12,10,11,1951,13,100,31,1673,3848,1,1,55495.80078125,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,8,9,23900,0,0,0,0,2,13,0,1,NA,1
"41",1,0,1,9,2,8,1957,13,1172,26,22944,3189,5,1,30357.779296875,2,1.39999997615814,7413.77978515625,0,9385.5302734375,0,0,825,0,0,8,9,23900,0,0,0,0,2,13,0,1,1,0
"42",1,0,1,14,10,10,1947,NA,1800,35,43020,1885,4,1,44243.6796875,10,0.800000011920929,0,1223.68005371094,1223.68005371094,0,0,0,0,0,8,9,23900,0,0,0,0,2,13,0,1,1,0
"45",1,0,1,12,11,7,1949,NA,3196,33,68717.28125,5532,2,1,68717.28125,9,0.800000011920929,0,0,0,0,0,0,0,0,8,9,23900,0,0,0,0,4,43,0,1,1,0
"50",1,0,1,11,6,9,1949,NA,1952,33,28680,4692,3,1,40630,NA,0.699999988079071,0,0,0,0,0,0,0,0,12,12,0,12012.1396484375,0,0,0,2,14,0,1,1,0
"52",0,0,1,10,6,6,1948,NA,1806,34,13145,790,2,0,37408.28125,3,0.600000023841858,0,0,24263.279296875,24263.279296875,0,0,0,0,12,12,0,12012.1396484375,0,0,0,2,14,0,1,1,0
"54",1,0,1,12,3,9,1953,14,2080,30,14340,3544,0,0,14340,NA,1,0,0,0,0,0,0,0,0,12,12,0,12012.1396484375,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,NA,2695,35,21510,3029,1,1,31070,12,0.600000023841858,0,0,0,0,0,0,0,0,12,12,0,12012.1396484375,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,NA,2417,35,23661,6168,3,1,23661,10,0.800000011920929,0,0,6240.2900390625,0,0,2611,0,0,2,NA,10755,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,3,2270,28,14913.599609375,6633,0,0,38734.73046875,3,0.400000005960464,0,0,1577.40002441406,0,0,660,0,0,2,NA,10755,0,0,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,3,1287,30,23422,6740,3,1,48803.80078125,5,0.800000011920929,0,1864.19995117188,3276.68994140625,0,0,591,0,0,2,NA,10755,0,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,3,2375,31,19837,4686,2,1,21749,6,0.699999988079071,0,0,2839.32006835938,0,0,1188,0,0,2,NA,10755,0,0,0,0,3,3,0,1,1,0
"71",1,1,0,9,12,8,1950,NA,2080,32,NA,4311,2,NA,47800,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,0,1,NA,0
"72",0,1,0,12,4,8,1952,10,1976,30,28680,3208,1,0,28680,4,0.400000005960464,0,0,0,0,0,0,0,0,12,8,26290,0,0,0,0,3,10,0,1,1,0
"75",1,1,0,12,2,8,1953,10,2004,30,33460,3445,2,1,53536,5,0.800000011920929,0,0,0,0,0,0,0,0,12,8,26290,0,0,0,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,10,911,25,11950,4311,2,0,47800,1,0.699999988079071,0,0,3785.76000976562,0,0,1584,0,0,12,8,26290,0,0,0,0,3,10,0,1,1,0
"594",0,0,1,12,1,11,1942,NA,NA,40,0,633,2,NA,37900.62109375,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,0
"600",1,0,1,12,7,3,1954,4,1995,28,53058,3616,1,1,53058,4,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"637",1,0,1,17,12,12,1943,NA,1954,39,105365.5390625,4712,1,1,128787.5390625,14,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"652",0,0,0,12,10,2,1941,NA,2230,41,38001,614,2,NA,92110.6015625,21,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"674",0,0,1,17,8,10,1951,40,1220,31,14579,1291,1,1,81988.953125,2,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"677",0,0,1,8,2,11,1934,NA,0,49,0,3635,0,NA,57885.80078125,18,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"701",1,0,1,17,9,9,1955,21,2300,27,57360,6228,2,1,57575.1015625,2,0.800000011920929,0,0,0,0,0,0,0,0,12,NA,NA,9560,0,NA,0,4,4,0,1,1,0
"762",1,0,1,10,1,9,1951,31,1837,32,NA,3453,2,NA,111852,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,0,1,0,0
"790",1,0,1,12,2,11,1952,12,3640,31,35850,5312,0,1,59750,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,48,1982,30,36567,663,0,0,40450.75,6,0.300000011920929,0,0,0,0,0,0,0,0,12,12,47417.6015625,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,NA,2324,33,71700,61,2,1,74568,8,0.699999988079071,0,0,0,0,0,0,0,0,12,6,86040,0,0,0,0,2,34,0,1,1,0
"817",1,0,1,12,1,10,1943,NA,3060,41,57360,5194,0,0,57479.5,12,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"839",1,0,1,12,3,10,1945,NA,1305,37,14340,487,2,1,31720.080078125,12,0.800000011920929,0,5236.490234375,5236.490234375,0,0,0,0,0,8,8,25095,0,0,0,0,3,41,0,1,1,0
"841",0,0,1,12,12,10,1941,NA,24,41,95.5999984741211,3384,3,1,100893.8515625,4,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"842",0,0,1,16,2,11,1944,NA,0,39,0,4823,3,1,217167.34375,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,0,NA,1
"865",1,0,1,10,9,9,1956,48,810,26,26768,1122,2,1,67354.9765625,2,0.5,2272.88989257812,13145,15417.8896484375,0,0,0,0,0,6,NA,NA,29088.689453125,0,NA,0,2,48,0,0,1,0
"892",1,0,1,12,7,9,1932,NA,1910,50,57360,4865,0,1,85084,25,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"893",0,0,1,16,2,10,1957,32,2060,26,19884.80078125,3010,0,1,55400.19921875,2,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,14,16,59750,31070,0,0,0,3,32,0,1,NA,1
"894",0,0,1,17,4,9,1943,NA,160,39,2270.5,744,2,1,77555.5,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,0,0,NA,1
"970",0,0,1,12,10,11,1948,NA,1348,34,43020,6104,1,1,112325.21875,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"975",1,0,0,12,12,9,1938,NA,2876,43,84653.796875,2584,0,1,132310.40625,19,0.699999988079071,0,0,0,0,0,0,0,0,11,5,0,0,0,0,0,4,4,0,1,1,0
"991",0,0,1,12,8,11,1924,NA,2000,58,23900,5287,0,1,92732,17,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"1036",0,1,0,13,7,10,1947,NA,1880,35,23900,3715,1,1,67039.5,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1114",1,0,1,14,12,13,1953,4,1880,29,72178,3506,0,0,72178,4,0.300000011920929,0,0,0,0,0,0,0,0,14,14,52580,5975,0,0,0,4,4,0,1,1,0
"1141",1,0,1,16,8,11,1949,NA,2080,33,86040,3551,2,1,119500,15,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,0,1,0
"1154",0,0,1,17,12,8,1953,10,736,29,34655,2923,1,1,59750,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1161",1,0,1,13,9,10,1930,NA,2760,52,172080,2107,1,1,243541,27,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1180",0,0,1,17,9,12,1948,NA,120,34,7170,6641,0,1,101694.5,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,11,71700,2760.44995117188,0,0,0,2,24,0,0,NA,1
"1187",0,0,1,17,5,9,1952,20,2256,30,57360,5040,1,1,144117,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1211",0,0,1,17,11,7,1943,NA,1448,39,38240,2156,2,1,106355,14,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1212",0,0,1,12,11,9,1943,NA,1155,38,16252,2584,0,1,132310.40625,9,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1247",0,0,1,17,8,10,1956,37,1952,26,39435,2938,0,1,74998.203125,2,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1249",1,0,1,14,1,10,1958,29,2503,25,59750,2423,0,0,59750,4,0.300000011920929,0,0,0,0,0,0,0,0,12,14,33811.328125,2151,0,0,0,1,31,0,1,1,0
"1264",0,0,1,12,9,9,1949,NA,1440,33,19478.5,4458,0,0,20554,8,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1313",0,1,0,12,6,9,1924,NA,2000,55,20315,2442,0,NA,72916.5078125,22,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1328",1,0,1,16,8,12,1926,NA,2157,56,83650,5819,0,1,115198,31,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1334",0,0,1,12,1,10,1942,NA,1800,41,27963,4530,1,1,94883,16,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1345",1,0,1,17,7,9,1953,4,1712,29,32623.5,3807,0,0,42398.6015625,4,1,0,0,0,0,0,0,0,0,15,16,54970,18587.029296875,0,0,0,4,4,0,1,1,0
"1358",0,0,1,12,5,10,1943,NA,0,39,0,3830,2,1,60347.5,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"1371",1,0,1,17,11,12,1948,NA,1870,34,66920,5523,2,1,73851,6,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1374",0,0,1,12,2,10,1926,NA,1463,57,17066.990234375,2215,0,NA,32496.830078125,15,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"1419",0,0,1,12,1,8,1956,20,0,26,0,2150,2,1,75763,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,11,57360,0,0,0,0,1,20,0,0,NA,1
"1427",1,0,1,16,12,11,1952,42,2286,30,66920,5477,0,1,105638,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"1431",1,0,1,16,3,11,1927,NA,1880,56,112330,3338,0,1,174470,29,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"1490",0,0,1,11,10,11,1941,NA,1680,41,25812,949,1,1,64649.5,15,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1495",0,0,1,12,3,11,1944,NA,0,39,0,3719,3,NA,62140,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,1
"1506",0,1,0,14,10,4,1953,10,1386,29,20372.359375,6674,2,0,49052.359375,NA,1,0,0,0,0,0,0,0,0,11,NA,NA,0,0,NA,0,3,10,0,1,1,0
"1544",0,0,1,12,12,9,1950,NA,2440,32,6453,333,2,1,71222,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"1546",0,0,1,14,9,10,1951,23,1118,31,16730,5858,1,1,42926.7890625,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"1576",1,0,1,12,12,10,1945,NA,2000,37,27054.80078125,6735,0,1,81558.75,NA,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"1583",0,0,1,12,4,10,1947,NA,1068,35,19120,1258,3,NA,98587.5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1584",0,0,1,16,9,11,1943,NA,1458,39,52580,2539,3,1,114720,8,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,38,0,1,NA,1
"1597",1,1,0,14,1,1,1958,34,2298,25,25095,6793,0,0,25095,6,NA,0,0,0,0,0,0,0,0,11,NA,0,0,0,0,0,2,34,0,1,1,0
"1608",0,0,1,16,7,9,1936,NA,240,46,5975,5124,3,1,209416.578125,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"1612",0,1,0,12,5,7,1952,19,2008,30,34631.1015625,231,1,0,52556.1015625,5,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"1626",0,0,1,14,9,10,1950,NA,1088,32,15774,836,0,1,123085,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,43020,0,NA,0,2,34,0,1,NA,1
"1631",0,0,1,16,8,12,1953,34,692,29,11950,1363,1,1,131450,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,16,12,0,0,0,0,0,3,42,0,0,NA,1
"1647",0,0,1,12,5,9,1953,32,156,29,717,874,2,1,101097,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,11,8,7648,0,0,0,0,3,45,0,0,NA,1
"1662",0,0,1,16,9,11,1938,NA,1672,44,37762,689,0,1,184747,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1664",0,0,1,12,11,12,1951,4,2245,31,59652.01171875,2282,0,NA,125539.53125,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,16,0,229.440002441406,0,0,0,4,4,0,1,NA,1
"1674",0,0,1,16,5,8,1950,NA,415,32,19120,5331,1,1,92971,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"1679",0,0,1,12,10,12,1956,29,0,26,0,197,2,1,86040,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,12,0,0,0,0,0,1,29,0,0,NA,1
"1680",0,0,1,12,10,13,1924,NA,0,58,0,450,0,1,61308.28125,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,1,29,0,0,NA,1
"1722",0,0,1,12,3,11,1954,36,3060,28,114720,1210,0,NA,305920,9,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1734",0,0,1,12,11,12,1949,NA,1989,33,20164.4296875,3912,1,0,20164.4296875,3,0.400000005960464,0,0,0,0,0,0,0,0,10,12,0,0,0,0,0,4,4,0,1,1,0
"1772",1,0,1,8,2,10,1928,NA,1848,55,31070,2253,0,1,32018.830078125,30,0.300000011920929,0,709.830017089844,709.830017089844,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"1776",1,0,1,12,1,10,1938,NA,1528,45,18555.9609375,1990,0,0,33460,24,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"1783",1,NA,NA,NA,4,7,1946,NA,0,36,0,3833,0,NA,50983.48046875,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,1
"1822",0,0,1,12,8,12,1923,NA,540,59,2760.44995117188,6301,0,1,79240.453125,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"1834",1,0,1,12,8,9,1929,NA,3060,53,64530,3142,0,1,64530,27,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"1844",1,0,1,12,12,11,1928,NA,0,54,0,2335,2,1,31189.5,30,0.600000023841858,0,28680,28680,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"1863",1,0,1,17,6,9,1949,NA,1968,33,77914,2301,3,1,78946.4765625,7,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1869",0,0,1,13,2,11,1958,32,3112,25,33460,2348,0,NA,57838,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,14,13,27437.19921875,27437.19921875,0,0,0,3,32,0,1,NA,1
"1889",1,0,1,15,4,11,1954,46,920,28,28680,1827,0,1,54970,5,0.400000005960464,0,0,0,0,0,0,0,0,12,14,102033.8828125,28548.55078125,0,0,0,4,46,0,1,1,0
"1929",1,0,1,16,8,11,1926,NA,2160,56,43115.6015625,4098,0,1,71317.6015625,27,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1945",1,0,1,16,10,11,1946,NA,2673,36,100380,4620,2,1,112091,11,0.5,0,0,0,0,0,0,0,0,16,16,47800,71700,0,0,0,1,18,0,1,1,0
"1981",0,0,1,12,2,10,1950,NA,1816,33,37269.66015625,1265,2,1,83217.40625,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1982",0,0,1,16,5,12,1951,40,102,31,1015.75,6038,3,1,17153.029296875,6,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,12,12,45410,57360,0,0,0,2,40,0,1,NA,1
"1990",0,0,1,12,9,10,1947,NA,1832,35,59750,5825,1,1,133601,11,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"2001",0,0,1,16,10,13,1953,37,1275,29,14340,1646,1,1,62140,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"2016",0,0,1,16,6,8,1949,NA,1346,33,14913.599609375,3079,3,1,54869.62109375,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"2031",1,0,1,16,11,10,1939,NA,3380,43,0,3840,0,1,2.39000010490417,18,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"2032",1,0,1,16,5,11,1947,NA,2400,35,155350,3846,3,1,185225,6,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"2048",0,0,1,17,1,10,1947,NA,0,36,0,5346,4,1,190005,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,4,4,0,0,NA,1
"2065",1,0,1,16,4,13,1946,NA,2450,36,78870,3220,1,0,78870,11,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"2077",0,0,1,12,10,8,1957,34,1260,25,12906,1596,1,0,17925,5,0.400000005960464,0,0,0,0,0,0,5019,0,12,14,64530,18642,0,0,0,2,34,0,1,1,0
"2086",0,1,0,17,7,5,1950,NA,1445,32,40630,1960,4,1,94405,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,29839.150390625,0,NA,0,3,1,0,1,NA,1
"2096",1,0,1,13,12,11,1930,NA,1690,52,29349.19921875,5217,2,1,59379.55078125,27,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"2107",1,0,0,12,10,10,1953,4,3072,29,37377.2109375,4532,2,1,48146.55078125,4,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"2114",1,0,1,15,4,10,1930,NA,2032,52,100380,1220,0,1,109940,22,0.400000005960464,0,0,7170,7170,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"2143",0,0,1,12,1,10,1955,10,840,28,9560,5005,2,1,66920,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"2147",1,0,1,14,8,9,1949,NA,2827,33,70395.0625,5725,4,0,105623.65625,8,0.800000011920929,0,0,17552.16015625,17552.16015625,0,0,0,0,12,14,79276.296875,0,0,0,0,3,39,0,1,1,0
"2198",1,0,1,12,4,10,1958,34,NA,25,0,6431,0,NA,89443.359375,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,12,37384.37890625,0,0,0,0,2,34,0,0,NA,0
"2205",1,0,1,13,3,11,1938,NA,NA,43,NA,200,4,1,42453.5703125,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,42,NA,NA,0,NA
"2209",0,0,1,15,11,12,1946,NA,170,36,2868,4697,1,NA,71210.046875,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,0,1,NA,1
"2219",0,0,1,12,7,10,1923,NA,0,59,0,1753,0,0,76647.296875,18,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,0,1,0
"2249",1,0,1,10,7,10,1954,3,1248,28,26997.439453125,6009,2,1,30494.009765625,4,1.29999995231628,0,3496.57006835938,3831.169921875,0,0,140,0,0,7,4,14230.0595703125,0,0,0,0,3,3,0,1,1,0
"2253",1,0,1,12,4,11,1956,2,2253,26,58555,1642,0,0,58555,2,0.300000011920929,0,0,0,0,0,0,0,0,12,12,66920,0,0,0,0,4,2,0,1,1,0
"2263",1,0,1,16,7,12,1948,NA,2500,34,23900,428,0,1,52580,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"2269",1,0,1,17,9,9,1954,2,2184,28,186625.546875,263,0,0,190640.734375,4,0.200000002980232,0,0,0,0,0,0,0,0,NA,13,0,NA,NA,0,0,4,2,0,1,1,0
"2275",0,1,0,15,9,9,1951,39,0,32,0,1335,3,NA,91059,7,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,1,0,NA,1
