"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"34228",1,0,1,17,2,11,1940,2490,38,76650,3607,2,1,84680,8,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,31,0,1,1,0
"34281",0,0,0,12,3,10,1950,540,28,7300,3752,3,1,85629,4,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"34313",0,0,1,10,1,10,1937,480,40,496.399993896484,5700,2,NA,35901.3984375,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"34314",0,0,1,5,3,9,1921,1916,57,43800,5401,0,0,48399,37,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,NA,44,0,1,1,0
"34324",0,0,1,12,7,5,1931,2115,46,28086.75,4161,2,0,36160.55078125,20,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,86,0,1,1,0
"34400",0,0,1,12,2,8,1930,510,48,6935,1038,0,1,45187,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"34418",1,1,0,16,3,11,1920,2268,58,54750,1579,0,1,94900,38,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,NA,87,0,1,1,0
"34421",1,0,1,12,2,8,1953,3300,27,61630.25,1527,1,1,91253.6484375,6,0.400000005960464,0,0,0,0,0,0,0,0,8,8,11457.349609375,0,0,0,0,2,14,NA,31,0,1,1,0
"34422",1,0,1,12,NA,9,NA,1847,28,69350,3576,2,1,69350,9,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,57,0,1,1,0
"34425",1,0,1,14,4,13,1946,2160,32,55115,4067,3,1,80263.5,12,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,62,0,1,1,0
"34427",1,0,1,17,6,11,1947,2629,30,83037.5,5351,2,1,83767.5,11,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"34435",1,0,1,11,11,9,1949,2580,28,57670,1907,0,1,66795,9,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,51,0,1,1,0
"34438",1,0,1,12,NA,11,NA,2080,26,18615,1116,1,1,18615,7,0.600000023841858,0,0,1620.59997558594,0,0,444,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,51,0,1,1,0
"34461",1,0,1,16,8,13,1934,1465,43,189800,5050,2,1,214985,23,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,NA,86,0,1,1,0
"34502",0,0,0,17,10,12,1936,1575,41,26280,3174,1,1,364996.34375,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"34504",1,0,1,9,NA,10,NA,1400,42,51100,2066,1,1,142897.5,22,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,51,0,1,1,0
"34515",1,0,1,16,5,9,1949,3600,28,31207.5,3813,0,1,94921.8984375,2,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,61,0,1,1,0
"34591",0,0,1,12,10,9,1952,0,26,0,3474,2,1,52925,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"34679",1,1,0,12,10,7,1941,2000,37,43800,837,6,1,70080,17,1.29999995231628,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,31,0,1,1,0
"34687",1,0,1,12,NA,10,NA,400,42,24455,2976,2,1,98593.796875,22,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,2,71,0,1,1,0
"34707",0,0,1,12,3,11,1947,0,31,0,2645,2,1,37671.6484375,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,NA,NA,NA,1
"34708",1,0,1,17,1,11,1948,2728,30,30528.599609375,4426,0,1,100740,10,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,88,0,1,1,0
"34784",0,0,1,12,1,12,1939,180,39,2190,2657,2,1,139795,4,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"34793",0,0,1,16,7,12,1952,0,25,0,2706,2,1,105120,4,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,11,11,42705,49494,0,0,0,3,42,NA,NA,NA,NA,NA,1
"34796",0,0,1,12,12,8,1943,1985,34,36135,489,3,0,49275,12,0.699999988079071,0,0,0,0,0,0,13140,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,62,0,1,1,0
"34809",0,0,1,12,9,10,1942,515,35,13322.5,2980,3,1,57246.6015625,13,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"34818",0,0,1,9,7,9,1935,1834,42,10950,5359,1,1,38325,22,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"34824",1,0,1,12,3,10,1943,NA,35,NA,1304,0,NA,16001.599609375,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,0
"34877",0,0,1,16,7,13,1929,1050,48,31390,3057,2,1,197465,11,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"34878",0,0,1,12,7,9,1924,735,52,11315,1661,0,1,53308.25,25,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"34913",0,0,1,16,3,11,1947,2187,31,62050,4315,0,1,160600,11,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"34917",1,0,1,17,3,13,1937,2856,40,50735,105,3,1,70846.5,16,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,87,0,1,1,0
"34962",0,0,1,10,11,6,1922,1380,55,14600,61,0,1,40880,35,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"34988",0,0,1,15,11,12,1922,1904,55,52925,679,0,1,128363.203125,19,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"35002",0,0,1,16,10,11,1950,2117,27,43800,3183,0,0,43800,7,0.300000011920929,0,0,0,0,0,0,0,0,12,8,35770,38325,0,0,0,1,29,NA,61,0,1,1,0
"35003",0,0,1,12,7,11,1945,384,32,5475,5565,4,NA,77927.5,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"35006",1,0,1,12,7,10,1941,1872,36,54385,5558,2,1,54757.30078125,17,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,18,NA,92,0,1,1,0
"35013",0,0,1,8,9,NA,1921,1960,56,NA,756,1,NA,45990,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,0
"35054",0,0,1,14,6,11,1940,2032,37,27265.5,3229,2,1,29090.5,12,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,86,0,1,1,0
