"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"18773",1,0,1,12,10,8,1944,2040,33,44165,1917,4,1,63510,13,1,0,0,1898,0,0,520,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"18780",1,0,1,12,2,10,1947,NA,31,NA,108,0,NA,21170,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,0
"18782",0,0,1,16,9,12,1951,960,26,5069.85009765625,2852,0,1,28210.849609375,6,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,16,16,127750,0,0,0,0,4,46,NA,NA,NA,NA,NA,1
"18792",0,NA,NA,8,NA,6,NA,0,52,0,5643,0,NA,20053.099609375,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,NA,1
"18806",1,0,1,17,8,10,1950,NA,26,NA,3066,0,NA,49275,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,16,36500,12775,0,0,1,3,39,NA,NA,NA,NA,NA,0
"18826",0,0,1,12,8,11,1923,1560,54,39967.5,275,0,1,101243.703125,20,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"18829",1,0,1,12,NA,9,NA,NA,30,NA,5998,0,NA,25659.5,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,0,0
"18837",0,1,0,12,12,9,1950,0,27,0,2540,3,0,13884.599609375,1,0.800000011920929,0,0,18089.400390625,0,0,1152,0,3804,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,0,0,1,0
"18865",1,0,1,16,1,10,1943,2205,35,37047.5,5676,1,1,48143.5,14,0.699999988079071,0,0,0,0,0,0,0,0,12,12,66795,0,0,0,0,1,18,NA,62,0,1,1,0
"18892",1,0,1,13,8,12,1947,2028,30,47085,529,2,1,56210,10,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"18901",0,1,0,16,3,10,1945,2400,33,45289.19921875,3163,0,0,45289.19921875,13,0.200000002980232,0,0,0,0,0,0,0,0,6,3,29200,18250,0,0,0,3,39,NA,42,0,1,1,0
"18907",0,0,1,13,12,11,1945,0,32,0,223,2,1,51100,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"18949",0,0,1,14,11,11,1936,1205,41,29200,2491,2,1,140890,10,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"18963",1,0,1,11,3,8,1946,NA,32,NA,4629,0,NA,34620.25,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,11,15330,2920,0,0,0,1,37,NA,NA,NA,NA,NA,0
"18965",0,0,1,16,1,12,1948,1680,30,40150,5485,1,1,83585,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"18990",1,0,1,16,4,12,1945,2606,33,116800,340,3,1,116800,12,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,61,0,1,1,0
"19026",0,0,1,9,5,7,1931,1886,46,11315,1324,2,1,81011.75,12,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"19029",1,0,1,8,10,9,1920,1400,57,47450,2772,0,1,55947.19921875,37,0.5,0,5212.2001953125,5212.2001953125,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,33,0,1,1,0
"19058",1,0,0,16,NA,10,NA,2224,43,87600,3913,6,1,123370,23,1.10000002384186,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,87,0,1,1,0
"19073",1,0,1,17,8,12,1941,3120,36,151694,1741,4,1,251485,16,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,51,0,1,1,0
"19104",0,0,1,12,5,8,1940,1960,37,58400,2124,2,1,116435,10,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"19120",0,0,1,13,5,11,1921,0,56,0,3956,0,1,79752.5,5,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"19158",1,0,1,17,9,10,1932,3056,45,153300,2761,0,0,183047.5,23,0.100000001490116,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,88,0,1,1,0
"19184",1,0,1,12,9,9,1933,1160,45,25550,1902,7,1,71295.453125,25,2.40000009536743,8431.5,164.25,20071.349609375,0,0,3144,0,0,NA,NA,NA,NA,NA,NA,0,1,29,1,31,0,1,1,0
"19190",0,0,1,12,9,11,1928,900,49,9125,873,0,1,91067.5,4,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"19207",0,0,1,13,2,10,1929,1020,49,8395,1722,1,1,76963.8984375,12,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"19215",1,0,0,12,4,9,1935,1936,43,58400,3868,1,1,105850,19,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,61,0,1,1,0
"19221",1,0,1,12,4,9,1952,2344,26,40150,5935,1,1,40150,6,0.800000011920929,0,0,0,0,0,0,0,0,10,8,25550,0,0,0,0,4,30,NA,34,0,1,1,0
"19254",0,0,1,16,NA,12,NA,24,57,532.900024414062,5722,0,0,73532.8984375,12,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,0,0,1,0
"19256",0,NA,NA,12,NA,8,NA,1110,33,2263,1687,2,NA,48800.5,11,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"19287",0,0,1,12,2,10,1928,1984,50,32328.05078125,3418,0,1,131396.34375,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,NA,NA,1
"19289",1,0,1,17,10,12,1919,2394,57,255500,4267,0,1,260975,32,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,4,33,0,1,1,0
"19290",0,0,1,12,12,10,1937,NA,40,NA,1192,3,NA,75452.796875,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,0
"19298",1,0,1,12,8,12,1932,2300,46,58400,610,0,1,223088,26,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,61,0,1,1,0
"19304",1,0,1,12,NA,11,NA,2600,34,54750,5019,3,1,54750,14,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,40,0,1,1,0
"19312",1,0,1,14,12,8,1949,1984,28,62050,559,3,1,62933.30078125,7,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,2,24,NA,42,0,1,1,0
"19314",1,0,1,12,11,11,1936,2602,41,36500,3904,3,1,91615,20,1.60000002384186,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,84,0,1,1,0
"19316",0,0,1,12,12,9,1951,1785,26,9125,1907,0,1,66795,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,8,80300,0,0,0,0,2,21,NA,NA,NA,NA,NA,1
"19359",1,0,1,16,2,10,1949,2961,29,47815,5309,1,1,60772.5,5,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,71,0,1,1,0
"19360",1,0,1,16,2,12,1925,2080,53,91250,1521,1,0,99645,26,0.400000005960464,0,0,4745,4745,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,31,0,1,1,0
"19375",1,0,1,9,7,8,1948,3364,29,49494,3589,2,1,80300,9,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,51,0,1,1,0
"19378",1,0,1,16,4,8,1945,2410,32,92487.3515625,2487,2,1,94129.8515625,5,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,55,0,1,1,0
"19383",1,0,1,12,NA,8,NA,2080,34,NA,1373,0,NA,57432.75,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,0
"19407",1,0,1,12,3,9,1925,0,53,0,1135,1,1,79807.25,35,0.600000023841858,0,0,23214,23214,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,0,0,1,0
"19413",1,0,1,17,10,13,1928,2929,49,105850,3711,1,1,151475,25,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,61,0,1,1,0
"19414",0,1,0,12,12,5,1943,1936,34,28287.5,2120,0,0,28287.5,10,0.300000011920929,0,0,0,0,0,0,0,0,5,NA,NA,0,0,NA,0,3,8,NA,87,0,1,1,0
"19430",0,NA,NA,13,NA,6,NA,2016,54,10950,157,0,NA,36178.80078125,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"19462",0,0,1,10,3,11,1928,560,50,6205,1887,0,1,113186.5,9,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"19475",1,0,1,16,12,11,1947,3419,30,39091.5,4664,2,1,65882.5,10,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,71,0,1,1,0
"19487",1,0,1,16,3,12,1952,1126,25,28470,697,0,1,58473,5,1,0,0,0,0,0,0,0,0,16,NA,NA,84304.046875,0,NA,0,4,4,NA,92,0,1,1,0
"19531",1,0,1,16,12,10,1946,2490,31,82125,1604,2,0,82125,11,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,57,0,1,1,0
"19532",0,0,1,12,1,8,1947,1868,31,29200,629,1,NA,83950,11,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,6716,0,NA,0,3,39,NA,NA,NA,NA,NA,1
"19538",1,0,1,12,NA,11,NA,2392,37,31740.400390625,3101,0,1,73000,17,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,51,0,1,1,0
"19556",0,0,1,7,8,8,1929,0,48,0,1595,1,1,125195,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"19558",1,1,0,12,3,7,1938,2546,40,58400,5753,0,1,87600,18,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,33,0,1,1,0
"19562",1,0,1,12,8,10,1928,2024,49,59130,1722,1,1,76963.8984375,19,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,31,0,1,1,0
"19565",0,0,1,12,10,10,1945,1720,33,27375,1267,0,1,106054.3984375,12,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"19623",1,0,1,17,4,12,1932,2340,46,71175,5790,0,1,145087.5,16,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,88,0,1,1,0
"19680",0,0,1,12,12,6,1944,0,33,0,3592,2,1,13286,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"19704",1,0,1,17,11,11,1943,4056,34,146350.40625,2829,0,1,166075,11,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,88,0,1,1,0
"19714",0,0,1,17,6,12,1946,0,31,0,3531,1,1,60407.5,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,NA,NA,NA,NA,NA,1
"19743",1,0,1,17,10,9,1932,2631,45,71175,1009,1,1,152752.5,21,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,87,0,1,1,0
"19769",1,0,1,16,8,8,1932,2220,45,65959.1484375,4550,1,1,144540,24,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,2,51,0,1,1,0
"19785",0,0,1,16,12,12,1944,720,33,46939,5039,3,0,316820,NA,0.800000011920929,0,0,0,0,0,0,6570,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,88,0,1,1,0
"19821",1,0,1,17,8,8,1950,480,27,7300,1259,0,1,13505,5,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,1,0,1,0
"19846",0,0,1,17,7,9,1945,0,32,0,162,1,1,97820,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"19872",1,0,1,8,NA,11,NA,2115,58,111912.6484375,442,0,1,125311.796875,38,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,33,0,1,1,0
"19892",0,0,1,12,8,9,1951,2082,25,30660,5495,1,0,44792.80078125,5,0.300000011920929,0,0,0,0,0,0,6862,0,11,8,62820.1484375,0,0,0,0,3,45,NA,61,0,1,1,0
"19896",0,0,1,17,7,10,1949,70,28,200.75,2642,1,1,46920.75,3,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"19898",1,0,1,12,12,9,1925,2360,52,28652.5,2407,0,1,63108.5,32,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,2,87,0,1,1,0
"19928",0,0,1,12,5,12,1922,1784,55,43369.30078125,4987,0,0,45931.6015625,31,0.300000011920929,2562.30004882812,0,2562.30004882812,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,62,0,1,1,0
"19942",0,0,1,12,12,10,1952,150,25,730,2154,0,1,73730,7,2,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,16691.44921875,0,NA,0,2,24,NA,NA,NA,NA,NA,1
"19943",1,0,1,14,12,11,1941,2040,36,31755,311,6,1,31755,17,1,0,0,2920,0,0,800,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,92,0,1,1,0
"19946",1,0,1,17,5,12,1931,1500,46,182500,1043,2,1,219182.5,26,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,88,0,1,1,0
"19949",1,1,0,10,NA,10,NA,1496,27,41975,1058,0,0,45442.5,7,0.300000011920929,0,3467.5,3467.5,0,0,0,0,0,11,NA,NA,0,0,NA,0,2,34,NA,30,0,1,1,0
"19950",0,0,1,12,11,12,1935,2116,42,37230,1716,0,NA,91980,21,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"19958",0,0,1,12,1,11,1928,2450,50,40150,4953,0,0,40478.5,21,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,33,0,1,1,0
"19971",1,0,1,15,5,10,1950,1960,27,NA,1114,0,NA,153081,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,11,11,102200,0,0,0,0,4,4,NA,NA,NA,NA,NA,0
"19973",0,0,1,12,4,9,1924,1576,53,38051.25,617,0,0,89998.046875,30,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,86,0,1,1,0
"19979",1,0,1,17,1,12,1950,2110,28,69441.25,372,0,1,115942.25,8,0.300000011920929,0,0,0,0,0,0,0,0,12,12,65700,0,0,0,0,2,12,NA,87,0,1,1,0
"19992",0,0,1,12,8,10,1940,0,37,0,3080,3,NA,182500,15,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"20001",0,0,1,12,4,12,1944,1800,34,30660,3914,2,0,36938,7,0.800000011920929,0,0,6278,0,0,0,0,1720,NA,NA,NA,NA,NA,NA,0,1,20,NA,88,0,1,1,0
"20046",1,0,1,14,11,12,1950,1715,27,52925,1193,1,1,52925,7,0.5,0,0,0,0,0,0,0,0,12,12,80975.25,17155,0,0,0,2,34,NA,61,0,1,1,0
"20063",1,0,1,12,12,9,1942,2632,35,94900,162,1,1,97820,15,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,81,0,1,1,0
"20121",0,0,1,16,3,10,1942,192,36,23725,4522,5,1,118625,3,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"20176",1,0,1,16,5,11,1950,2048,27,30769.5,4836,0,1,47650.75,5,0.400000005960464,0,0,0,0,0,0,0,0,12,12,90421.453125,0,0,0,0,4,43,NA,92,0,1,1,0
"20194",0,0,1,12,4,9,1921,1880,57,NA,4622,1,NA,111325,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,0
"20203",0,0,1,14,12,11,1933,875,44,14600,1715,2,1,133225,24,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"20207",1,0,1,12,2,12,1953,1476,25,62050,2678,0,1,87600,5,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,57,0,1,1,0
"20230",1,1,0,12,6,8,1940,2850,37,71175,2858,5,1,76650,17,1.39999997615814,0,0,0,0,0,0,5475,0,NA,NA,NA,NA,NA,NA,0,3,42,4,51,0,1,1,0
"20264",1,0,1,15,9,12,1926,2437,51,226300,1823,0,1,270100,31,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,61,0,1,1,0
"20271",0,1,0,11,12,7,1939,2080,38,18980,1392,1,0,82490,3,1,0,0,26280,26280,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,83,0,1,1,0
"20290",0,0,1,13,2,8,1939,0,39,0,2952,2,1,86928.3984375,9,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"20293",1,0,1,12,3,12,1947,2808,31,27148.69921875,3079,2,1,47851.5,11,0.699999988079071,0,0,3985.80004882812,0,0,0,0,1092,NA,NA,NA,NA,NA,NA,0,2,34,NA,81,0,1,1,0
"20313",1,0,1,12,10,10,1937,2827,40,41657.44921875,1302,2,1,126290,20,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,81,0,1,1,0
"20338",0,0,1,17,10,9,1928,1773,49,31499.5,2407,0,1,63108.5,8,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"20346",1,0,1,12,10,11,1952,2094,26,59495,3999,1,1,77745,5,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,34,0,1,1,0
"20367",0,0,1,16,11,12,1948,16,29,91.25,1261,1,1,200841.25,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"20379",0,NA,NA,11,11,8,NA,0,31,0,2858,5,NA,76650,5,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"20385",0,0,1,14,9,11,1945,0,32,0,4578,2,1,65700,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"20394",1,0,1,13,1,12,1949,2580,29,59130,1998,1,1,69350,10,0.400000005960464,10220,0,10220,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,61,0,1,1,0
"20412",1,0,1,16,10,9,1951,1964,26,51465,3131,0,1,55480,6,0.400000005960464,0,365,365,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"20456",1,0,1,12,12,11,1942,2688,35,74168,2139,2,1,75810.5,15,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,40,0,1,1,0
"20471",0,0,1,14,5,9,1950,0,27,0,2950,0,1,76704.75,8,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,27984.55078125,0,NA,0,3,42,NA,NA,NA,NA,NA,1
"20497",0,0,1,12,1,9,1931,0,47,0,2115,0,1,150745,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"20498",0,0,1,11,6,10,1951,1800,26,29200,2160,2,1,58400,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"20499",1,0,1,17,8,12,1938,2728,40,69350,3507,2,0,77380,19,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,86,0,1,1,0
"20506",0,0,1,12,8,13,1948,400,29,0,3838,0,0,32850,10,0.300000011920929,0,0,0,0,0,0,0,0,8,12,14600,36500,0,0,0,2,12,NA,61,0,1,1,0
"20534",0,0,1,14,5,11,1931,0,46,0,1475,0,1,117530,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"20566",0,0,1,12,8,12,1926,0,51,0,14,0,1,105360.8984375,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"20567",1,0,1,10,1,13,1942,1080,35,14016,3732,0,1,15111,15,0.400000005960464,0,0,0,0,0,0,0,0,8,8,11826,19739.19921875,0,0,0,2,26,NA,81,0,1,1,0
"20605",0,0,0,13,8,9,1946,1206,31,16790,4431,2,1,93805,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"20613",1,0,1,12,9,9,1952,3505,25,99371.25,217,2,1,99645,5,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,32,0,1,1,0
"20670",0,0,1,12,4,11,1951,400,26,4015,417,1,1,79935,7,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"20695",1,0,1,12,1,12,1946,2032,32,54428.80078125,1132,3,1,54428.80078125,12,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,11,0,1,1,0
"20696",0,0,1,17,9,10,1949,460,28,16425,3270,1,1,86870,8,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,40150,0,NA,0,3,17,NA,NA,NA,NA,NA,1
"20700",1,0,1,15,10,11,1946,2480,31,60225,4775,2,1,93075,11,0.600000023841858,0,0,0,0,0,0,0,0,12,NA,NA,36609.5,0,NA,0,3,45,NA,51,0,1,1,0
"20708",0,0,1,13,1,11,1939,1690,39,64970,639,1,0,80756.25,13,0.400000005960464,0,0,0,0,0,0,9855,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,82,0,1,1,0
"20709",0,0,1,16,1,9,1947,0,31,0,1601,2,1,73912.5,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"20761",0,0,1,8,7,10,1939,1176,38,18250,5572,1,1,86008.6015625,8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,18,NA,NA,NA,NA,NA,1
"20763",1,0,1,9,10,10,1944,1560,33,47654.3984375,3266,4,1,54136.80078125,13,1,0,6482.39990234375,7774.5,0,0,354,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,51,0,1,1,0
"20771",0,0,1,14,11,13,1949,1680,28,25550,5457,1,0,45643.25,10,1,0,0,0,0,0,0,1460,0,12,15,80300,27010,0,0,0,4,2,NA,86,0,1,1,0
"20788",1,0,1,12,4,9,1935,2200,43,43800,4934,1,1,61320,24,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,15,NA,85,0,1,1,0
"20801",1,0,1,11,11,10,1941,2000,36,43924.1015625,2980,3,1,57246.6015625,17,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,NA,81,0,1,1,0
"20829",0,0,1,12,6,11,1930,0,48,0,3857,1,1,141255,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"20838",0,0,1,5,4,10,1923,0,54,0,5878,2,1,3.65000009536743,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"20858",1,0,1,12,6,8,1931,320,46,2920,4022,1,1,33156.6015625,26,0.699999988079071,0,5883.7998046875,5883.7998046875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,55,0,1,1,0
"20914",0,0,1,12,11,9,1947,200,28,2737.5,641,2,1,51932.19921875,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"20915",1,0,1,9,6,5,1947,1880,30,32850,49,3,1,45625,12,1.29999995231628,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,81,0,1,1,0
"20941",0,0,1,17,10,12,1951,525,26,5584.5,4929,3,NA,62524.5,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
