"birthyear","birthmonth","f_id","black","white","id","male","h_sentscore1972","birthstate","inc_labor","hours","hhchildren","married","fam_inc","works","age","state","inc_afdc","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","head","wife"
1954,8,5437001,0,1,5437006,1,10,12,NA,520,8,NA,78788.6015625,NA,14,12,NA,64900,0,0,0,0,2,12,NA,NA,0
1968,5,5474001,0,0,5474007,1,0,42,NA,NA,9,0,49973,NA,1,42,NA,49973,0,0,0,0,3,42,NA,NA,0
1964,11,5474001,0,1,5474005,1,0,42,NA,NA,9,0,49973,NA,4,42,NA,49973,0,0,0,0,3,42,NA,NA,0
1962,4,5474001,0,0,5474003,0,0,42,NA,NA,9,NA,49973,NA,7,42,NA,49973,0,0,0,0,3,42,NA,NA,0
1963,7,5474001,0,1,5474004,1,0,42,NA,NA,9,NA,49973,NA,5,42,NA,49973,0,0,0,0,3,42,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,7,5474001,0,0,5474006,1,0,42,NA,NA,9,NA,49973,NA,3,42,NA,49973,0,0,0,0,3,42,NA,NA,0
1967,3,NA,1,0,5501012,1,9,24,NA,NA,11,NA,24434.849609375,NA,2,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
1966,1,NA,1,0,5501011,0,9,24,NA,NA,11,0,24434.849609375,NA,3,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
1951,1,NA,1,0,5501002,0,10,24,NA,NA,11,NA,24434.849609375,NA,18,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
1964,3,NA,1,0,5501010,0,9,24,NA,NA,11,0,24434.849609375,NA,5,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
1963,3,NA,1,0,5501009,1,9,24,NA,NA,11,NA,24434.849609375,NA,6,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,7,NA,1,0,5501006,0,9,24,NA,NA,11,0,24434.849609375,NA,10,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,7,NA,1,0,5501007,1,9,24,NA,NA,11,0,24434.849609375,NA,9,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
1961,5,NA,1,0,5501008,1,9,24,NA,NA,11,0,24434.849609375,NA,8,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
1952,12,NA,1,0,5501004,1,9,24,NA,NA,11,NA,24434.849609375,NA,16,24,NA,NA,0,0,NA,0,2,24,NA,NA,0
1960,8,5526001,1,0,5526013,0,7,42,NA,NA,13,NA,36006.51953125,NA,8,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,9,5526001,1,0,5526014,0,7,42,NA,NA,13,0,36006.51953125,NA,7,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,4,5526001,1,0,5526042,1,7,42,NA,NA,13,0,36006.51953125,NA,1,42,NA,24532.19921875,NA,0,0,0,3,42,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,11,5526001,1,0,5526016,0,7,42,NA,NA,13,NA,36006.51953125,NA,4,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
1948,1,5526001,1,0,5526003,0,7,42,NA,NA,13,NA,36006.51953125,NA,21,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
1958,8,5526001,1,0,5526011,0,7,42,NA,NA,13,NA,36006.51953125,NA,10,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
1955,11,5526001,1,0,5526009,1,7,42,NA,NA,13,NA,36006.51953125,NA,13,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
1951,11,5526001,1,0,5526005,0,7,42,NA,NA,13,NA,36006.51953125,NA,17,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
1952,9,5526001,1,0,5526006,0,8,42,NA,NA,13,NA,36006.51953125,NA,16,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
1950,11,5526001,1,0,5526004,0,7,42,NA,NA,13,NA,36006.51953125,NA,18,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
1956,10,5526001,1,0,5526010,0,7,42,NA,NA,13,NA,36006.51953125,NA,12,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
1953,8,5526001,1,0,5526007,1,10,42,NA,NA,13,NA,36006.51953125,NA,15,42,NA,24532.19921875,8099.52001953125,0,0,0,3,42,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,8,5543001,0,1,6328003,0,11,17,NA,NA,2,NA,35461.359375,NA,22,17,NA,36772.33984375,0,0,0,0,3,17,NA,NA,0
1966,11,NA,1,0,5569012,1,6,32,NA,NA,10,NA,26362.380859375,NA,2,32,NA,NA,0,0,NA,0,3,32,NA,NA,0
1963,12,NA,1,0,5569013,1,6,32,NA,NA,10,0,26362.380859375,NA,4,32,NA,NA,0,0,NA,0,3,32,NA,NA,0
1961,11,5569001,1,0,5569009,1,6,32,NA,NA,10,NA,26362.380859375,NA,7,32,NA,26362.380859375,0,0,0,0,3,32,NA,NA,0
1956,2,5569001,1,0,5569006,1,6,32,NA,NA,10,0,26362.380859375,NA,13,32,NA,26362.380859375,0,0,0,0,3,32,NA,NA,0
1964,12,NA,1,0,5569011,0,6,32,NA,NA,10,NA,26362.380859375,NA,4,32,NA,NA,0,0,NA,0,3,32,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,6,5569001,1,0,5569004,0,9,32,NA,NA,10,NA,26362.380859375,NA,16,32,NA,26362.380859375,0,0,0,0,3,32,NA,NA,0
1962,11,5569001,1,0,5569010,0,6,32,NA,NA,10,NA,26362.380859375,NA,6,32,NA,26362.380859375,0,0,0,0,3,32,NA,NA,0
1960,7,5569001,1,0,5569008,0,6,32,NA,NA,10,NA,26362.380859375,NA,9,32,NA,26362.380859375,0,0,0,0,3,32,NA,NA,0
1957,7,5569001,1,0,5569007,0,6,32,NA,NA,10,0,26362.380859375,NA,12,32,NA,26362.380859375,0,0,0,0,3,32,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,8,5570001,1,0,5570012,1,8,32,NA,NA,9,NA,49616.05078125,NA,5,32,NA,43255.8515625,1298,0,0,0,3,32,NA,NA,0
1965,4,5570001,1,0,5570013,1,8,32,NA,NA,9,0,49616.05078125,NA,3,32,NA,43255.8515625,1298,0,0,0,3,32,NA,NA,0
1953,5,5570001,1,0,5570005,0,9,32,NA,NA,9,NA,49616.05078125,NA,15,32,NA,43255.8515625,1298,0,0,0,3,32,NA,NA,0
1955,5,5570001,1,0,5570006,1,8,32,NA,NA,9,NA,49616.05078125,NA,13,32,NA,43255.8515625,1298,0,0,0,3,32,NA,NA,0
1951,11,5570001,1,0,5570004,0,8,32,NA,NA,9,NA,49616.05078125,NA,18,32,NA,43255.8515625,1298,0,0,0,3,32,NA,NA,0
1961,2,5570001,1,0,5570010,1,8,32,NA,NA,9,NA,49616.05078125,NA,8,32,NA,43255.8515625,1298,0,0,0,3,32,NA,NA,0
