"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"55",1,0,1,12,5,12,1947,NA,780,34,14820,3157,1,1,14820,12,0.5,0,0,0,0,0,0,0,0,12,12,14820,11856,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,NA,2418,34,14079,2992,3,1,14079,10,0.800000011920929,0,0,4680.64990234375,0,0,1895,0,0,2,NA,12844,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,3,1638,27,1729,6579,1,1,1729,3,0.600000023841858,0,0,0,0,0,0,0,0,2,NA,12844,0,0,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,3,1720,28,27170,6104,3,1,32539.779296875,5,1.20000004768372,197.600006103516,1467.18005371094,2087.14990234375,0,0,171,0,0,2,NA,12844,0,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,3,2375,30,21242,3706,2,1,21242,6,0.699999988079071,0,0,2129.13989257812,0,0,862,0,0,2,NA,12844,0,0,0,0,3,3,0,1,1,0
"72",0,1,0,12,4,8,1952,10,2040,29,29795.609375,3116,1,0,29795.609375,4,0.5,0,0,0,0,0,0,0,0,12,8,39520,0,0,0,0,3,10,0,1,1,0
"74",1,1,0,10,NA,8,NA,NA,NA,25,NA,3118,1,NA,71951.1015625,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,8,39520,0,0,0,0,3,10,0,NA,NA,0
"75",1,1,0,12,2,8,1953,10,1920,29,43225,6038,2,1,62985,5,0.699999988079071,0,0,0,0,0,0,0,0,12,8,39520,0,0,0,0,3,10,0,1,1,0
"594",0,0,1,12,1,11,1942,NA,NA,39,0,1104,2,NA,83829.328125,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,0
"600",1,0,1,12,7,3,1954,4,1996,27,49400,2977,1,1,49400,4,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
