"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"4116",1,0,1,13,2,8,1935,2160,37,47511.5,199,2,1,80137.9609375,0.699999988079071,0,24256.470703125,24256.470703125,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,92,0,1,1,0
"4134",0,NA,NA,12,NA,10,NA,800,29,17070,1707,1,NA,133146,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"4142",0,1,0,11,9,2,1914,0,56,0,555,1,1,54441.921875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"4144",1,0,1,7,1,11,1926,1815,46,50714.96875,2192,0,1,77549.0078125,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,2,34,4,92,0,1,1,0
"4151",0,1,0,12,7,7,1935,1960,37,11818.1298828125,2348,1,1,48512.94140625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"4171",0,0,1,17,1,12,1931,1140,41,56900,1954,2,1,216504.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"4172",0,0,1,10,2,10,1921,1170,51,8819.5,1312,2,0,21109.900390625,0.699999988079071,0,12290.400390625,12290.400390625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,87,0,1,1,0
"4188",0,NA,NA,16,NA,11,NA,2000,28,40968,3952,1,NA,80798,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"4193",1,1,0,14,9,10,1922,2344,49,27312,2632,1,1,39261,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,87,0,1,1,0
"4265",0,0,1,6,6,9,1924,0,47,0,802,0,NA,13280.4599609375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
