"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"16206",1,1,0,10,NA,9,NA,2880,43,35920.96875,441,3,1,51801.76171875,1.39999997615814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,4,61,0,1,1,0
"16222",1,1,0,10,4,7,1924,1530,48,56900,1310,1,1,63602.8203125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,55,0,1,1,0
"16232",1,0,1,13,7,11,1935,2631,36,62590,3766,2,1,64035.26171875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,31,0,1,1,0
"16238",1,0,1,12,12,10,1924,2200,47,45520,4976,4,1,45520,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"16264",0,0,1,17,11,10,1939,1170,32,45463.1015625,487,0,0,60399.3515625,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,87,0,1,1,0
"16279",0,0,1,9,7,8,1916,0,55,0,3374,0,1,80798,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"16289",0,0,1,14,8,10,1937,2138,34,62590,3838,3,0,76815,0.800000011920929,0,0,0,0,0,14225,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,86,0,1,1,0
"16344",0,0,1,10,4,7,1932,NA,40,NA,1250,0,0,22760,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,2,13,NA,NA,NA,NA,NA,0
"16441",0,0,1,12,12,10,1917,0,54,0,964,0,1,66004,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"16451",0,1,0,10,NA,10,NA,2352,54,17030.169921875,804,1,0,65281.37109375,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,83,0,1,1,0
"16500",0,0,1,17,10,10,1931,0,40,0,4803,4,1,113800,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"16547",0,0,1,12,9,11,1913,0,58,0,2698,0,1,60314,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"16562",0,0,1,7,9,9,1918,0,53,0,1481,0,0,17070,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,0,0,1,0
"16563",0,0,1,12,8,12,1935,800,36,11380,1693,3,1,85065.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"16568",1,0,1,11,7,10,1924,2500,47,102420,1286,2,1,109475.6015625,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,51,0,1,1,0
"16588",0,NA,NA,NA,NA,9,NA,960,29,36774.46875,4063,0,NA,42179.96875,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"16607",1,0,1,12,NA,10,NA,2446,53,81497.8671875,2466,0,1,84553.3984375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,NA,51,0,1,1,0
"16624",0,0,1,16,10,11,1914,1600,54,NA,1087,0,NA,68126.3671875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,0
"16632",0,1,0,12,1,11,1934,828,39,14225,2377,0,0,28563.80078125,0.5,0,14338.7998046875,0,0,0,0,2520,NA,NA,NA,NA,NA,NA,0,1,31,NA,87,0,1,1,0
"16635",0,0,1,13,9,12,1938,0,34,0,3105,3,1,142250,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"16676",1,0,1,11,8,10,1935,2416,36,56217.19921875,63,3,1,56217.19921875,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,85,0,1,1,0
"16680",0,0,0,1,6,6,1939,0,32,0,3886,3,1,76860.5234375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"16711",0,0,1,12,5,11,1938,0,34,0,4234,1,1,40399,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,35,NA,NA,NA,NA,NA,1
"16751",1,0,1,17,8,13,1929,2000,42,99575,382,2,1,114369,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,88,0,1,1,0
"16758",1,0,1,14,9,12,1928,2250,44,73970,554,1,1,112662,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,61,0,1,1,0
"16788",1,0,1,8,NA,12,NA,2160,58,37440.19921875,3230,0,1,62590,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,51,0,1,1,0
"16798",1,0,1,7,NA,0,NA,2400,60,85350,4173,0,1,85634.5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,2,69,0,1,1,0
"16809",0,0,1,12,2,12,1946,1750,26,27312,3698,1,1,68280,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"16812",0,1,0,12,5,10,1947,1763,25,25036,4854,2,1,74806.4296875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
"16831",0,0,1,12,10,11,1932,0,39,0,3768,3,1,150386.703125,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"16839",1,0,1,9,3,9,1920,1190,53,8449.650390625,1233,0,1,22077.19921875,0.600000023841858,0,1194.90002441406,0,0,210,0,0,NA,NA,NA,NA,NA,NA,0,2,26,3,51,0,1,1,0
"16887",1,0,1,17,11,11,1940,2690,31,84872.0390625,4701,2,1,84872.0390625,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,86,0,1,1,0
"16927",1,0,1,12,6,12,1944,2205,28,80229,188,2,1,80342.796875,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,56,0,1,1,0
"16933",0,0,1,8,9,9,1937,0,35,0,2011,2,1,156475,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,1
"16939",0,0,1,12,2,8,1917,0,56,0,1125,0,1,128417.609375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,20,NA,NA,NA,NA,NA,1
"16956",0,0,1,7,3,8,1912,0,60,0,3784,0,0,74539,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,0,0,1,0
"16963",1,0,1,12,NA,8,NA,3054,42,69161.953125,1520,2,1,137823.1875,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,51,0,1,1,0
"16976",0,0,1,12,12,11,1913,0,59,0,2263,2,1,75830.6328125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"16992",0,0,1,13,8,9,1922,2000,51,68280,4135,1,1,138836,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"17017",0,0,1,12,3,10,1943,0,29,0,1299,1,1,50072,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"17020",0,0,1,12,1,11,1914,0,58,0,1535,0,1,88764,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"17033",1,0,1,12,3,10,1943,3060,29,50072,1299,1,1,50072,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,61,0,1,1,0
"17035",1,0,1,12,1,12,1928,1880,44,68280,1691,5,1,120343.5,1.29999995231628,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,31,0,1,1,0
"17077",0,1,0,NA,NA,6,NA,NA,35,NA,742,1,NA,29832.669921875,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,NA,0
"17090",1,0,1,9,7,10,1929,2036,42,39346.3515625,1198,3,1,39346.3515625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,62,0,1,1,0
"17094",0,0,1,16,1,11,1942,1920,30,39830,218,1,1,103558,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"17095",0,0,1,10,4,10,1937,0,35,0,1252,3,1,46271.078125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"17109",0,0,1,8,NA,9,NA,0,60,0,443,0,NA,11266.2001953125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"17120",1,0,1,14,7,12,1944,3825,27,62590,3862,1,1,117214,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,71,0,1,1,0
"17128",1,0,1,3,7,7,1927,3000,44,34140,3898,7,1,62590,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,11,0,1,1,0
"17167",1,0,1,16,2,11,1947,3024,25,75859.078125,3930,1,1,75859.078125,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,91,0,1,1,0
"17181",1,0,1,14,8,10,1940,2210,31,73116.5,2197,0,0,87626,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,4,31,0,1,1,0
"17218",0,0,1,12,10,10,1947,1920,25,35505.6015625,4445,1,1,96957.6015625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,12,12,51210,0,0,0,0,1,29,NA,NA,NA,NA,NA,1
"17249",0,0,1,16,7,13,1926,0,45,0,382,2,1,114369,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,1
"17372",1,0,1,11,9,8,1944,2936,28,68496.21875,1301,3,1,73401,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,30,0,1,1,0
"17378",0,0,1,11,8,10,1942,0,29,0,1696,2,1,39830,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"17385",1,0,1,12,1,13,1913,2080,58,40968,3357,0,1,74026.8984375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,61,0,1,1,0
"17393",0,1,0,NA,NA,2,NA,NA,36,NA,1196,2,NA,18890.80078125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6145.2001953125,0,NA,0,2,34,NA,NA,NA,NA,NA,0
"17438",1,0,1,16,11,10,1911,2400,60,170700,151,0,1,251498,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,71,0,1,1,0
"17446",0,0,1,12,9,11,1927,0,44,0,4098,2,1,75768.0390625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"17454",0,0,1,12,1,9,1928,0,44,0,4953,0,1,125180,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"17457",1,0,1,14,10,10,1940,2204,32,48934,4060,2,1,48934,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,4,31,0,1,1,0
"17472",1,0,1,12,8,12,1917,2038,54,51210,3902,1,1,85350,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,30,0,1,1,0
"17476",1,0,1,12,5,12,1927,2750,45,71694,3188,0,1,80513.5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"17555",0,NA,NA,12,NA,11,NA,0,54,0,3383,0,NA,19095.640625,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"17606",1,0,1,11,8,11,1934,2040,37,29422.990234375,699,5,1,50072,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,81,0,1,1,0
"17649",0,1,0,7,10,7,1920,2040,51,3840.75,3435,2,1,30908.080078125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
"17662",1,0,1,17,3,10,1923,2508,49,84212,2888,1,1,102533.796875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,40,NA,87,0,1,1,0
"17664",1,0,1,10,NA,0,NA,0,59,0,4871,0,0,15903.5498046875,1,0,9229.1796875,8830.8798828125,398.299987792969,0,0,0,NA,NA,NA,NA,NA,NA,0,4,30,2,NA,0,0,1,0
"17684",0,0,1,12,4,7,1927,0,44,0,1784,2,1,61452,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"17713",0,0,1,NA,NA,7,NA,NA,60,NA,1278,0,NA,10384.25,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,0
"17716",0,0,1,12,6,10,1946,0,27,0,1152,1,1,82078.25,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"17724",0,0,1,15,5,8,1927,0,43,0,1689,1,1,90186.5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"17729",1,0,1,15,11,13,1945,2500,26,56900,4992,0,1,117214,0.400000005960464,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,4,4,NA,82,0,1,1,0
"17734",0,NA,NA,8,NA,10,NA,0,55,0,861,1,NA,27368.900390625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"17755",1,0,1,12,9,12,1945,2080,26,23898,3537,0,0,23898,0.300000011920929,0,0,0,0,0,0,0,6,NA,11380,0,0,0,0,2,24,NA,61,0,1,1,0
"17778",0,0,1,12,4,12,1939,0,33,0,814,3,1,62590,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"17792",0,0,1,NA,NA,8,NA,NA,33,NA,3471,1,NA,36063.21875,0.5,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,1,37,NA,NA,NA,NA,NA,0
"17800",1,0,1,10,1,8,1940,2516,32,55181.62109375,880,3,1,71227.421875,0.800000011920929,2389.80004882812,2389.80004882812,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,42,0,1,1,0
"17806",1,0,1,12,4,8,1935,2600,37,55363.69921875,975,4,1,156702.59375,1.29999995231628,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,51,0,1,1,0
"17812",1,1,0,12,NA,11,NA,1920,50,73970,1608,2,1,121766,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,92,0,1,1,0
"17848",0,0,1,11,6,7,1938,0,33,0,248,5,1,68029.640625,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"17852",0,0,1,17,8,13,1930,2000,41,71125,4702,0,NA,190615,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"17907",1,0,1,12,10,10,1920,3632,51,29952.16015625,4437,0,1,40114.5,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,55,0,1,1,0
"17943",1,0,1,NA,NA,10,NA,2437,47,42675,4344,0,1,76815,0.5,3414,3414,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,0,0,1,0
"18000",1,0,1,12,NA,11,NA,1960,60,44438.8984375,550,0,1,47283.8984375,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,4,81,0,1,1,0
"18003",1,0,1,12,11,10,1944,2640,27,58607,3773,3,1,58607,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,42,0,1,1,0
"18022",1,0,1,12,9,11,1945,2073,26,55762,288,2,1,56171.6796875,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,57,0,1,1,0
"18031",1,0,1,8,NA,8,NA,1540,40,25605,1435,4,1,25605,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,0,0,1,0
"18069",0,0,1,16,11,11,1917,1920,54,47227,2853,0,1,172947.546875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"18160",1,0,1,NA,NA,9,NA,1240,32,34140,2544,3,1,89674.3984375,1,10242,19118.400390625,0,0,0,1422.5,1560,NA,NA,NA,NA,NA,NA,0,4,4,1,32,0,1,1,0
"18190",1,0,1,8,1,10,1917,1920,55,42675,1516,0,1,47454.6015625,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,44,0,1,1,0
"18193",0,0,1,11,10,12,1933,0,38,0,4859,3,1,90471,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"18300",1,0,1,12,9,9,1916,2150,56,54612.62109375,221,0,1,92291.796875,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,44,0,1,1,0
"18315",1,0,1,4,8,8,1922,2760,49,31295,3829,4,1,35847,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,11,0,1,1,0
"18321",1,0,1,12,6,8,1911,1920,60,53486,663,0,1,81867.71875,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,62,0,1,1,0
"18345",0,0,1,12,3,10,1924,0,48,0,3359,0,NA,56160.30078125,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
"18349",1,0,1,10,6,10,1943,3293,28,59176,482,1,1,60171.75,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,30,0,1,1,0
"18369",1,0,1,16,10,12,1941,2576,30,110386,3757,2,1,115222.5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,86,0,1,1,0
"18376",0,0,1,12,9,9,1935,480,35,22760,4112,4,1,86374.203125,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"18477",0,0,1,12,3,12,1927,0,45,0,3207,3,NA,73970,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"18479",1,0,1,12,6,11,1927,2080,44,38350.6015625,3447,0,1,67711,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,11,0,1,1,0
"18501",0,0,1,12,3,11,1926,1680,27,55762,938,0,0,56331,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,87,0,1,1,0
"18518",0,0,1,12,1,9,1930,0,42,0,2225,1,1,143957,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"18572",1,0,1,13,12,12,1946,1632,25,34709,1192,0,1,59989.671875,0.5,0,0,0,0,0,0,0,8,12,59471.87890625,25030.310546875,0,0,0,2,21,NA,31,0,1,1,0
"18585",1,0,1,8,5,11,1916,2167,55,37798.671875,518,0,1,66004,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,69,0,1,1,0
"18588",1,0,1,12,6,11,1946,2350,25,56900,1936,0,1,104696,0.400000005960464,0,0,0,0,0,0,0,12,NA,NA,68849,0,NA,0,2,21,NA,61,0,1,1,0
"18624",0,0,1,12,9,10,1925,0,46,0,4498,3,1,96730,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"18654",1,0,1,15,8,11,1944,2069,27,41252.5,495,3,1,41252.5,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,61,0,1,1,0
"18664",0,0,1,12,9,11,1926,1600,46,11380,3794,1,1,96730,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"18680",1,0,1,12,8,8,1945,2400,26,59176,1189,1,1,69110.7421875,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,31,NA,33,0,1,1,0
"18690",0,0,1,9,NA,10,NA,0,55,0,896,0,NA,9081.240234375,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"18723",0,0,1,12,9,11,1921,1912,51,45867.08984375,2755,2,0,93253.40625,0.5,0,5889.14990234375,5889.14990234375,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,92,0,1,1,0
"18760",1,0,1,11,6,9,1925,2500,47,65002.55859375,3272,0,1,98932.03125,0.5,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,1,31,NA,55,0,1,1,0
"18761",0,NA,NA,12,NA,13,NA,0,42,0,389,2,NA,133715,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"18773",1,0,1,12,10,8,1944,2020,27,48365,2017,1,1,55375.078125,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"18826",0,0,1,12,8,11,1923,2000,48,49582.66015625,588,0,1,111438.6484375,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"18865",1,0,1,16,1,10,1943,561,29,13587.7197265625,3978,0,0,13587.7197265625,1,0,0,0,0,0,0,0,NA,NA,71125,0,0,0,0,1,18,NA,82,0,1,1,0
"18901",0,1,0,16,3,10,1945,2410,27,34310.69921875,3436,0,0,34310.69921875,0.300000011920929,0,0,0,0,0,0,0,6,3,27067.330078125,3840.75,0,0,0,3,39,NA,42,0,1,1,0
"18907",0,0,1,13,12,11,1945,0,26,0,2585,1,1,5690,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"18937",1,0,1,16,7,13,1912,2185,59,227600,597,0,1,256050,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,44,0,1,1,0
"18949",0,0,1,14,11,11,1936,1500,36,22760,612,2,1,131154.5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"18963",1,0,1,11,3,8,1946,NA,26,NA,2441,3,NA,78567.5234375,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,11,50641,0,0,0,0,1,37,NA,NA,NA,NA,NA,0
"18990",1,0,1,16,4,12,1945,2750,28,56900,4893,3,1,56900,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,62,0,1,1,0
"19026",0,0,1,9,5,7,1931,384,40,6828,3898,7,1,62590,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"19029",1,0,1,8,10,9,1920,1936,51,44882.71875,675,0,1,54498.8203125,0.5,1524.92004394531,1524.92004394531,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,1,44,0,1,1,0
"19044",0,NA,NA,4,NA,8,NA,0,58,0,1345,1,NA,10071.2998046875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"19051",0,0,1,12,8,10,1911,0,60,0,600,1,1,59995.359375,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"19052",1,0,1,9,NA,11,NA,960,45,28450,1656,6,1,73970,1.60000002384186,11380,11380,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,0,0,1,0
"19058",1,0,0,16,NA,10,NA,2370,37,108110,4329,7,1,108110,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,87,0,1,1,0
"19073",1,0,1,17,8,12,1941,3160,30,105265,986,4,1,106403,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,55,0,1,1,0
"19104",0,0,1,12,5,8,1940,2000,32,42106,975,4,1,156702.59375,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"19120",0,0,1,13,5,11,1921,300,50,3300.19995117188,2640,0,1,95592,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"19158",1,0,1,17,9,10,1932,3500,39,147940,3397,0,1,235566,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,88,0,1,1,0
"19184",1,0,1,12,9,9,1933,440,39,6941.7998046875,1687,11,1,51602.609375,2.59999990463257,9673,45019.28125,0,8535,1512,0,3200,NA,NA,NA,NA,NA,NA,0,1,29,NA,31,0,1,1,0
