"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"817",1,0,1,12,1,10,1943,2842,35,47160,1167,0,0,47160,12,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,0,1,0
"839",1,0,1,12,3,10,1945,1960,32,36942,5715,1,0,36942,12,0.300000011920929,0,0,0,0,0,0,0,0,8,8,38380.37890625,18392.400390625,0,0,0,3,41,42,0,1,1,0
"841",0,0,1,12,12,10,1941,0,35,0,1684,3,1,82530,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"842",0,0,1,16,2,11,1944,0,33,0,4939,3,1,356058,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,1
"859",1,0,1,13,10,9,1919,2064,57,76635,5210,0,1,93141,37,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,92,0,1,1,0
"892",1,0,1,12,7,9,1932,1890,45,70740,2623,1,1,86911.953125,25,0.5,5659.2001953125,0,5659.2001953125,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,31,0,1,1,0
"894",0,0,1,17,4,9,1943,240,34,9432,5746,2,1,80565,15,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,1
"970",0,0,1,12,10,11,1948,154,28,3930,2864,1,1,3.9300000667572,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,NA,NA,NA,1
"975",1,0,0,12,12,9,1938,2450,38,82530,392,3,1,82883.703125,19,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,56,0,1,1,0
"991",0,0,1,12,8,11,1924,887,52,13755,671,0,1,89604,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"1036",0,1,0,13,7,10,1947,1952,29,12733.2001953125,5072,1,1,20593.19921875,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,1
"1050",0,NA,NA,12,NA,9,NA,1920,32,18864,4122,2,NA,60757.80078125,1,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,1
"1141",1,0,1,16,8,11,1949,2068,27,55020,998,1,1,94320,8,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,5,50,91,0,1,1,0
"1161",1,0,1,13,9,10,1930,3420,46,151933.796875,3357,2,1,282174,27,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,30,0,1,1,0
"1180",0,0,1,17,9,12,1948,625,28,4716,3871,0,1,86853,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,11,86460,0,0,0,0,2,24,NA,NA,NA,NA,1
"1211",0,0,1,17,11,7,1943,1539,33,39300,1523,2,1,100018.5,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"1212",0,0,1,12,11,9,1943,0,33,0,392,3,1,82883.703125,9,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"1264",0,0,1,12,9,9,1949,2621,27,30591.119140625,4272,0,0,30591.119140625,8,0.5,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,9,61,0,1,1,0
"1313",0,1,0,12,6,9,1924,1800,50,20868.30078125,2649,0,NA,65277.30078125,22,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"1328",1,0,1,16,8,12,1926,2400,50,66810,3899,0,1,109411.203125,31,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,32,0,1,1,0
"1334",0,0,1,12,1,10,1942,1848,35,28174.169921875,1589,1,1,79727.90625,16,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"1358",0,0,1,12,5,10,1943,0,33,0,2448,2,1,51090,4,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"1371",1,0,1,17,11,12,1948,2393,29,58517.69921875,4439,1,1,74277,6,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,92,0,1,1,0
"1374",0,0,1,12,2,10,1926,1440,50,14148,372,2,NA,47238.6015625,15,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,1
"1431",1,0,1,16,3,11,1927,1888,50,113970,2119,0,1,192570,29,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,32,0,1,1,0
"1452",0,NA,NA,12,NA,10,NA,1920,27,28296,5880,0,NA,101001,8,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,1
"1489",1,0,1,8,NA,0,NA,1920,47,31498.94921875,1596,0,0,41048.8515625,29,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,31,0,1,1,0
"1490",0,0,1,11,10,11,1941,2000,35,27510,5452,2,1,84573.6015625,15,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,1
"1495",0,0,1,12,3,11,1944,780,32,117.900001525879,5330,3,NA,60246.8984375,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,1
"1519",1,0,1,16,1,11,1917,2160,60,133620,2314,0,0,141480,36,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,44,0,1,1,0
"1544",0,0,1,12,12,9,1950,0,26,0,367,1,1,58557,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,1
"1546",0,0,1,14,9,10,1951,1320,25,18706.80078125,1703,0,1,85237.7734375,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,NA,1
"1583",0,0,1,12,4,10,1947,0,30,0,5796,3,NA,90468.6015625,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"1584",0,0,1,16,9,11,1943,418,35,20436,1390,3,1,83316,8,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,38,NA,NA,NA,NA,1
"1608",0,0,1,16,7,9,1936,0,40,0,1465,4,1,190605,2,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"1626",0,0,1,14,9,10,1950,1720,26,23580,2080,0,1,106306.5,7,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,46774.859375,0,NA,0,2,34,NA,NA,NA,NA,1
"1662",0,0,1,16,9,11,1938,940,39,21615,2048,2,1,139515,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"1664",0,0,1,12,11,12,1951,2125,25,55020,4408,0,0,55609.5,5,0.200000002980232,0,0,0,0,0,0,0,0,12,16,0,0,0,0,0,4,4,71,0,1,1,0
"1674",0,0,1,16,5,8,1950,2008,27,43230,4643,0,1,94909.5,4,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"1680",0,0,1,12,10,13,1924,0,53,0,3934,0,1,68727.84375,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,29,NA,NA,NA,NA,1
"1700",1,0,1,12,7,9,1916,1760,60,58635.6015625,702,0,1,76320.6015625,41,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,62,0,1,1,0
"1734",0,0,1,12,11,12,1949,0,27,0,5186,2,1,87521.1015625,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,12,0,31440,0,0,0,3,19,NA,NA,NA,NA,1
"1772",1,0,1,8,2,10,1928,2630,49,57378,4498,1,1,59146.5,30,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,31,0,1,1,0
"1776",1,0,1,12,1,10,1938,1360,39,18864,3304,2,1,18864,19,0.5,0,0,302.609985351562,0,0,77,0,0,NA,NA,NA,NA,NA,NA,0,2,12,51,0,1,1,0
"1778",0,0,1,12,8,10,1920,1280,56,6288,2598,0,1,78993,15,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"1787",1,0,1,12,3,13,1921,2550,55,157200,7,1,1,159558,26,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,31,0,1,1,0
"1822",0,0,1,12,8,12,1923,0,53,0,4393,0,1,90390,6,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"1834",1,0,1,12,8,9,1929,2200,46,64440.2109375,506,1,1,77016.2109375,27,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,11,0,1,1,0
"1838",1,1,0,12,NA,8,NA,972,49,27510,4589,3,1,38514,27,1.39999997615814,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,51,0,1,1,0
"1844",1,0,1,12,12,11,1928,1920,48,65100.44921875,5587,3,1,72080.1328125,30,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,33,0,1,1,0
"1858",1,0,1,12,9,10,1919,2300,57,28099.5,4600,0,0,64609.19921875,39,0.100000001490116,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,61,0,1,1,0
"1863",1,0,1,17,6,9,1949,2013,27,77028,2162,2,1,95106,7,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,92,0,1,1,0
"1886",0,NA,NA,16,NA,12,NA,0,50,0,652,1,NA,113970,11,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,1
"1888",0,0,1,13,12,13,1920,0,56,0,1193,0,1,392996.0625,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,1
"1929",1,0,1,16,8,11,1926,2200,50,58950,3720,0,1,96843.0625,27,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,61,0,1,1,0
"1945",1,0,1,16,10,11,1946,2625,30,74670,3372,1,1,74670,11,0.400000005960464,0,0,0,0,0,0,0,0,16,16,58950,72705,0,0,0,1,28,62,0,1,1,0
"1981",0,0,1,12,2,10,1950,1255,27,23403.150390625,1463,2,1,86043.421875,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,1
"1982",0,0,1,16,5,12,1951,1968,25,34584,172,0,1,80840.1015625,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,12,47160,47160,0,0,0,2,22,NA,NA,NA,NA,1
"1990",0,0,1,12,9,10,1947,2205,29,58950,5368,1,1,124109.3984375,11,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,1
"2016",0,0,1,16,6,8,1949,25,27,1179,1229,2,1,68735.703125,8,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"2031",1,0,1,16,11,10,1939,3060,37,84612.8984375,3604,2,1,202395,18,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,11,0,1,1,0
"2032",1,0,1,16,5,11,1947,3308,30,55020,1475,2,1,64845,6,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,87,0,1,1,0
"2044",1,0,1,NA,NA,12,NA,NA,30,NA,606,0,NA,70653.5390625,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,12,59060.0390625,0,0,0,0,5,51,NA,NA,NA,NA,0
"2048",0,0,1,17,1,10,1947,0,30,0,5231,2,1,96678,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,16,113970,687.75,0,0,0,2,22,NA,NA,NA,NA,1
"2065",1,0,1,16,4,13,1946,2440,30,61308,684,2,1,100608,11,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,44,0,1,1,0
"2086",0,1,0,17,7,5,1950,1560,27,41265,5138,3,1,91470.75,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,31440,0,NA,0,3,1,NA,NA,NA,NA,1
"2096",1,0,1,13,12,11,1930,1940,46,21497.099609375,3439,3,1,110904.6015625,27,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,57,0,1,1,0
"2111",0,NA,NA,12,NA,10,NA,2250,41,35370,4781,1,NA,98250,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"2114",1,0,1,15,4,10,1930,2223,47,78600,5193,0,1,78993,22,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,82,0,1,1,0
"2147",1,0,1,14,8,9,1949,3485,27,74866.5,5359,1,1,90979.5,8,0.5,0,0,0,0,0,0,0,0,12,14,102180,0,0,0,0,3,9,61,0,1,1,0
"2192",1,0,0,4,NA,5,NA,1170,43,33405,2318,4,1,63390.8984375,21,1.20000004768372,0,0,11035.4404296875,0,0,1278,0,1530,NA,NA,NA,NA,NA,NA,0,4,2,40,0,1,1,0
"2205",1,0,1,13,3,11,1938,NA,37,NA,3499,2,1,34387.5,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,42,NA,NA,NA,0,NA
"2209",0,0,1,15,11,12,1946,600,30,3144,5492,1,0,26016.599609375,10,0.699999988079071,0,0,21693.599609375,21693.599609375,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,71,0,1,1,0
"2219",0,0,1,12,7,10,1923,0,53,0,787,0,0,47946,18,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,1,0
"2224",1,0,1,12,NA,9,NA,2075,33,58950,4266,2,1,89666.8828125,16,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,51,0,1,1,0
"2263",1,0,1,16,7,12,1948,2460,28,20553.900390625,3205,0,0,31440,6,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,11,0,1,1,0
"2280",0,0,1,11,11,11,1944,0,32,0,4135,2,0,14242.3203125,12,0.800000011920929,0,0,9597.0595703125,0,7168.31982421875,618,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,1,0
"2296",0,1,0,7,10,8,1950,2008,26,7860,4982,5,1,37335,4,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,1
"2355",1,0,1,12,6,10,1945,2152,31,28751.880859375,2259,0,0,29647.919921875,12,0.5,0,0,0,0,0,0,0,0,10,NA,NA,0,0,NA,0,2,13,40,0,1,1,0
"2357",0,0,1,12,3,10,1947,1020,30,19257,1737,3,1,53919.6015625,9,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"2368",0,0,1,13,4,10,1942,380,34,5502,2081,4,0,25831.890625,NA,0.600000023841858,0,0,0,0,0,0,19257,0,NA,NA,NA,NA,NA,NA,0,2,34,86,0,1,1,0
"2387",0,1,0,16,8,10,1947,NA,29,NA,3543,0,NA,44424.71875,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,19650,0,NA,0,3,16,NA,NA,NA,NA,0
"2393",1,0,1,12,11,10,1934,1969,42,70740,5840,1,1,160579.796875,23,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,51,0,1,1,0
"2394",1,0,1,10,5,12,1943,2805,33,29475,4803,2,1,29475,14,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,33,0,1,1,0
"2415",0,0,1,7,3,7,1938,1040,39,8253,1788,1,1,71919,12,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,1
"2423",0,0,1,12,7,8,1952,1920,25,38907,5732,1,NA,125956.5,8,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,2829.60009765625,0,0,0,1,31,NA,NA,NA,NA,1
"2443",1,0,1,12,2,10,1945,2300,32,61308,2138,0,1,107682,13,0.400000005960464,0,0,0,0,0,0,0,0,12,8,3537,0,0,0,0,2,13,44,0,1,1,0
"2451",0,0,1,17,6,11,1948,704,28,14934,150,0,1,91372.5,9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,12,12,58950,0,0,0,0,4,4,NA,NA,NA,NA,1
"2452",1,0,1,12,1,6,1927,0,50,0,210,0,1,34992.71875,25,0.400000005960464,0,0,14855.400390625,14855.400390625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,0,0,1,0
"2490",0,0,1,11,11,7,1942,0,33,0,785,2,0,32878.37890625,2,0.400000005960464,0,0,32878.37890625,32878.37890625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,1,0
"2539",1,1,0,10,NA,6,NA,0,60,0,483,0,1,11361.6298828125,47,0.300000011920929,0,0,8630.2802734375,6932.52001953125,0,432,0,0,NA,NA,NA,NA,NA,NA,0,3,17,NA,0,0,1,0
"2581",0,0,1,15,3,12,1924,624,53,11051.16015625,5336,0,1,110040,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"2582",1,0,1,12,1,8,1950,3360,27,49125,293,0,1,96678,7,0.5,4323,0,4323,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,1,0
"2586",0,0,1,8,9,5,1929,50,47,589.5,2431,2,0,17826.48046875,2,1,0,0,18133.01953125,0,0,858,0,3756,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,1,0
"2609",0,0,1,12,7,10,1947,1950,29,19465.2890625,796,1,NA,146207.796875,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,1
"2616",0,0,1,12,3,10,1937,0,41,0,5610,8,1,31557.900390625,5,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"2633",0,NA,NA,11,NA,10,NA,0,50,0,588,0,NA,5046.1201171875,6,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,1
"2636",0,0,1,12,8,7,1936,2080,40,36156,4134,1,1,112940.34375,21,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,37,NA,NA,NA,NA,1
"2654",1,0,1,17,10,10,1951,1620,25,33405,2155,0,1,86460,7,0.5,0,6288,6288,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,0,1,0
"2666",0,1,0,12,8,8,1929,1960,47,17685,1114,0,1,121751.3984375,24,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"2667",0,0,1,4,4,0,1934,NA,43,NA,3450,2,NA,59952.1484375,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,0
"2668",1,0,1,12,NA,9,NA,2072,40,76635,1718,2,1,106817.3984375,22,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,71,0,1,1,0
"2695",1,0,1,13,NA,11,NA,3360,34,58950,5045,0,0,58950,15,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,62,0,1,1,0
"2701",1,0,1,12,6,11,1924,2000,52,102180,2130,0,1,133620,31,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,51,0,1,1,0
"2710",1,0,1,12,5,10,1917,1912,59,22825.439453125,3180,0,1,39213.5390625,40,0.600000023841858,0,0,1603.43994140625,0,0,408,0,0,NA,NA,NA,NA,0,NA,0,3,9,83,0,1,1,0
"2713",1,0,1,15,11,12,1945,2860,31,102180,2808,2,1,102180,12,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,61,0,1,1,0
