"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"8836",0,0,1,12,11,8,1948,1894,32,47835.9609375,1267,0,1,112473.9765625,12,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"8847",1,0,0,17,5,11,1943,2525,37,75980,5051,2,1,105979,14,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,0,1,1,0
"8866",0,0,1,12,9,9,1945,0,35,0,906,4,1,158719.59375,7,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"8878",1,0,1,17,3,13,1947,1579,34,52496.94140625,5564,2,1,52531,9,0.5,0,0,0,0,0,0,0,0,NA,16,4226.06005859375,NA,NA,0,0,1,31,0,1,1,0
"8902",0,0,1,12,7,13,1955,0,25,0,3880,2,1,45483.19921875,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,12,14,70740,0,0,0,0,2,21,0,0,NA,1
"8910",1,0,1,16,9,13,1932,2088,48,110040,3847,0,1,110040,23,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"8946",0,0,1,16,4,12,1952,1399,28,31440,4530,1,1,93010,5,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,12,15,131000,39300,0,0,0,2,12,0,1,NA,1
"8954",1,0,1,16,5,13,1954,2295,27,NA,6276,1,NA,75427.1796875,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,0
"8972",0,0,1,12,4,10,1935,2304,45,61499.26171875,3305,0,0,61499.26171875,20,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"8974",1,0,1,16,9,13,1928,2100,52,110040,4550,0,1,153270,25,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"8975",0,0,1,16,1,10,1946,1912,35,52855.87890625,5207,0,0,60715.87890625,9,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"8976",1,0,1,17,3,11,1949,1952,31,59133.3984375,1540,0,0,91424.8984375,9,0.400000005960464,0,0,0,0,0,0,0,0,12,NA,NA,552.820007324219,0,NA,0,6,NA,0,1,1,0
"8979",1,0,1,16,2,12,1951,2041,30,85150,5068,3,1,90989.9765625,7,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"8984",1,0,1,12,3,11,1922,2370,59,62038.98046875,2040,0,1,74614.9765625,34,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,1,1,0
"8990",0,0,1,12,8,13,1932,0,48,0,4550,0,1,153270,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,0,0,NA,1
"8993",0,0,1,17,6,12,1940,2084,40,58263.55859375,102,0,0,59049.55859375,15,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"9006",1,0,1,12,10,6,1944,3620,37,40426.6015625,3043,2,1,64048.51953125,18,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,0,1,1,0
"9009",1,0,1,12,NA,9,NA,1840,28,34060,1194,1,1,68224.796875,10,0.800000011920929,0,0,0,0,0,0,5344.7998046875,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"9021",1,0,1,12,5,8,1930,2100,50,33012,4683,0,1,37507.921875,28,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"9053",0,0,1,12,3,10,1926,0,55,0,3658,0,1,40479,1,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,0,NA,1
"9061",1,0,0,15,9,10,1955,430,25,5633,1568,4,1,24012.30078125,4,1.20000004768372,0,1713.47998046875,19856.98046875,0,13521.8203125,1764,0,0,12,12,41920,0,0,0,0,1,37,0,0,1,0
"9062",0,0,1,17,12,10,1952,1240,28,13100,2793,1,1,64059,4,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,14,NA,NA,0,0,NA,0,2,24,0,1,NA,1
"9128",0,0,1,14,3,9,1947,1100,34,34191,782,2,1,128568.640625,9,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"9146",0,0,1,13,4,10,1955,300,26,2620,1378,1,1,72778.359375,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,0,NA,1
"9158",1,0,1,17,12,13,1930,2672,50,94975,5024,0,1,220032.84375,27,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"9181",1,0,0,3,9,8,1922,3354,58,10480,5711,2,1,17548.759765625,33,1,0,0,5030.39990234375,0,0,1920,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"9187",1,0,1,12,6,10,1952,2500,29,55020,1671,2,1,75456,9,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"9190",1,0,1,12,7,8,1943,2010,37,39300,4841,3,1,46643.859375,14,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"9195",1,0,1,12,11,11,1945,2104,35,48160.83984375,1080,3,1,59039.078125,9,1,471.600006103516,0,471.600006103516,0,0,0,5030.39990234375,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
