"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"37957",1,0,1,12,4,11,1948,2080,27,54340,277,0,1,79420,8,3,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,0,1,0
"37977",1,0,1,14,12,10,1947,2000,28,52668,1732,2,1,64372,10,1,0.800000011920929,0,0,0,0,0,0,0,12,NA,NA,0,0,0,0,2,22,55,0,1,1,0
"37993",1,0,1,13,8,11,1924,3410,51,91124,62,0,1,117876,33,2,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,88,0,1,1,0
"38012",1,0,1,12,11,11,1932,2550,43,104500,3366,1,1,123937,25,3,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,51,0,1,1,0
"38079",0,0,1,12,11,12,1931,1862,44,33866.359375,85,1,0,50419.16015625,15,1,0.400000005960464,0,0,0,0,0,10450,0,NA,NA,NA,NA,NA,NA,0,3,16,71,0,1,1,0
"38087",0,0,1,12,4,10,1921,2000,54,31768,1380,2,0,31768,9,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,31,0,1,1,0
"38115",0,1,0,16,NA,11,NA,1080,28,29260,492,2,NA,31935.19921875,11,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,NA,1
"38116",1,0,1,14,7,7,1941,1890,34,33440,3011,2,1,79002,16,3,1,0,0,0,0,0,1045,0,NA,NA,NA,NA,NA,NA,0,4,4,92,0,1,1,0
"38142",0,0,1,12,2,11,1927,0,49,0,3042,0,1,130023.078125,6,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,0,NA,1
"38145",0,NA,NA,10,NA,9,NA,0,33,0,1883,3,NA,28424,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,0,NA,1
"38172",1,0,1,16,9,10,1943,2070,32,100320,5181,2,1,114532,14,3,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,30,0,1,1,0
"38188",0,0,1,16,10,11,1931,777,44,11035.2001953125,3535,2,1,91751,14,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,NA,1
"38206",1,0,1,12,4,8,1945,2040,31,45963.28125,5073,2,1,50728.48046875,13,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,61,0,1,1,0
"38229",0,0,1,8,7,6,1931,810,45,8803.080078125,411,0,0,12836.7802734375,5,4,0.200000002980232,3678.39990234375,5036.89990234375,0,355.299987792969,240,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,0,1,0
"38240",0,0,1,12,7,11,1942,0,33,0,637,3,1,69388,8,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,0,NA,1
"38252",1,0,1,12,8,9,1944,2310,31,81510,2249,2,1,91124,10,NA,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,55,0,1,1,0
"38296",0,0,1,10,9,11,1935,2020,41,56430,1726,2,0,66044,5,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,32,0,1,1,0
"38312",1,0,1,9,4,9,1938,2068,38,61446,4356,2,1,64790,20,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,32,0,1,1,0
"38315",1,0,1,14,12,12,1927,2450,49,133760,4026,2,1,177357.40625,31,1,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,62,0,1,1,0
"38345",1,0,1,12,7,8,1948,1968,27,30096,5071,2,1,42552.3984375,10,NA,1,0,5016,5016,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,92,0,1,1,0
"38380",0,0,1,14,6,11,1934,2500,41,45980,1033,2,1,165110,20,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,NA,1
"38383",0,0,1,12,10,6,1928,60,47,501.600006103516,1107,0,1,41883.6015625,4,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,0,NA,1
"38385",1,0,1,7,10,12,1935,1968,40,40964,655,3,1,94050,22,5,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,31,0,1,1,0
"38392",0,0,1,12,7,12,1925,0,50,0,4843,0,1,75867,3,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,0,NA,1
"38417",0,0,1,12,12,11,1928,1435,47,21318,5673,0,NA,94058.359375,28,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,NA,1
"38458",1,0,1,12,5,7,1948,2400,27,33440,5798,1,1,46816,10,3,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,6,NA,91,0,1,1,0
"38570",0,0,1,14,9,13,1948,1960,28,50160,2405,2,1,91960,9,NA,1,NA,NA,NA,NA,NA,NA,NA,12,13,36470.5,0,0,0,0,4,4,NA,0,1,NA,1
"38571",0,0,1,12,4,9,1949,100,27,1254,2937,2,1,39710,3,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,NA,1
"38581",1,1,0,8,6,8,1943,1680,31,31600.80078125,4182,5,1,42176.19921875,13,3,1.39999997615814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,40,0,1,1,0
"38591",1,0,1,9,10,13,1932,2005,43,54758,2659,2,1,59088.48046875,25,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,31,0,1,1,0
"38603",1,0,1,17,10,12,1937,2500,38,198550,3284,3,1,201894,20,1,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,62,0,1,1,0
"38623",1,1,0,12,8,8,1946,2385,30,85865.5625,3479,0,1,95609.140625,12,3,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,55,0,1,1,0
"38650",1,0,1,17,10,9,1945,1739,30,57266,5261,0,1,111606,12,1,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,87,0,1,1,0
"38657",1,0,1,16,1,13,1940,2750,36,71060,3558,3,1,75240,18,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,31,85,0,1,1,0
"38693",1,0,1,11,7,10,1922,0,54,0,2697,0,1,47401.19921875,34,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,0,1,0
"38729",1,0,1,8,7,9,1935,2646,42,26430.140625,5336,1,1,83600,23,4,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,62,0,1,1,0
"38768",1,0,1,8,8,8,1950,1688,25,41800,4102,2,1,45582.8984375,4,NA,1,2842.39990234375,2842.39990234375,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,51,0,1,1,0
"38775",1,0,1,10,8,9,1937,3000,38,104500,3576,3,1,136268,20,1,0.800000011920929,0,25916,25916,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,61,0,1,1,0
"38788",1,0,1,14,1,10,1920,3120,55,16970.80078125,1360,0,1,68970,37,4,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,3,23,11,0,1,1,0
"38795",0,1,0,11,NA,9,NA,0,28,0,4666,2,0,15900.7197265625,3,NA,0.600000023841858,0,21117.359375,0,0,1248,0,3804,11,2,0,0,0,0,0,2,12,NA,0,0,1,0
"38811",0,0,1,17,9,12,1936,425,39,18810,1803,2,1,152674.5,11,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,NA,1
"38830",1,0,1,12,9,11,1922,2921,53,113800.5,1193,2,1,122056,35,2,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,21,0,1,1,0
"38851",0,0,1,17,5,13,1945,2040,30,60192,1197,0,0,60192,3,2,0.200000002980232,0,0,0,0,0,0,0,NA,16,117040,NA,NA,0,0,4,4,92,0,1,1,0
"38877",1,0,1,17,3,9,1930,2880,46,112860,3660,2,1,128744,23,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,86,0,1,1,0
"38891",1,0,1,16,2,13,1927,4160,49,54444.5,1169,2,1,127151.421875,27,2,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,51,0,1,1,0
"38897",0,0,1,12,4,8,1916,1920,60,25681.919921875,4105,0,1,67795.421875,30,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,NA,1
"38900",1,0,1,9,NA,11,NA,120,60,6270,10,0,1,48488,39,NA,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,0,1,0
"38924",0,1,0,NA,NA,3,NA,NA,32,NA,3027,1,NA,40675.578125,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,0,0,NA,0,2,34,NA,NA,NA,NA,0
"38932",1,0,1,17,10,13,1948,2367,27,59356,1390,2,1,63118,9,2,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,86,0,1,1,0
"38954",1,0,0,17,8,12,1923,2375,53,250800,1078,0,1,336490,18,1,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,86,0,1,1,0
"38960",1,0,1,14,9,11,1924,2210,52,96140,1758,0,1,100320,34,4,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,33,0,1,1,0
"38969",0,0,1,12,3,11,1936,320,40,5016,1368,3,1,58938,22,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,49,NA,0,0,NA,1
"38990",1,0,1,17,10,12,1945,3964,31,83600,485,0,1,151316,9,1,0.699999988079071,0,0,0,0,0,0,0,14,12,33440,62700,0,0,0,1,31,62,0,1,1,0
"39004",1,0,1,12,5,9,1938,1120,38,25080,5605,4,1,25080,20,3,3,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,51,0,1,1,0
"39058",1,0,1,12,2,9,1943,3900,33,32604,4059,2,1,58729,15,2,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,61,0,1,1,0
"39066",0,0,1,13,11,11,1948,672,27,10450,3857,1,0,14880.7998046875,8,3,0.400000005960464,0,0,0,0,0,3135,0,NA,NA,NA,NA,NA,NA,0,3,41,71,0,1,1,0
"39076",1,1,0,6,8,9,1934,2019,40,38456,429,1,1,57015.19921875,20,2,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,31,0,1,1,0
"39083",1,0,1,12,7,11,1931,2844,44,58520,4342,2,1,58603.6015625,26,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,92,0,1,1,0
"39091",1,0,1,17,6,11,1940,2535,35,79420,2427,1,1,125400,12,1,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,87,0,1,1,0
"39104",1,1,0,14,9,12,1927,2201,48,77330,3715,1,1,77685.296875,26,3,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,92,0,1,1,0
"39145",1,0,1,17,9,10,1950,1951,26,40337,5633,1,1,66148.5,7,1,0.600000023841858,0,0,0,0,0,0,0,12,12,39083,0,0,0,0,4,5,87,0,1,1,0
"39157",1,0,1,10,NA,11,NA,1440,37,NA,3426,2,NA,66963.6015625,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,11,NA,NA,NA,0,0
"39174",0,NA,NA,16,6,10,1949,1968,26,62700,5352,0,NA,138441.59375,7,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,NA,1
"39183",1,1,0,8,NA,10,NA,NA,60,NA,5638,0,NA,16874.66015625,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,0,0
"39184",1,0,1,16,6,11,1946,2340,29,40128,5150,2,1,40128,8,3,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,0,1,0
"39190",1,0,1,16,1,11,1933,3018,43,239238.125,2247,1,1,265430,21,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,71,0,1,1,0
"39198",1,0,1,12,4,11,1947,2015,29,146300,4992,1,1,4.17999982833862,11,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,17,11,0,1,1,0
"39201",1,0,1,7,1,10,1941,2080,34,30096,2213,6,1,43472,16,3,1.29999995231628,0,0,0,0,0,0,0,7,6,38874,16720,0,0,0,3,45,30,0,1,1,0
"39219",0,NA,NA,12,NA,11,NA,1920,42,35530,3728,0,NA,85690,7,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,0,1,NA,1
"39231",0,0,1,16,5,10,1945,0,30,0,1195,3,1,64790,6,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,0,0,NA,1
"39240",0,0,1,12,8,13,1936,0,39,0,2440,1,1,138358,2,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,0,NA,1
"39253",1,0,1,12,7,11,1929,2400,47,83600,2129,0,1,151316,28,4,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,30,0,1,1,0
"39291",1,0,1,16,8,11,1948,2160,27,64790,4834,0,1,85690,9,1,0.300000011920929,0,0,0,0,0,0,0,12,10,75240,3762,0,0,0,3,32,92,0,1,1,0
"39295",1,1,0,5,11,5,1915,1900,60,38665,2814,0,1,38665,42,2,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,11,0,1,1,0
"39302",0,0,0,16,12,10,1944,2000,31,28465.80078125,3778,0,1,63786.80078125,13,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,1,NA,1
"39339",0,0,1,10,7,9,1920,1920,56,52668,5561,0,1,164483,34,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,NA,1
"39395",1,0,1,15,NA,10,NA,300,27,4389,5782,0,0,42656.8984375,9,NA,0.699999988079071,0,627,0,627,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,0,1,0
"39397",1,0,1,6,8,10,1939,0,36,0,2244,3,1,32186,18,4,1.20000004768372,0,20971.060546875,19616.740234375,0,324,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,0,0,1,0
"39408",1,0,1,12,7,12,1924,2188,51,70224,1109,0,1,136226.203125,33,3,0.5,1881,1881,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,55,0,1,1,0
"39417",0,0,1,12,7,11,1950,2000,25,20064,3129,0,1,59105.19921875,7,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,1,NA,1
"39451",0,0,1,NA,NA,0,NA,NA,42,NA,3678,3,NA,44241.12109375,NA,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,0
"39460",1,0,1,17,1,11,1942,4917,34,108680,2004,1,1,108680,10,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,86,0,1,1,0
"39514",1,0,1,16,8,10,1947,3120,28,15344.7802734375,2558,2,1,28097.9609375,5,1,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,11,0,1,1,0
"39518",0,0,1,10,6,8,1943,0,32,0,1322,3,1,42594.19921875,4,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,0,NA,1
"39521",0,0,1,12,7,13,1936,1000,39,4180,1230,2,1,58624.5,7,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,35,NA,0,0,NA,1
"39531",1,0,1,12,8,11,1926,2000,50,NA,926,0,NA,76703,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,0
"39538",1,0,1,17,2,12,1940,2880,37,104500,3782,5,1,169290,18,2,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,57,0,1,1,0
"39589",1,0,1,14,8,12,1937,2497,38,60192,466,3,0,69889.6015625,17,4,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,92,0,1,1,0
"39651",0,0,1,13,1,11,1940,300,38,7524,3240,2,1,87612.796875,12,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,0,1,NA,1
"39702",1,0,1,14,12,10,1948,2532,26,64790,63,2,1,68343,5,1,0.600000023841858,0,0,0,0,0,0,0,11,12,91124,24662,0,0,0,1,20,92,0,1,1,0
"39710",0,0,1,13,9,9,1949,0,26,0,621,1,1,21163.33984375,7,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,0,0,NA,1
"39769",0,0,1,17,3,10,1945,1170,31,79629,970,0,1,152779,12,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,14,16,102828,4180,0,0,0,1,31,NA,0,1,NA,1
"39776",1,0,1,2,7,7,1929,1820,47,16720,3030,1,1,31768,29,NA,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,11,0,1,1,0
"39805",1,0,1,12,11,10,1950,1993,25,55176,3949,2,1,80256,7,NA,0.800000011920929,0,0,0,0,0,0,0,12,8,58938,25080,0,0,0,2,40,40,0,1,1,0
"39820",0,0,1,12,NA,12,NA,2000,48,40128,1325,0,0,40128,20,NA,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,21,0,1,1,0
"39824",1,0,1,14,NA,7,NA,1040,26,16720,5838,0,1,32395,3,NA,0.699999988079071,8151,8151,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,31,0,1,1,0
"39829",0,0,1,12,12,9,1938,400,37,2717,5186,3,1,24933.69921875,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,0,NA,1
"39834",1,0,1,NA,NA,8,NA,NA,50,NA,2164,0,NA,29343.599609375,NA,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,0
"39890",1,0,1,17,11,11,1949,1755,26,40658.859375,2396,0,0,40721.55859375,8,3,0.5,0,0,0,0,0,0,0,12,11,87362,0,0,0,0,2,21,87,0,1,1,0
"39936",1,0,1,8,5,2,1920,300,55,1254,660,0,1,7185.419921875,7,NA,0.699999988079071,0,1195.47998046875,0,0,286,0,0,NA,NA,NA,NA,NA,NA,0,4,43,NA,0,0,1,0
"39938",0,0,1,12,1,10,1936,198,40,1755.59997558594,743,3,1,53533.26171875,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,NA,1
"39973",0,0,1,14,4,11,1940,0,36,0,4943,4,1,150480,2,NA,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,0,0,NA,1
"39987",0,0,1,12,10,8,1931,900,44,14044.7998046875,1290,2,NA,49825.6015625,26,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,NA,1
"40002",1,0,1,8,3,9,1918,960,58,16636.400390625,678,1,1,45461.6796875,39,3,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,83,0,1,1,0
"40016",1,0,1,16,9,10,1945,2160,30,36311.66015625,3983,2,1,73446.78125,12,2,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,11,0,1,1,0
"40018",0,0,1,16,10,8,1920,1440,55,15048,1712,1,1,82521.5625,12,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,1,NA,1
"40019",0,0,1,14,1,10,1932,0,44,0,279,2,1,116413,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,0,NA,1
"40065",0,NA,NA,14,NA,0,NA,0,26,0,2588,2,NA,108680,NA,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,0,NA,1
"40084",1,0,1,16,4,10,1933,2108,43,73150,3917,1,1,81510,18,3,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,31,0,1,1,0
"40125",0,0,1,12,2,10,1933,1960,43,NA,4541,0,0,77447.0390625,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,2,22,NA,NA,NA,NA,0
"40161",0,0,1,12,5,9,1950,160,25,5016,2333,2,1,68861.3203125,4,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,0,1,NA,1
"40168",0,0,1,11,10,9,1927,0,46,0,4629,0,1,103246,5,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,8,8,10032,0,0,0,0,3,9,NA,0,0,NA,1
"40181",1,0,1,16,8,13,1948,2292,27,75240,5362,3,1,76285,9,1,0.699999988079071,0,0,0,0,0,0,0,14,13,41800,34694,0,0,0,4,5,40,0,1,1,0
"40185",0,NA,NA,14,NA,9,NA,0,28,0,215,2,NA,42949.5,4,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,0,NA,1
"40189",0,0,1,16,5,11,1939,2150,36,48070,1445,0,1,97394,14,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,NA,1
"40212",1,1,0,2,6,7,1933,1566,42,7524,1589,3,1,12803.33984375,20,5,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,61,0,1,1,0
"40213",1,0,1,17,7,12,1946,520,29,9196,4692,0,1,57036.1015625,11,2,0.5,3950.10009765625,3950.10009765625,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,0,1,0
"40215",0,0,0,12,6,13,1931,0,43,0,2507,0,1,100763.078125,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,0,NA,1
"40235",1,0,1,17,10,NA,1945,1600,30,NA,2715,0,NA,142546.359375,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,12,14,0,0,0,0,0,3,9,NA,NA,NA,NA,0
"40245",1,0,1,14,4,9,1939,2000,36,53504,779,3,1,70224,18,1,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,33,0,1,1,0
"40268",0,0,1,16,12,9,1946,2197,29,NA,29,1,NA,143073.046875,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,50160,0,0,0,1,29,NA,NA,NA,NA,0
"40275",1,0,1,11,NA,9,NA,0,57,0,3379,0,1,58102,34,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,0,1,0
"40300",0,0,1,12,9,10,1945,0,31,0,1472,0,1,61420.921875,3,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,0,NA,1
"40315",1,0,1,12,10,10,1942,2430,34,66880,810,1,1,75240,16,NA,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,32,0,1,1,0
"40341",0,0,1,16,8,11,1949,2000,26,33724.23828125,540,0,1,100177.8828125,8,NA,0.5,NA,NA,NA,NA,NA,NA,NA,11,10,62700,27588,0,0,0,4,4,NA,0,1,NA,1
"40357",0,0,1,16,2,10,1945,500,31,8360,810,1,1,75240,8,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,0,1,NA,1
"40360",0,1,0,8,12,7,1921,1260,53,12540,2804,1,1,24620.19921875,2,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,0,1,NA,1
"40375",1,0,1,17,4,11,1947,1970,28,54340,3188,2,1,81928,11,1,1,0,0,0,0,0,0,0,12,12,62700,0,0,0,0,2,22,87,0,1,1,0
"40376",1,0,1,17,8,11,1945,2047,30,33022,1937,2,1,71561.6015625,8,4,0.800000011920929,710.599975585938,710.599975585938,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,87,0,1,1,0
"40394",1,0,1,12,12,9,NA,2019,25,45980,5061,0,1,79420,5,NA,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,61,0,1,1,0
"40441",1,0,1,17,6,11,1935,1100,40,82764,2524,1,1,95304,22,NA,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,87,0,1,1,0
"40459",1,0,1,12,9,11,1933,250,42,2090,128,0,0,22655.599609375,23,5,0.200000002980232,18475.599609375,18475.599609375,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,0,1,0
"40488",0,0,1,11,5,7,1940,1664,35,20900,3529,6,1,63536,12,NA,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,1,NA,1
"40495",0,0,1,12,8,8,1935,960,40,13844.16015625,3548,4,1,80051.1796875,7,NA,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,0,1,NA,1
"40501",1,0,1,13,4,10,1937,1213,38,31793.080078125,330,0,0,64873.6015625,20,NA,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,81,0,1,1,0
