"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"18572",1,0,1,13,12,12,1946,520,29,11704,1464,0,0,26216.9609375,11,2,0.200000002980232,14504.599609375,14504.599609375,0,0,0,0,0,8,12,36366,35112,0,0,0,2,21,NA,0,0,1,0
"18585",1,0,1,8,5,11,1916,3482,60,36157,2574,0,1,53922,42,3,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,61,0,1,1,0
"18588",1,0,1,12,6,11,1946,1984,29,37202,2912,1,1,98648,8,1,0.400000005960464,0,0,0,0,0,0,0,12,NA,NA,54340,0,NA,0,2,21,71,0,1,1,0
"18624",0,0,1,12,9,10,1925,0,51,0,7,2,1,170544,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,0,0,NA,1
"18654",1,0,1,15,8,11,1944,2352,32,41382,3398,4,1,41912.859375,13,2,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,61,0,1,1,0
"18664",0,0,1,12,9,11,1926,0,48,0,3632,1,1,73986,10,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,1,NA,1
"18680",1,0,1,12,8,8,1945,2032,30,48070,1539,1,1,66462,12,1,0.5,0,0,0,0,0,0,0,12,NA,NA,1672,0,NA,0,1,31,44,0,1,1,0
"18690",0,0,1,9,NA,10,NA,1064,59,3971,2215,0,0,3971,8,NA,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,83,0,1,1,0
"18723",0,0,1,12,9,11,1921,2008,54,42845,1518,0,0,60969.48046875,33,2,0.300000011920929,0,639.539978027344,639.539978027344,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,92,0,1,1,0
"18760",1,0,1,11,6,9,1925,3280,50,45980,591,0,1,84339.859375,32,5,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,55,0,1,1,0
