"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"47524",0,0,1,17,10,10,1942,NA,1250,31,53600,3759,1,1,114704,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"47530",0,0,1,17,3,13,1946,NA,1440,27,45560,730,2,1,116044,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"47553",0,0,1,12,3,10,1929,NA,0,43,0,2775,2,1,48776,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"47624",1,0,1,16,10,10,1943,NA,2550,29,48240,1313,0,1,108808,0.300000011920929,0,0,0,0,0,0,12,NA,53642.87890625,0,0,0,0,1,29,NA,71,0,1,1,0
"47639",1,1,0,9,NA,5,NA,NA,2048,34,21440,4526,2,1,42880,0.800000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,43,0,1,1,0
"47677",1,0,1,12,8,9,1920,NA,1960,53,105377.6015625,2406,0,1,136599.59375,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,40,0,1,1,0
"47692",1,0,1,12,NA,10,NA,NA,3525,49,85127.5234375,1320,0,1,87711.0390625,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,55,0,1,1,0
"47695",0,0,1,12,12,10,1926,NA,1837,47,34304,1840,4,0,64320,0.899999976158142,0,18760,18760,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,86,0,1,1,0
"47767",0,0,1,14,3,9,1948,NA,2000,25,42880,3839,0,1,85760,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"47768",1,0,1,12,NA,12,NA,NA,1840,49,58960,4286,1,1,84688,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"47796",1,0,1,12,NA,12,NA,NA,1944,45,53600,2325,0,1,89512,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,31,0,1,1,0
"47822",0,0,1,12,1,10,1941,NA,0,32,0,2608,2,1,104520,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"47868",0,0,1,12,3,7,1923,NA,884,50,10184,4396,0,1,27336,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"47879",0,1,0,5,4,7,1927,NA,1764,48,21440,4520,1,1,64320,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"47888",0,0,1,14,10,11,1935,NA,0,37,0,2237,3,1,107736,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
