"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"11628",1,0,1,8,6,7,1920,NA,1680,51,51456,3650,0,1,99492.3203125,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,85,0,1,1,0
"11659",0,0,1,16,2,8,1925,NA,1800,48,48240,2917,0,1,116580,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"11690",0,0,1,12,5,11,1934,NA,0,38,0,2454,3,1,249347.203125,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"11775",0,0,1,14,9,12,1944,NA,1344,28,10720,2178,2,1,48856.3984375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"11805",1,1,0,12,11,7,1931,NA,2600,41,37520,5152,0,1,49312,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,81,0,1,1,0
"11814",1,0,1,16,10,11,1941,NA,1960,31,93800,1492,0,1,93800,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,91,0,1,1,0
"11858",1,0,1,12,10,11,1938,NA,2205,34,112227.6796875,3170,2,1,138834.71875,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,71,0,1,1,0
"11872",0,0,1,8,8,8,1930,NA,0,43,0,4404,4,1,37520,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"11881",0,1,0,14,8,10,1933,NA,1840,38,39594.3203125,2678,4,0,44471.921875,1.39999997615814,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,8,NA,92,0,1,1,0
"11896",0,0,1,14,4,12,1917,NA,1600,54,18224,879,0,0,23369.599609375,0.100000001490116,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,48,NA,83,0,1,1,0
"11898",0,0,1,13,7,12,1944,NA,0,28,0,1072,2,1,80400,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
"11953",0,0,1,16,7,13,1947,NA,1200,25,26800,1632,1,1,81204,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"11954",0,0,1,11,10,12,1937,NA,2000,35,16080,2025,3,1,69680,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"11979",0,0,1,13,3,11,1943,NA,0,30,0,1509,2,1,109880,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,NA,NA,NA,NA,NA,1
"11994",1,0,1,12,5,11,1943,NA,2450,29,60166,2801,4,1,107200,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,51,0,1,1,0
"12012",1,0,1,13,10,9,1945,NA,1920,27,NA,4757,0,NA,132156.15625,0.400000005960464,NA,NA,NA,NA,NA,NA,12,12,68608,0,0,0,0,3,9,NA,NA,NA,NA,NA,0
"12019",1,0,1,7,2,1,1941,NA,3120,32,NA,4454,0,NA,65874.3984375,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,16,NA,NA,NA,NA,NA,0
"12029",1,0,1,12,7,10,1940,NA,2750,32,NA,2882,0,1,92417.1171875,1,NA,NA,NA,NA,NA,NA,NA,NA,15383.2001953125,0,0,0,0,3,9,NA,NA,NA,NA,NA,0
"12030",1,0,1,12,10,12,1936,NA,2236,36,80400,727,3,1,80678.71875,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,57,0,1,1,0
"12040",1,0,1,10,7,8,1928,NA,1960,44,43952,2634,3,1,85652.796875,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,92,0,1,1,0
"12045",0,0,1,12,8,10,1945,NA,0,27,0,3406,3,1,38592,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"12061",0,0,1,12,6,9,1946,NA,2000,27,24120,5017,2,1,83080,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"12081",0,1,0,NA,NA,7,NA,NA,2000,27,27855.919921875,4963,0,0,43067.6015625,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,56,0,1,1,0
"12083",1,0,0,14,5,10,1941,NA,2446,31,69680,3656,2,1,70216,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,85,0,1,1,0
"12084",1,0,1,13,9,11,1941,NA,1978,31,58960,728,2,1,58960,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,92,0,1,1,0
"12119",1,0,1,6,6,0,1946,NA,2295,26,39690.80078125,4456,1,1,68559.7578125,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,32,0,1,1,0
"12120",0,0,1,6,10,12,1927,NA,2450,43,34840,761,1,1,91232.5625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,NA,NA,NA,NA,1
"12148",0,NA,NA,NA,NA,5,NA,NA,2000,27,21440,4526,2,NA,42880,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12150",0,0,1,12,2,8,1935,NA,0,37,0,3005,2,1,51456,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4,4,NA,NA,NA,NA,NA,1
"12170",0,0,1,8,1,10,1915,NA,2256,58,49178,4062,0,1,70103.4375,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12195",1,1,0,3,10,5,1936,NA,0,56,0,2323,3,1,29651.51953125,1,0,26435.51953125,21868.80078125,0,0,852,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,0,0,1,0
"12209",0,0,1,9,10,9,1928,NA,1520,44,14472,4669,2,NA,58424,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"12226",1,0,1,12,2,9,1920,NA,3750,53,37520,1568,1,1,48776,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,32,0,1,1,0
"12235",0,0,1,9,5,5,1918,NA,0,54,0,239,0,1,12113.599609375,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"12248",0,0,1,8,11,11,1914,NA,778,58,16080,858,0,1,85760,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"12268",0,0,1,17,1,12,1932,NA,2226,41,64888.16015625,3231,0,0,65413.44140625,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,87,0,1,1,0
"12273",0,0,1,14,12,9,1940,NA,0,32,0,1116,2,1,80400,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"12297",1,0,1,9,3,10,1946,NA,2277,28,32160,762,2,1,35912,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,31,0,1,1,0
"12298",1,0,1,10,12,6,1926,NA,2579,46,28408,1959,0,1,76112,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,61,0,1,1,0
"12311",1,0,1,10,NA,12,NA,NA,4284,55,27561.119140625,4130,0,1,99160,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"12340",0,0,1,12,6,8,1941,NA,0,32,0,1480,2,1,26800,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"12341",1,0,1,12,NA,10,NA,NA,2600,34,82544,2355,2,1,85867.203125,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,61,0,1,1,0
"12365",1,0,1,12,11,6,1942,NA,1730,30,52528,1512,2,1,56950,0.800000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,55,0,1,1,0
"12380",0,0,1,7,5,10,1944,NA,0,28,0,2030,6,1,48240,1.60000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"12402",1,1,0,9,NA,6,NA,NA,NA,53,NA,4199,3,NA,65397.359375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,NA,NA,0
"12417",0,0,1,12,1,11,1943,NA,2000,30,26800,968,2,NA,91120,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"12439",1,0,1,9,11,10,1927,NA,1468,45,28944,2129,7,1,74600.4765625,1.70000004768372,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,51,0,1,1,0
"12480",0,0,1,12,6,12,1932,NA,280,40,6432,3503,2,0,32910.3984375,0.699999988079071,0,19296,19296,0,0,0,NA,NA,NA,NA,NA,NA,0,2,37,NA,86,0,1,1,0
"12490",1,0,1,11,4,7,1921,NA,4030,52,42960.3984375,2064,0,1,65392,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,11,0,1,1,0
"12503",1,0,1,12,5,9,1947,NA,1848,26,56280,4500,1,1,84554,1,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,1,37,NA,92,0,1,1,0
"12518",0,0,1,12,4,9,1929,NA,0,44,0,2799,1,1,71100.3984375,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"12542",0,1,0,16,6,11,1922,NA,0,50,0,2627,2,1,135286.40625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,NA,1
"12545",1,0,1,16,NA,12,NA,NA,2750,52,129176,3888,0,1,129444,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,86,0,1,1,0
"12549",0,0,1,8,1,11,1922,NA,1200,50,17152,1379,0,1,43282,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"12575",0,0,1,8,3,9,1932,NA,1100,42,17982.80078125,2240,0,1,55438.48046875,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"12579",0,0,1,11,6,11,1926,NA,0,47,0,4625,1,1,124352,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12604",0,0,1,12,NA,10,NA,NA,1710,58,15822.7197265625,2662,0,0,25920.9609375,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,61,0,1,1,0
"12619",0,0,1,12,10,12,1924,NA,1258,48,21440,3230,2,1,179292,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,29,NA,NA,NA,NA,NA,1
"12641",0,0,1,12,6,11,1944,NA,0,28,0,2801,4,1,107200,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"12645",1,0,1,16,10,11,1934,NA,3600,38,96480,3765,4,1,110684,1,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,29,NA,71,0,1,1,0
"12687",0,0,1,15,11,9,1938,NA,980,34,16080,2369,4,1,95676,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"12718",0,1,0,12,4,11,1938,NA,1920,34,36448,2249,3,1,112292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12766",0,0,1,11,9,8,1947,NA,738,26,5520.7998046875,876,2,0,25583.279296875,0.699999988079071,0,9910.6396484375,0,0,8040,1849,NA,NA,NA,NA,NA,NA,0,2,48,NA,42,0,1,1,0
"12790",0,0,1,12,9,13,1917,NA,0,56,0,3288,1,1,50920,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12792",1,0,1,13,4,10,1948,NA,2056,25,36448,3083,1,1,43416,0.699999988079071,0,0,0,0,0,0,12,12,96480,0,0,0,0,4,4,NA,91,0,1,1,0
"12804",1,0,1,8,10,9,1915,NA,1560,56,42880,2194,0,0,46766,0.200000002980232,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,32,0,1,1,0
"12819",1,0,1,16,5,10,1947,NA,2000,25,42880,353,1,1,79328,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,86,0,1,1,0
"12824",1,0,1,15,8,11,1940,NA,2241,32,88976,1511,2,1,89136.796875,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,38,NA,32,0,1,1,0
"12883",1,0,1,17,12,12,1945,NA,2288,27,56280,551,0,1,88440,0.300000011920929,0,0,0,0,0,0,NA,7,0,NA,NA,0,0,3,3,NA,87,0,1,1,0
"12895",1,0,1,12,6,7,1924,NA,1920,48,48776,313,3,1,98559.6796875,NA,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,31,0,1,1,0
"12904",0,0,1,12,9,10,1915,NA,0,57,0,4628,0,1,58960,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"12910",0,1,0,9,3,5,1924,NA,0,48,0,3927,0,1,95595.6015625,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"12939",0,NA,NA,13,NA,10,NA,NA,0,34,0,2355,2,NA,85867.203125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"12966",0,0,1,12,7,8,1927,NA,2300,46,19740.880859375,3153,2,1,81648.8828125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,5,NA,NA,NA,NA,NA,1
"12974",0,0,1,16,11,11,1944,NA,1750,28,20368,78,0,1,51482.80078125,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,16,134000,64320,0,0,0,1,44,NA,NA,NA,NA,NA,1
"13031",0,0,1,16,10,10,1941,NA,1040,31,22512,3882,2,1,88976,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,NA,NA,1
"13075",0,0,1,12,11,7,1926,NA,0,46,0,2549,2,1,118579.28125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"13087",0,NA,NA,12,3,9,1944,NA,2000,29,26800,2902,1,NA,80400,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"13090",1,0,1,9,NA,9,NA,NA,1325,28,18904.720703125,5219,0,0,18904.720703125,0.200000002980232,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,30,0,1,1,0
"13095",1,0,1,11,5,9,1943,NA,1780,29,32160,4152,4,1,38860,1.20000004768372,3484,3484,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,32,0,1,1,0
"13145",0,0,1,14,12,12,1943,NA,0,29,0,769,1,1,37520,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"13170",1,0,1,17,8,10,1926,NA,2401,47,91656,3809,2,1,96346,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,87,0,1,1,0
"13172",1,0,1,15,8,10,1947,NA,2200,25,34840,3716,0,1,83750,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,51,0,1,1,0
"13200",1,0,1,15,4,11,1943,NA,2375,29,62444,361,3,1,62529.76171875,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,71,0,1,1,0
"13202",0,0,1,12,4,11,1942,NA,234,30,2680,941,2,1,67000,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"13243",0,0,1,12,1,8,1946,NA,1500,27,24120,2758,2,1,88440,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"13251",0,0,1,17,1,11,1931,NA,1700,43,98088,1051,0,0,99106.3984375,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,87,0,1,1,0
"13262",0,0,1,16,1,12,1947,NA,576,26,5360,3807,1,1,86028,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,15,NA,NA,NA,NA,NA,1
"13292",1,0,1,14,2,8,1918,NA,2160,54,147828.796875,4553,0,1,281400,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,4,51,0,1,1,0
"13297",0,0,1,15,2,10,1939,NA,880,34,41808,1733,1,0,53503.51953125,1,0,0,0,0,13400,0,NA,NA,NA,44354,0,NA,0,1,31,NA,86,0,1,1,0
"13313",0,0,1,11,9,9,1929,NA,1920,44,33928.80078125,123,0,1,81166.4765625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"13333",1,0,1,5,5,10,1922,NA,3138,50,48776,430,2,1,88289.921875,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,4,55,0,1,1,0
"13365",1,0,1,NA,NA,8,NA,NA,1720,25,16080,2419,2,1,29480,0.800000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,51,0,1,1,0
"13384",0,0,1,16,4,11,1925,NA,2000,47,48240,525,1,1,123414,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"13389",0,0,1,12,12,8,1947,NA,750,25,NA,2528,2,NA,130221.203125,0.899999976158142,NA,NA,NA,NA,NA,NA,12,NA,NA,49312,0,NA,0,2,21,NA,NA,NA,NA,NA,0
"13397",1,0,1,12,6,10,1932,NA,2668,40,40200,4417,0,1,88440,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,87,0,1,1,0
"13405",1,0,0,15,10,9,1942,NA,3227,30,111112.796875,135,3,1,111541.6015625,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,61,0,1,1,0
"13415",0,0,1,12,12,11,1917,NA,0,57,0,4435,0,1,63784,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,NA,NA,1
"13461",0,0,1,14,2,11,1948,NA,0,25,0,974,1,1,69680,0.400000005960464,NA,NA,NA,NA,NA,NA,12,NA,80400,0,0,0,0,3,16,NA,NA,NA,NA,NA,1
"13466",1,0,1,12,5,11,1922,NA,3000,51,68072,4429,0,1,70752,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,92,0,1,1,0
"13474",1,0,1,16,2,10,1935,NA,2550,38,77720,2548,1,1,127568,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,62,0,1,1,0
"13481",0,0,1,12,10,8,1919,NA,2480,53,34840,171,1,0,51086.16015625,0.600000023841858,0,13378.5595703125,13378.5595703125,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,2,86,0,1,1,0
"13497",1,0,1,17,2,10,1929,NA,4992,44,85760,1177,3,1,92738.71875,0.600000023841858,0,6174.72021484375,6174.72021484375,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,92,0,1,1,0
"13509",0,0,1,11,4,8,1932,NA,1330,40,12864,2609,3,1,93483.7578125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"13537",0,NA,NA,8,NA,12,NA,NA,0,59,0,1690,0,NA,43051.51953125,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"13547",1,0,1,7,10,10,1924,NA,2000,48,33446.3984375,1105,0,1,99824.640625,1.20000004768372,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,44,0,1,1,0
"13548",1,0,1,13,1,11,1946,NA,2610,27,46364,2353,0,1,80410.71875,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,43271.28125,0,NA,0,4,27,NA,61,0,1,1,0
"13556",0,0,1,11,11,11,1927,NA,0,45,0,3778,2,1,244148,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,39,NA,NA,NA,NA,NA,1
"13583",0,0,1,12,3,10,1913,NA,0,60,0,2068,0,1,66624.796875,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"13589",0,0,0,8,2,9,1919,NA,0,54,0,3398,3,NA,64320,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"13595",0,0,1,8,8,9,1934,NA,0,38,0,3620,2,1,45881.6015625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,NA,NA,NA,NA,1
"13606",1,0,1,12,8,12,1930,NA,2236,42,112560,2463,3,1,115240,0.800000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,32,0,1,1,0
"13607",0,0,1,14,1,13,1931,NA,240,42,3484,2365,2,1,54940,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"13610",0,NA,NA,7,11,6,1915,NA,2000,58,23219.51953125,776,0,NA,41700.80078125,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"13624",1,0,1,12,3,10,1944,NA,2096,29,52849.6015625,3727,3,1,55797.6015625,0.800000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,35,NA,51,0,1,1,0
"13650",1,0,1,7,10,9,1917,NA,1984,56,48776,3841,0,1,48776,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"13668",1,0,1,12,2,11,1942,NA,2430,31,96480,3635,1,1,107200,0.400000005960464,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,30,NA,86,0,1,1,0
"13717",0,0,1,15,9,11,1921,NA,0,52,0,4429,0,1,70752,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"13729",1,0,1,17,5,12,1927,NA,2695,46,321600,347,2,1,343040,0.699999988079071,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,51,0,1,1,0
"13730",1,0,1,8,NA,10,NA,NA,4040,57,40307.19921875,2711,0,1,60032,0.600000023841858,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,11,0,1,1,0
"13733",0,0,1,11,9,10,1938,NA,1600,32,15008,240,4,NA,53948.3984375,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"13753",0,0,1,12,11,13,1941,NA,2448,32,34304,196,4,0,47543.19921875,0.800000011920929,0,0,0,0,13400,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,32,0,1,1,0
"13821",1,0,1,9,1,10,1913,NA,2548,60,47436,2805,0,1,50116,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,11,0,1,1,0
"13830",0,0,1,6,3,11,1913,NA,2080,60,18760,3008,0,0,27336,0.600000023841858,0,5360,5360,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,40,0,1,1,0
"13835",0,0,1,16,1,11,1948,NA,1520,25,26800,3332,0,1,81766.796875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,15,NA,NA,NA,NA,NA,1
"13861",1,0,1,11,8,9,1924,NA,2154,48,58960,4837,2,1,85760,1,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,20,NA,33,0,1,1,0
"13886",0,0,1,15,8,10,1942,NA,944,30,24120,510,3,1,67428.796875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"13909",0,0,1,11,NA,10,NA,NA,2055,59,19687.279296875,1283,0,0,76873.1171875,0.100000001490116,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,61,0,1,1,0
"13983",1,0,1,14,9,11,1936,NA,2040,36,45024,2593,4,1,41808,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,NA,86,0,1,1,0
"14016",1,0,1,9,7,11,1943,NA,4160,29,24173.599609375,1625,2,1,26049.599609375,0.5,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,11,0,1,1,0
"14019",0,0,1,12,8,13,1917,NA,0,55,0,819,0,1,46031.6796875,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"14040",0,0,1,12,8,12,1945,NA,0,27,0,1388,2,1,155440,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,NA,1
"14076",0,0,1,14,NA,0,NA,NA,2860,43,80400,2733,0,0,80400,0.300000011920929,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,0,1,1,0
"14131",1,0,1,6,1,7,1947,NA,2080,26,21440,4182,2,1,43801.921875,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,51,0,1,1,0
"14192",0,0,1,12,5,9,1922,NA,0,51,0,2239,2,1,104520,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
