"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"15034",1,0,1,16,10,11,1944,2360,43,90450,2858,0,1,127233,19,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"15043",1,0,1,16,9,10,1953,1914,34,74370,4200,1,1,106128,13,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"15062",1,0,1,16,12,12,1961,2400,26,54270,1278,0,0,54471,5,1,0,0,0,0,0,0,0,0,12,NA,NA,1206,0,NA,0,1,6,0,1,1,0
"15085",0,0,1,12,12,10,1954,2706,33,30150,2535,4,NA,84339.6015625,10,2,0,0,0,0,0,NA,7839,0,12,12,110550,0,0,0,0,3,39,0,1,NA,1
"15089",0,0,1,14,5,10,1954,0,33,0,407,1,NA,41205,5,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,0,NA,1
"15180",0,0,1,16,2,11,1932,0,55,0,463,0,1,313238.40625,8,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,21,1,0,NA,1
"15183",1,0,0,17,3,12,1949,2976,39,114491.609375,4091,2,1,114491.609375,10,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"15188",1,0,1,17,2,10,1962,1920,26,26130,3263,1,1,73365,5,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"15210",1,0,1,13,4,11,1952,2040,36,47436,4602,2,1,94872,15,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"15250",0,0,1,17,11,13,1958,2064,29,76179,2060,0,1,177684,9,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,6,0,1,NA,1
"15318",1,0,1,16,10,11,1944,1856,43,74370,1104,2,1,99897,22,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"15319",1,0,1,17,4,12,1944,1970,44,140700,4509,2,1,144117,23,1,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,4,5,0,1,1,0
"15351",0,0,1,14,2,10,1951,1450,37,35838.30078125,3496,3,1,96998.578125,10,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"15365",0,0,1,17,6,10,1934,480,53,4020,6139,0,1,165591.84375,2,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,1
"15371",1,0,1,12,4,11,1960,2166,28,76380,2608,0,1,110148,7,2,0,0,0,0,0,0,0,0,12,8,76380,0,0,0,0,1,37,0,1,1,0
"15390",0,0,1,16,3,12,1951,2133,38,44220,3200,1,1,181961.28125,6,2,0,0,0,0,0,NA,0,0,NA,15,0,NA,NA,0,0,4,4,0,1,NA,1
"15413",0,0,1,17,9,7,1951,2080,36,39478.41015625,4373,0,0,52483.109375,10,1,0,0,0,0,0,0,0,0,NA,17,6333.509765625,NA,NA,0,0,3,42,0,1,1,0
"15414",0,0,1,12,1,11,1935,1743,53,19095,4880,0,1,69734.9375,3,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,1
"15421",1,0,1,12,10,12,1951,4000,36,0,2998,2,1,70350,15,1,0,0,0,0,0,0,0,0,12,NA,NA,47436,0,NA,0,3,16,0,1,1,0
"15424",0,0,1,12,1,9,1960,483,28,1800.9599609375,6294,1,1,67527.9609375,8,2,0,0,0,0,0,NA,0,0,12,12,47554.58984375,27476.69921875,0,0,0,4,36,0,0,NA,1
"15427",1,0,1,13,6,8,1961,1882,26,56280,7028,0,0,56280,6,2,0,0,0,0,0,0,0,0,NA,14,0,NA,NA,0,0,4,5,0,1,1,0
"15442",0,0,1,12,11,12,1953,0,34,0,3749,3,1,52260,7,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,0,NA,1
"15455",1,0,1,16,8,9,1957,2623,30,37810.109375,6788,0,1,150750,9,2,0,0,0,0,0,0,0,0,NA,16,74370,NA,0,0,0,2,34,0,1,1,0
"15514",0,0,1,14,12,12,1949,763,38,13065,1143,2,0,114274.53125,4,1,0,0,0,0,0,0,0,0,11,16,0,0,0,0,0,2,21,0,1,1,0
"15527",0,0,1,16,11,9,1957,2000,30,NA,5514,0,1,95475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,0
"15536",0,0,1,13,8,9,1951,1860,36,34170,1076,0,1,81646.203125,15,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"15548",1,0,1,17,6,11,1945,2266,42,134935.3125,4970,2,1,224573.28125,15,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"15578",1,0,1,16,5,12,1932,2450,55,201000,4419,0,1,263310,30,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"15583",1,0,1,17,10,10,1945,2282,42,66330,2669,1,1,135675,21,3,0,0,0,0,0,0,0,0,10,10,2010,0,0,0,0,2,24,0,1,1,0
"15585",1,0,1,12,2,10,1960,910,28,0,1434,0,NA,68340,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"15598",0,0,1,12,11,11,1959,1428,28,16080,4654,1,1,50189.69921875,8,2,0,0,0,0,0,NA,0,0,13,10,22110,30150,0,0,0,3,17,0,1,NA,1
"15599",1,0,1,14,12,6,1961,1991,26,66330,4629,2,1,126702.359375,5,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"15630",0,0,1,13,1,9,1959,1980,29,50250,6469,0,0,50250,8,1,0,0,0,0,0,0,0,0,12,14,84420,68340,0,0,0,4,46,0,1,1,0
"15653",0,1,0,8,12,4,1926,0,60,0,1338,0,0,15774.48046875,23,4,0,0,8538.48046875,8538.48046875,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,0,1,0
"15720",1,0,1,16,11,10,1947,2000,40,84420,3983,0,1,142026.59375,19,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"15723",1,0,1,12,12,10,1962,576,25,21346.19921875,3875,1,1,36180,8,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"15737",1,0,1,16,6,12,1959,2016,28,116580,5664,2,1,120600,5,1,0,0,0,0,0,0,0,0,16,17,1206000,80400,0,0,0,1,20,0,1,1,0
"15739",0,0,1,17,3,12,1951,1500,36,56280,3818,2,1,128640,14,1,0,0,0,0,0,NA,0,0,13,NA,NA,36180,0,NA,0,2,12,0,1,NA,1
"15763",1,0,1,12,9,9,1931,2262,56,22465.76953125,6666,0,1,61556.25,35,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"15819",1,0,1,17,12,13,1945,2148,42,55476,6314,2,1,93223.796875,19,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,0,1,1,0
"15825",1,0,1,17,4,13,1936,2450,52,150750,6583,0,1,269340,31,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"15839",1,0,1,12,1,10,1952,1596,36,32160,411,2,1,62310,15,2,0,2010,2010,0,0,0,0,0,12,NA,NA,0,0,NA,0,2,14,0,1,1,0
"15844",0,0,1,17,3,9,1962,2970,26,46230,3675,0,0,46431,8,2,0,0,0,0,0,0,0,0,12,12,30150,0,0,0,0,2,21,0,1,1,0
"15848",1,0,1,12,11,13,1936,2591,51,94470,4895,1,1,94721.25,30,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"15849",0,0,1,11,12,7,1953,264,34,603,1217,1,NA,36839.28125,15,4,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,41,0,0,NA,1
"15856",1,0,1,16,5,13,1947,1872,40,41028.12109375,1861,0,1,65148.12109375,15,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"15878",0,1,0,9,9,10,1956,0,31,0,260,2,0,11167.5595703125,NA,3,0,0,6054.1201171875,0,0,1536,0,1476,NA,NA,NA,NA,NA,NA,0,3,17,0,0,1,0
"15879",1,0,0,14,11,7,1951,2860,36,39054.30078125,4319,1,1,72360,16,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,35,0,1,1,0
"15897",1,0,0,16,1,11,1937,2640,51,62310,6913,0,0,64320,30,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,5,50,0,0,1,0
"15931",1,0,1,9,8,6,1948,2744,39,70350,5220,2,1,78591,19,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"15966",0,0,1,12,10,8,1938,1396,50,80601,2641,0,1,135876,25,4,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"15991",1,0,1,17,3,11,1955,968,33,12060,4770,0,0,18090,10,2,0,0,0,0,0,0,0,0,16,17,120600,48240,0,0,0,3,8,0,1,1,0
"15994",1,0,0,16,9,10,1944,5313,43,160800,4495,2,1,161202,18,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"16046",0,0,1,14,6,12,1946,1928,41,50250,1593,0,1,190861.5625,16,1,0,0,0,0,0,NA,0,0,8,NA,NA,0,0,NA,0,3,42,0,1,NA,1
"16061",1,0,1,17,7,11,1934,1300,53,40200,5832,0,0,108942,33,2,0,2412,2412,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,1,0,1,0
"16084",1,0,1,12,3,7,1946,3496,41,63596.3984375,5569,1,1,138368.40625,22,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"16086",1,0,1,12,7,11,1936,3000,51,52260,3772,0,1,68340,30,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"16112",0,0,1,13,10,12,1960,2016,27,26130,3768,1,NA,69345,3,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"16124",0,0,1,12,3,8,1936,0,52,0,4064,1,NA,34387.078125,31,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,1
"16137",0,0,1,11,11,10,1947,176,40,NA,2873,0,NA,13442.8798828125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,0,NA,0,3,32,0,1,NA,0
"16172",0,0,1,12,11,9,1927,0,60,0,2514,0,NA,75656.3984375,31,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,0,NA,1
"16188",0,0,1,12,4,9,1962,739,25,30150,985,1,NA,147582.234375,5,2,0,0,0,0,0,NA,0,0,14,14,140700,0,0,0,0,3,42,0,1,NA,1
"16196",1,0,1,17,3,11,1929,2450,59,90450,2811,0,1,217080,38,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"16232",1,0,1,13,7,11,1935,3120,52,21225.599609375,3394,1,1,58290,31,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"16237",0,0,1,12,7,9,1961,2040,26,16080,6716,1,NA,39074.3984375,5,1,0,0,0,0,0,NA,0,0,NA,6,12060,NA,NA,0,0,3,41,0,1,NA,1
"16241",0,1,0,12,4,10,1951,1368,36,13668,4053,2,0,15284.0400390625,10,1,0,0,0,0,0,0,0,0,10,12,52260,0,0,0,0,2,13,0,1,1,0
"16246",1,0,1,15,2,10,1958,640,30,7035,2849,0,1,127755.6015625,9,2,0,8442,8442,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,1,0,1,0
"16252",0,0,1,11,8,11,1952,450,35,4472.25,4847,3,1,69546,5,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,NA,1
"16268",0,0,1,13,7,7,1951,326,36,3618,5555,2,NA,93569.5234375,6,2,0,0,0,0,0,NA,0,0,12,10,38190,0,0,0,0,5,50,0,1,NA,1
"16285",1,0,1,14,2,11,1951,2142,37,64320,2147,1,1,142710,16,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"16289",0,0,1,14,8,10,1937,2668,50,100500,6254,0,0,100500,23,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"16293",0,0,1,17,11,8,1956,5840,32,47576.69921875,1738,3,1,93384.6015625,11,1,0,0,0,0,0,NA,0,0,15,17,0,0,0,0,0,3,41,0,1,NA,1
"16294",0,0,1,13,4,11,1951,48,37,482.399993896484,3028,1,1,105002.3984375,17,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"16303",1,0,1,12,4,10,1937,2187,51,96480,4049,0,1,103113,30,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"16344",0,0,1,10,4,7,1932,NA,55,0,1,0,0,18572.400390625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,2,13,0,0,NA,0
"16388",0,0,1,17,8,13,1961,2000,26,37761.87109375,3385,0,1,65903.8828125,6,3,0,0,0,0,0,NA,0,0,12,17,54270,28140,0,0,0,3,35,0,1,NA,1
"16409",0,0,1,15,11,12,1960,996,25,42210,2381,0,1,82410,5,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"16435",1,1,0,15,7,7,1961,2150,26,47637,1644,1,1,47637,5,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,15,0,1,1,0
"16437",0,0,1,11,4,11,1948,2734,39,38190,3699,2,0,39496.5,17,4,0,0,0,0,0,0,904.5,0,NA,NA,NA,NA,NA,NA,0,4,2,0,1,1,0
"16452",0,0,1,13,10,13,1951,2640,36,40200,5415,0,1,164418,14,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"16484",1,0,1,14,7,10,1954,2072,33,63315,1425,0,0,86908.3828125,12,2,0,0,0,0,0,0,0,0,12,14,42662.25,16080,0,0,0,1,29,0,1,1,0
"16500",0,0,1,17,10,10,1931,1592,56,50250,6403,0,1,160649.25,32,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"16552",0,0,1,10,12,6,1956,1864,32,26130,5966,1,NA,64320,15,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,23,0,1,NA,1
"16563",0,0,1,12,8,12,1935,1025,53,25125,5418,0,1,84621,22,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
