"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","occ","study","works","head","wife"
"40598",0,0,0,14,10,10,1921,1928,58,43350,337,0,0,62085.87109375,34,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,57,0,1,1,0
"40601",0,0,1,12,11,10,1947,2041,32,34680,3586,2,1,116178,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,NA,1
"40611",0,0,1,16,1,11,1956,1000,25,NA,4384,0,NA,76726.609375,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,1,NA,0
"40650",1,0,1,12,2,9,1947,1920,33,80920,2795,0,1,147390,13,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,30,0,1,1,0
"40676",1,0,1,8,7,6,1949,779,30,5780,6325,0,0,6358,8,0.300000011920929,0,0,86.6999969482422,0,0,30,0,0,8,NA,NA,0,0,NA,0,3,41,NA,0,0,1,0
"40696",0,0,1,7,6,7,1922,0,57,0,5018,0,1,50774.41015625,9,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,0,NA,1
"40732",0,0,1,14,10,10,1951,624,28,6647,3741,2,1,50690.6015625,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,NA,1
"40743",0,0,1,14,6,10,1951,2040,28,15606,2166,3,1,42194,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,NA,0,1,NA,1
"40751",1,0,1,17,8,8,1947,579,32,86700,4809,1,1,115600,10,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,56,0,1,1,0
"40752",1,0,1,12,8,10,1944,3760,37,76296,3875,1,1,88145,14,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,40,0,1,1,0
"40767",0,0,1,11,2,7,1951,0,29,0,2401,3,NA,56933,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,0,NA,1
"40795",0,0,1,9,8,6,1928,988,51,6647,2738,0,1,28989.58984375,25,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,0,1,NA,1
"40821",1,0,1,14,3,12,1954,2020,26,69360,270,1,1,86700,4,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,56,0,1,1,0
"40822",0,0,0,12,8,10,1948,0,31,0,6211,2,1,20808,1,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,0,NA,1
"40842",1,0,1,12,NA,10,NA,2860,44,74822.1015625,4783,1,1,146554.796875,22,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,51,0,1,1,0
"40845",0,1,0,12,6,4,1941,1960,38,13872,5843,3,NA,64435.44140625,16,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,NA,1
"40856",0,0,1,16,2,11,1948,920,31,8670,5473,2,1,58811.5,10,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,NA,1
"40864",1,0,1,14,9,7,1931,1715,49,112710,6247,2,1,124270,26,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,55,0,1,1,0
"40877",0,0,1,15,11,11,1951,32,28,86.6999969482422,724,3,1,56713.359375,4,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,12,10,98260,0,0,0,0,2,26,NA,0,0,NA,1
"40881",1,0,1,12,2,12,1941,1920,39,44335.48828125,2554,2,1,85994.84375,17,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,32,0,1,1,0
"40885",1,1,0,12,3,4,1949,1520,31,17340,12,0,1,18842.80078125,13,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,17,57,0,1,1,0
"40903",1,0,1,12,8,8,1952,2500,27,20952.5,3131,1,1,35547,5,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,51,0,1,1,0
"40912",1,0,1,12,12,11,1954,2255,25,28900,2705,1,1,35113.5,3,0.600000023841858,0,0,867,0,0,300,0,0,12,NA,NA,0,0,NA,0,1,31,61,0,1,1,0
"40923",1,0,1,9,1,10,1947,2400,33,83810,2615,4,1,84243.5,11,1.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,40,0,1,1,0
"40974",0,0,1,12,11,11,1926,320,53,1734,4285,2,1,91786.3984375,7,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,0,0,NA,1
"40987",0,0,1,16,9,8,1948,90,31,1436.32995605469,2518,2,1,58580.30078125,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,14,16,144500,0,0,0,0,2,48,NA,0,0,NA,1
"40993",1,0,1,17,3,12,1947,2424,33,21675,781,0,1,64215.80078125,11,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,86,0,1,1,0
"41001",0,0,1,17,9,10,1945,800,34,26010,426,2,NA,80053,12,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,NA,1
"41022",0,0,1,9,9,7,1919,960,60,9369.3798828125,2229,0,0,48780.30859375,1,0.300000011920929,0,2722.3798828125,2722.3798828125,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,86,0,1,1,0
"41033",0,0,1,14,10,9,1952,128,27,777.409973144531,5149,6,NA,30006.869140625,1,2,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,0,0,NA,0,1,29,NA,0,0,NA,1
"41101",1,0,1,12,8,9,1954,2340,25,49130,2165,2,1,49130,5,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,55,0,1,1,0
"41106",1,0,1,16,12,9,1947,2805,31,86700,5202,0,0,98260,6,0.300000011920929,0,0,0,0,0,0,0,0,14,12,57800,43350,0,0,0,1,29,33,0,1,1,0
"41130",1,0,1,17,5,12,1941,1962,39,72250,5741,2,1,72625.703125,16,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,92,0,1,1,0
"41165",1,0,1,10,9,11,1930,2250,49,60690,338,1,1,109126.3984375,30,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,30,0,1,1,0
"41192",0,0,1,12,3,11,1938,2156,42,20230,1139,2,NA,89416.6015625,8,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,0,1,NA,1
