"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"9936",1,0,1,9,5,7,1929,NA,0,54,0,4241,0,0,6430.31982421875,28,5,1,0,0,6430.31982421875,6430.31982421875,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,0,1,0
"9955",1,0,1,13,10,11,1956,39,2725,27,54960,372,1,1,54960,4,2,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"9964",1,0,1,16,1,10,1946,NA,1960,38,35495,3456,1,1,43386.33984375,12,3,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"9970",0,1,0,13,11,8,1956,34,NA,27,0,4508,0,0,70990,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,0
"9971",1,0,1,7,12,12,1932,NA,2295,51,57250,3100,0,1,65274.16015625,25,2,0.5,0,0,8024.16015625,8024.16015625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"9977",1,1,0,12,5,7,1955,39,2100,28,28689.119140625,1159,1,1,65232.94140625,7,2,0.5,0,0,0,0,0,0,0,0,6,3,0,4351,0,0,0,3,32,0,1,1,0
"9978",0,0,1,17,1,13,1931,NA,1936,56,45800,1888,0,1,226710,10,4,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"10001",1,0,1,16,4,11,1933,NA,1904,51,96180,3015,0,1,98928,23,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"10010",0,0,1,12,7,12,1957,13,128,26,714.47998046875,6235,3,1,37354.48046875,1,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,0,NA,1
"10059",0,0,1,17,1,12,1928,NA,0,56,0,4351,1,1,109936.03125,15,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"10097",1,0,1,12,12,11,1955,20,1704,28,36869,2178,2,1,56334,8,2,0.699999988079071,0,11450,11450,0,0,0,0,0,17,NA,NA,55463.80078125,0,NA,0,1,20,0,0,1,0
"10117",0,0,1,17,3,10,1953,20,0,31,0,2916,2,1,61143,5,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"10129",1,0,1,17,10,12,1929,NA,1778,54,84730,3361,1,1,132820,28,2,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"10131",0,0,1,12,4,10,1950,NA,2040,34,35037,1227,2,1,179160.4375,5,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,8,9,91600,0,0,0,0,2,22,0,1,NA,1
"10134",0,0,1,12,8,10,1939,NA,0,44,0,5587,3,1,83470.5,9,1,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"10143",1,0,1,12,3,8,1945,NA,2104,39,58974.37109375,1661,0,0,65413.8515625,20,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"10152",0,0,1,12,11,7,1954,34,2160,29,24045,265,2,1,54044,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"10162",1,0,1,16,11,11,1945,NA,2040,38,52670,2232,0,0,60685,12,3,0.200000002980232,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"10237",0,1,0,11,12,7,1953,23,0,30,0,6516,2,0,3208.2900390625,2,2,0.5,0,0,5976.89990234375,0,0,1284,0,1326,12,NA,NA,0,0,NA,0,2,21,0,0,1,0
"10240",0,0,1,12,10,11,1928,NA,1018,55,12240.0498046875,5182,1,1,84086.5078125,10,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"10267",0,1,0,17,5,10,1936,NA,1908,47,38930,1265,0,NA,132515.4375,20,4,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"10274",0,NA,NA,17,4,12,1951,9,2358,32,NA,2316,0,0,118851,NA,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,0
"10277",1,0,1,12,7,3,1957,41,NA,26,NA,4064,0,NA,8610.400390625,NA,NA,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,3,41,NA,NA,NA,0
"10281",1,0,1,16,7,9,1928,NA,2250,56,78730.203125,1756,1,1,166437.203125,26,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"10312",1,1,0,14,5,12,1930,NA,0,53,0,146,0,1,58399.578125,27,4,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,0,1,0
"10321",0,0,1,17,5,11,1939,NA,NA,45,0,6783,0,NA,37327,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,0,0,NA,0,3,23,0,0,NA,0
"10323",0,0,1,15,5,7,1950,NA,872,34,27480,6201,0,0,65265,8,1,0.200000002980232,0,0,0,0,0,0,0,0,12,11,38930,32060,0,0,0,5,50,0,1,1,0
"10327",1,0,1,17,5,9,1938,NA,2436,45,75295.203125,5050,0,1,170902.703125,30,3,0.800000011920929,0,2038.09997558594,2038.09997558594,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"10333",0,0,1,6,10,8,1945,NA,0,38,0,2454,0,1,20234.439453125,NA,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
