"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"9628",1,0,1,10,4,11,1931,NA,1981,52,45165.671875,1738,0,1,74257.828125,25,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"9631",0,0,1,12,8,10,1924,NA,1000,59,7786,5776,0,1,46029,7,3,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"9633",1,0,1,15,6,10,1947,NA,1900,37,21640.5,5943,2,1,52992.890625,11,1,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"9648",0,1,0,10,5,6,1952,17,1960,31,26057.91015625,1604,4,NA,44377.91015625,12,3,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,27,0,1,NA,1
"9662",0,0,1,10,7,9,1958,26,NA,26,NA,6865,0,1,17360.490234375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,26,0,1,NA,0
"9665",1,0,1,14,7,11,1954,12,1694,29,36640,1887,0,1,64188.69921875,10,2,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"9671",1,0,1,12,1,10,1956,13,3548,28,50034.2109375,1389,2,1,65835.2109375,2,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"9679",0,0,1,12,3,12,1928,NA,0,56,0,1559,0,1,73280,10,3,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"9680",0,0,1,12,12,8,1934,NA,180,49,1374,6101,1,1,70990,4,1,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,1
"9708",1,0,1,13,1,12,1950,NA,2208,34,54222.62109375,976,2,1,91352.6796875,8,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,1,0
"9715",0,0,1,10,1,9,1926,NA,0,58,0,749,0,1,73451.75,3,2,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,1
"9716",0,0,1,12,8,11,1947,NA,0,36,0,3532,2,1,109920,8,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,0,0,NA,1
"9725",0,1,0,12,11,6,1953,3,2083,30,17175,6895,1,1,33205,3,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"9737",1,0,1,12,4,10,1951,45,2232,32,27480,4195,5,1,45944.26953125,5,2,1.20000004768372,0,0,0,0,0,0,0,0,8,7,48548,0,0,0,0,3,45,0,1,1,0
"9750",0,0,1,12,2,8,1958,34,132,25,274.799987792969,6474,2,1,17667.349609375,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,2,34,0,0,NA,1
"9752",1,0,1,16,5,7,1940,NA,1960,43,59835.41015625,4982,0,1,84384.2109375,18,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"9753",1,NA,NA,10,8,4,1930,NA,NA,53,NA,2095,0,NA,79380.5625,NA,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,0,NA,NA,0
"9754",1,0,1,14,10,11,1955,12,2124,28,43510,5360,0,1,77860,10,1,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"9758",1,0,1,16,8,8,1956,31,2110,27,35002.6484375,2111,0,1,50540.30078125,7,1,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"9794",1,0,1,16,4,11,1932,NA,2240,52,50380,5355,0,1,105248.3984375,20,4,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"9804",1,0,1,12,9,9,1939,NA,1224,44,25648,2311,2,1,32140.150390625,15,4,0.800000011920929,0,6492.14990234375,7247.85009765625,0,0,330,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"9809",0,0,1,17,1,13,1946,NA,2400,37,57627.8515625,3489,0,1,103801.1171875,12,1,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"9828",1,0,1,12,8,6,1937,NA,3000,46,87020,5338,1,1,182577.125,20,3,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"9844",0,0,1,12,10,10,1938,NA,1284,45,20610,2331,0,0,31040.94921875,10,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"9846",1,0,1,9,11,8,1932,NA,2660,51,68700,1853,0,0,69638.8984375,24,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"9857",0,0,1,16,9,12,1954,31,2056,29,25254.119140625,715,2,NA,116332,3,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,11,12,52670,13740,0,0,0,1,31,0,1,NA,1
"9859",1,0,1,12,7,11,1958,4,2420,25,70990,384,2,1,93958.703125,2,1,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"9870",1,0,1,14,12,12,1954,4,1982,29,66410,173,4,1,74791.3984375,4,2,1,0,0,0,0,0,0,0,0,12,16,0,229,0,0,0,4,27,0,1,1,0
"9894",1,0,1,12,3,10,1953,34,2205,30,72135,198,2,1,72135,5,3,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"9895",1,0,1,9,9,10,1950,NA,0,33,0,4230,0,NA,52670,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,1
"9904",0,0,1,17,4,12,1953,4,2196,30,42937.5,1173,0,0,44114.55859375,9,2,0.5,0,0,0,0,0,0,0,0,17,16,0,0,0,0,0,4,4,0,1,1,0
"9922",0,0,1,14,9,13,1952,24,1785,31,13740,5417,0,NA,50380,11,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"9930",1,0,1,10,7,9,1931,NA,2350,52,103050,1503,0,1,103737,19,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
