"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","weight","bmi","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"59723",0,0,1,12,12,13,1941,1568,44,33852,5890,1,NA,97476.3984375,9,1,63,120,21.2547245025635,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"59728",0,1,0,14,3,8,1954,646,31,6253.93994140625,1539,2,NA,25132.939453125,10,4,66,145,23.4010562896729,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"59741",0,0,1,17,4,10,1940,1424,45,59675,2784,0,0,60543,23,1,67,155,24.2737808227539,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"59742",0,0,1,12,11,12,1949,1040,36,3906,185,2,1,65751,7,2,68,NA,NA,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"59750",0,0,1,17,7,11,1950,1576,35,44268,3361,0,0,44376.5,16,2,69,160,23.6252880096436,0,0,0,0,0,0,0,0,17,17,0,26040,0,0,0,3,3,0,1,1,0
"59752",1,0,1,12,3,10,1960,2035,26,43400,6789,0,0,43400,7,2,67,135,21.1416797637939,0,0,0,0,0,0,0,0,12,12,96565,0,0,0,0,2,21,0,1,1,0
"59758",1,0,1,12,7,9,1947,2116,38,60760,660,5,1,99603,19,1,72,185,25.0877704620361,0,0,0,0,0,0,0,0,12,NA,NA,4340,0,NA,0,2,48,0,1,1,0
"59809",1,0,1,11,6,8,1928,0,57,0,320,2,1,26905.830078125,NA,2,68,210,31.9269027709961,0,0,3124.80004882812,0,0,1440,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,0,1,0
"59811",1,0,1,17,6,13,1942,2390,43,119350,4197,1,1,124863.96875,24,1,73,190,25.0647392272949,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"59819",0,0,1,12,9,11,1929,1275,56,10850,202,0,NA,24347.400390625,33,2,64,145,24.886474609375,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"59821",0,0,1,16,10,11,1953,1976,32,30380,6435,2,1,69440,13,1,70,145,20.8030605316162,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"59825",0,0,1,12,9,9,1934,2673,51,112840,4529,0,1,292733,14,2,55,130,30.2115707397461,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"59907",1,0,1,9,3,11,1942,2952,44,91791,1626,1,1,160885.96875,26,3,69,192,28.3503475189209,0,0,0,0,0,0,0,0,NA,6,0,NA,NA,0,0,3,32,0,1,1,0
"59916",1,0,1,16,3,11,1953,3120,33,68485.203125,2438,2,1,134540,14,1,72,180,24.4097213745117,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"59944",0,1,0,14,9,10,1957,0,28,0,2880,3,1,91313.6015625,NA,2,62,119,21.7630081176758,0,0,0,0,0,NA,0,0,10,12,69440,0,0,0,0,2,21,0,1,NA,1
"59956",0,0,1,13,6,7,1958,915,27,13020,3545,0,1,63581,7,2,68,117,17.7878456115723,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
