"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"56986",1,0,1,12,6,12,1957,42,2050,35,23100,2117,2,1,31020,15,3,0,0,7920,7920,0,0,0,0,12,14,21945,7425,0,0,0,3,45,0,1,1,0
"57052",1,0,1,12,12,10,1936,NA,2016,56,52800,4288,0,1,71445,30,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"57070",0,0,1,12,4,8,1942,NA,2040,51,24750,1521,0,NA,62700,28,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"57105",0,0,1,10,7,9,1961,13,1804,32,31350,6826,1,0,92332.3515625,10,2,0,1041.15002441406,1041.15002441406,0,0,0,5491.2001953125,0,NA,NA,NA,NA,NA,NA,0,2,13,0,0,1,0
"57125",1,0,1,12,4,9,1962,41,705,31,6270,2,2,1,49942.19921875,5,2,0,3861,3861,0,0,0,0,0,9,9,0,10725,0,0,0,3,41,0,1,1,0
"57127",1,1,0,12,11,12,1962,16,2140,30,37950,1491,2,1,66000,12,3,0,0,0,0,0,0,0,0,12,14,3712.5,0,0,0,0,3,16,0,1,1,0
"57152",0,0,1,15,7,11,1940,NA,2150,53,40342.5,1464,1,0,61104.44921875,24,1,0,0,0,0,0,0,5940,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"57158",1,0,1,10,11,10,1961,12,1949,31,36300,6228,1,1,67237.5,13,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"57159",1,0,1,17,7,9,1960,5,1300,32,24750,88,1,1,41250,6,2,0,0,0,0,0,0,0,0,14,NA,NA,49500,0,NA,0,4,5,0,1,1,0
"57185",0,0,1,14,1,8,1943,NA,1040,50,6600,2135,0,1,44715,24,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"57196",0,0,1,12,1,10,1967,29,1747,26,29700,3939,0,1,170280,5,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,NA,1
"57205",0,0,1,16,12,12,1944,NA,1715,48,78375,5373,1,1,192050.09375,13,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"57209",0,0,1,6,8,11,1940,NA,0,52,0,80,1,1,63229.6484375,10,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"57211",1,0,1,14,1,10,1944,NA,2360,49,74250,3445,0,1,167640,23,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"57217",1,0,1,14,1,12,1963,31,2078,30,34650,3794,0,1,36712.5,8,2,0,0,0,0,0,0,0,0,12,13,53460,52800,0,0,0,1,29,0,1,1,0
"57242",1,0,0,15,10,10,1963,26,1887,29,16447.19921875,2348,1,1,60127.6484375,10,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"57248",1,0,1,12,2,13,1961,14,2001,32,115500,2147,0,0,118800,9,1,0,0,0,0,0,0,0,0,16,17,196350,0,0,0,0,2,14,0,1,1,0
"57249",0,0,1,16,1,8,1959,21,3000,34,42900,2171,0,1,100691.25,8,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,0,NA,1
"57251",0,0,1,16,5,9,1948,NA,1648,45,52800,5471,2,1,132660,16,1,0,0,0,0,0,NA,0,0,12,12,990,0,0,0,0,2,26,0,1,NA,1
"57257",1,0,1,15,3,10,1957,23,1970,36,49500,4516,2,1,107580,10,1,0,0,3960,0,0,2400,0,0,7,NA,NA,0,0,NA,0,3,23,0,1,1,0
"57263",1,0,1,17,4,11,1936,NA,3120,57,164617.203125,1542,0,1,215767.203125,23,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"57276",0,1,0,12,11,NA,1950,NA,320,42,0,198,1,NA,23944.80078125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,0,0,NA,0,3,1,0,0,NA,0
"57295",1,0,1,12,9,11,1949,NA,2154,43,33000,5004,1,0,33000,17,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"57334",0,0,1,12,6,11,1939,NA,3140,53,NA,51,0,NA,54458.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,2,13,0,1,NA,0
"57357",1,0,1,13,5,12,1961,6,1936,32,55357.5,1868,2,1,61957.5,6,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,38,0,1,1,0
"57364",1,0,1,16,5,12,1941,NA,2300,52,34650,4069,0,1,133678.046875,26,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"57366",1,0,1,16,10,12,1947,NA,2025,45,181500,290,2,0,210375,18,2,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,2,12,0,1,1,0
"57380",0,0,1,17,3,11,1951,34,2080,42,54450,5687,2,NA,69217.5,NA,3,0,0,0,0,0,NA,0,0,12,16,NA,NA,NA,NA,0,2,34,0,1,NA,1
"57405",0,0,1,17,4,8,1954,9,2768,39,25806,2811,1,1,36093.75,5,1,0,0,0,0,0,NA,0,0,13,7,0,0,0,0,0,3,9,0,1,NA,1
"57410",1,0,0,14,11,9,1959,4,2365,33,67650,427,4,1,67650,7,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"57418",1,0,1,12,10,10,1959,45,3060,34,79200,7656,0,1,155925,9,2,0,0,0,0,0,0,0,0,12,10,36630,37620,0,0,0,3,45,0,1,1,0
"57467",0,0,1,12,3,12,1934,NA,0,59,0,4877,0,NA,35145,35,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,0,NA,1
"57468",0,0,1,17,12,11,1966,24,3089,26,36339.6015625,162,0,0,83034.6015625,6,2,0,0,0,0,0,0,0,0,12,16,891000,46200,0,0,0,4,27,0,1,1,0
"57532",0,1,0,12,7,7,1955,39,2352,37,74250,856,1,1,202950,11,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,NA,1
