"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"637",1,0,1,17,12,12,1943,NA,2020,46,116480,1933,1,1,152880,23,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"670",1,0,1,12,5,10,1963,45,2227,27,22204,4587,1,1,33124,7,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"671",0,0,1,12,7,11,1954,13,2153,35,21323.119140625,5366,2,NA,64610,11,3,0,0,0,0,0,NA,2730,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"674",0,0,1,17,8,10,1951,40,1072,38,21840,3529,3,1,97370,10,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"677",0,0,1,8,2,11,1934,NA,0,55,0,4611,0,NA,44983.12109375,18,5,0,0,8648.6396484375,8648.6396484375,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"701",1,0,1,17,9,9,1955,21,3430,34,49868,4348,2,1,87724,11,2,0,0,0,0,0,0,0,0,12,NA,NA,20100.080078125,0,NA,0,4,4,0,1,1,0
"759",0,0,1,17,4,11,1959,12,0,30,0,2988,0,1,70117.3203125,1,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,12,1,0,NA,1
"764",0,0,1,13,5,11,1960,12,1887,29,19292,1517,2,1,37492,7,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"769",0,0,1,12,4,10,1960,24,0,30,0,2204,2,NA,26073.3203125,NA,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"770",0,1,0,13,1,9,1959,20,1465,31,42504.28125,1951,2,1,91316.6796875,8,2,0,0,0,0,0,NA,0,0,NA,11,7119.83984375,NA,NA,0,0,1,20,0,1,NA,1
"780",1,0,1,15,10,13,1960,32,2860,29,0,397,0,0,1.82000005245209,6,1,0,0,0,0,0,0,0,0,16,16,15171.51953125,1547,0,0,0,3,32,0,1,1,0
"790",1,0,1,12,2,11,1952,12,2600,38,72800,3302,0,1,147784,15,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,48,1529,37,37406.4609375,1821,0,0,39635.9609375,15,3,0,0,0,0,0,0,0,0,12,12,21497.83984375,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,NA,1552,40,14560,1376,4,1,35490,17,2,0,0,0,0,0,0,0,0,12,9,5460,0,0,0,0,2,34,0,1,1,0
"817",1,0,1,12,1,10,1943,NA,2550,48,38220,5481,0,0,38220,25,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"839",1,0,1,12,3,10,1945,NA,2695,45,43680,2947,1,1,85017.65625,20,3,0,0,2664.47998046875,2664.47998046875,0,0,0,0,8,8,21840,0,0,0,0,3,41,0,1,1,0
"840",1,0,1,17,5,10,1954,34,3080,36,183892.796875,5290,2,1,249340,13,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"841",0,0,1,12,12,10,1941,NA,630,48,2002,3882,1,1,203548.796875,7,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"842",0,0,1,16,2,11,1944,NA,96,46,3822,10,1,1,500565.53125,8,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"849",1,0,1,13,3,9,1963,35,2355,27,49170.94140625,4530,1,1,78290.9375,4,1,0,0,0,0,0,0,0,0,14,12,63700,0,0,0,0,3,42,0,1,1,0
"863",0,0,1,17,11,10,1950,NA,1672,39,63700,2772,1,NA,108344.6015625,18,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"865",1,0,1,10,9,9,1956,48,2877,33,59150,3587,2,0,78806,10,2,0,0,19656,19656,0,0,0,0,5,NA,NA,24024,0,NA,0,2,48,0,1,1,0
"892",1,0,1,12,7,9,1932,NA,1960,57,46826.78125,6262,0,1,81794.4375,33,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"893",0,0,1,16,2,10,1957,32,1208,33,11657.099609375,1904,2,1,90408.5,8,1,0,3976.69995117188,3976.69995117188,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"894",0,0,1,17,4,9,1943,NA,2315,46,43887.48046875,2292,1,0,163425.078125,28,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"951",0,0,1,17,11,11,1958,14,1715,31,9464,385,2,NA,45545.5,4,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"961",0,0,1,10,5,5,1964,37,0,26,0,6584,1,1,81900,NA,2,0,0,0,0,0,NA,0,0,8,NA,NA,0,0,NA,0,3,9,0,0,NA,1
"970",0,0,1,12,10,11,1948,NA,2000,41,20020,6949,0,1,83720,12,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,1
"975",1,0,0,12,12,9,1938,NA,2585,51,85540,4007,0,1,113932,29,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"976",0,0,1,12,5,10,1960,41,1272,29,18200,1398,2,NA,76440,7,3,0,0,0,0,0,NA,0,0,5,5,4732,0,0,0,0,3,41,0,0,NA,1
"998",0,0,1,12,5,11,1958,37,2001,32,24262.419921875,6729,0,0,27425.580078125,5,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1036",0,1,0,13,7,10,1947,NA,1888,42,28210,8,1,1,78988,12,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1068",1,0,1,17,1,11,1950,NA,3036,40,16081.51953125,5816,0,1,63277.76171875,13,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1081",0,0,1,12,2,11,1965,4,0,27,0,3064,1,1,13650,5,1,0,0,0,0,0,NA,0,0,12,12,96096,31304,0,0,0,4,4,0,0,NA,1
"1114",1,0,1,14,12,13,1953,4,1880,36,76440,2091,0,1,167636.5625,13,1,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,4,4,0,1,1,0
"1154",0,0,1,17,12,8,1953,10,2344,36,85358,50,1,1,117572,11,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1162",1,0,1,15,11,11,1963,26,2430,26,34580,1986,0,1,72800,3,2,0,0,0,0,0,0,0,0,14,14,28874.30078125,29192.80078125,0,0,0,3,42,0,1,1,0
"1172",1,0,1,16,7,12,1959,34,2205,30,79170,735,0,0,81601.5234375,7,3,0,0,0,0,0,0,0,0,16,17,94640,41212.078125,0,0,0,2,21,0,1,1,0
"1180",0,0,1,17,9,12,1948,NA,80,41,3640,3187,2,1,196742,NA,1,0,0,0,0,0,NA,0,0,12,NA,NA,782.599975585938,0,NA,0,2,24,0,0,NA,1
"1183",1,0,1,12,10,9,1956,29,1760,31,36400,625,2,1,41496,15,4,0,2730,2730,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"1185",1,0,1,12,7,10,1958,39,2601,31,56420,1273,0,1,106106,8,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"1187",0,0,1,17,5,9,1952,20,2420,38,100100,5747,2,1,282100,14,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1205",1,0,1,17,3,11,1957,29,2400,33,91000,6349,1,1,113022,10,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"1206",1,0,1,12,2,10,1953,13,2100,37,0,7075,1,NA,29025.359375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,0,0,0
"1211",0,0,1,17,11,7,1943,NA,1900,46,58143.5390625,2073,0,0,70308.421875,24,2,0,0,0,0,0,0,3785.60009765625,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"1212",0,0,1,12,11,9,1943,NA,1322,46,17472,4007,0,1,113932,8,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1247",0,0,1,17,8,10,1956,37,1210,33,34580,5999,2,1,82173,7,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1249",1,0,1,14,1,10,1958,29,3256,32,95004,1760,0,0,95004,9,2,0,0,0,0,0,0,0,0,12,14,35053.19921875,14924,0,0,0,1,31,0,1,1,0
"1289",0,0,1,14,3,12,1959,22,0,30,0,313,2,1,73710,6,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,22,0,0,NA,1
"1290",0,0,1,16,5,10,1961,31,1864,28,58240,1206,1,1,85558.203125,6,1,0,0,0,0,0,NA,0,0,12,NA,NA,0,0,NA,0,1,29,0,1,NA,1
"1314",0,0,1,14,9,11,1960,14,1383,29,21840,1627,1,1,60060,7,1,0,0,0,0,0,NA,0,0,12,14,26936,17290,0,0,0,2,26,0,1,NA,1
"1334",0,0,1,12,1,10,1942,NA,1940,48,18007.080078125,4765,1,1,48892.48046875,25,3,655.200012207031,0,655.200012207031,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1345",1,0,1,17,7,9,1953,4,2562,36,57956.078125,1957,0,0,57992.48046875,12,2,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,4,4,0,1,1,0
"1358",0,0,1,12,5,10,1943,NA,1818,46,20020,364,0,1,127400,8,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1371",1,0,1,17,11,12,1948,NA,1848,41,71708,3986,2,1,113113,15,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1412",0,0,1,12,3,11,1960,39,1740,30,24570,2613,2,1,77350,1,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"1419",0,0,1,12,1,8,1956,20,430,34,2730,3119,3,1,70798,6,3,0,0,0,0,0,NA,0,0,11,10,52780,16380,0,0,0,1,20,0,1,NA,1
"1429",1,0,0,3,10,8,1964,31,NA,25,0,6655,0,0,7807.7998046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2347.80004882812,0,NA,0,1,31,0,0,NA,0
"1451",0,0,1,13,9,11,1964,43,1729,25,34580,5667,0,0,34871.19921875,6,1,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,4,43,0,1,1,0
"1472",0,0,1,17,4,11,1956,36,2000,34,43680,6167,0,1,91000,10,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,8,0,1,NA,1
"1490",0,0,1,11,10,11,1941,NA,0,48,0,5462,0,1,54454.3984375,25,3,0,0,12776.400390625,12776.400390625,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,0,NA,1
"1495",0,0,1,12,3,11,1944,NA,1916,46,34580,5547,1,NA,95768.3984375,11,3,0,218.399993896484,218.399993896484,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"1505",1,0,1,12,8,9,1943,NA,2600,44,43316,5980,2,1,91707.9765625,26,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"1506",0,1,0,14,10,4,1953,10,1972,36,43752.80078125,1491,1,0,50304.80078125,18,2,0,0,0,0,0,0,4368,0,8,NA,NA,0,0,NA,0,3,10,0,1,1,0
"1511",1,0,1,16,4,10,1957,34,2480,32,109200,1338,0,1,140140,8,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"1544",0,0,1,12,12,9,1950,NA,1976,39,18200,1131,2,1,80134.6015625,7,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"1546",0,0,1,14,9,10,1951,23,1550,38,29120,2898,3,1,112141.1171875,14,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"1576",1,0,1,12,12,10,1945,NA,1950,44,NA,3238,0,NA,108386.4609375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,0,NA
"1584",0,0,1,16,9,11,1943,NA,2144,46,65520,1213,2,1,169762.3125,23,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,38,0,1,NA,1
"1597",1,1,0,14,1,1,1958,34,2038,32,48958,1902,1,1,91728,9,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"1608",0,0,1,16,7,9,1936,NA,823,53,9464,1142,0,1,230109.875,8,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,1,NA,1
"1612",0,1,0,12,5,7,1952,19,0,37,0,1732,2,0,33085.78125,18,4,0,0,26208,26208,0,0,1164.80004882812,0,NA,NA,NA,NA,NA,NA,0,3,19,0,0,1,0
"1626",0,0,1,14,9,10,1950,NA,2745,39,52780,1481,0,NA,106106,18,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1631",0,0,1,16,8,12,1953,34,24,36,1845.47998046875,6540,2,1,148064.28125,12,1,0,0,0,0,0,NA,0,0,16,12,0,0,0,0,0,4,5,0,1,NA,1
"1644",0,1,0,16,2,4,1959,1,774,31,7280,1307,1,1,40950,5,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1647",0,0,1,12,5,9,1953,32,0,36,0,5980,2,NA,91707.9765625,NA,3,0,0,0,0,0,NA,5678.39990234375,0,11,NA,NA,5460,0,NA,0,3,32,0,0,NA,1
"1662",0,0,1,16,9,11,1938,NA,854,51,22750,1592,0,1,146118.703125,20,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1664",0,0,1,12,11,12,1951,4,2360,38,66692.078125,2470,0,NA,123563.4375,14,3,0,0,0,0,0,NA,0,0,12,NA,NA,0,0,NA,0,4,4,0,1,NA,1
"1674",0,0,1,16,5,8,1950,NA,1680,41,52780,6527,2,1,171808,17,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,6,0,1,NA,1
"1679",0,0,1,12,10,12,1956,29,1560,33,3640,2334,3,1,50960,NA,2,0,0,0,0,0,NA,0,0,12,12,1485.11999511719,0,0,0,0,1,29,0,1,NA,1
"1734",0,0,1,12,11,12,1949,NA,1977,40,31376.80078125,3234,1,0,37928.80078125,17,2,0,0,0,0,0,0,5460,0,9,12,0,0,0,0,0,4,4,0,1,1,0
"1751",1,0,1,13,4,9,1959,37,2205,30,30940,74,0,0,31658.900390625,11,1,0,0,0,0,0,0,0,0,11,NA,NA,12740,0,NA,0,1,37,0,1,1,0
"1797",0,0,1,16,9,9,1961,48,2125,29,54600,3730,0,1,113784.578125,7,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1834",1,0,1,12,8,9,1929,NA,1980,60,31850,904,0,1,34776.55859375,37,2,0,2926.56005859375,2926.56005859375,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"1843",0,0,1,13,11,10,1961,45,1960,28,19747,192,0,0,60933.6015625,10,1,0,0,0,0,0,0,0,0,12,NA,NA,27027,0,NA,0,3,35,0,1,1,0
"1847",0,1,0,12,7,9,1958,16,0,31,0,1660,4,0,6006,NA,3,0,0,11902.7998046875,0,0,3240,0,3300,8,NA,NA,0,0,NA,0,3,16,0,0,1,0
"1863",1,0,1,17,6,9,1949,NA,2556,40,96460,3430,3,1,123396,17,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1869",0,0,1,13,2,11,1958,32,2504,32,33124,4593,0,NA,74984,8,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"1885",0,0,1,12,11,10,1963,37,1000,26,27300,6405,2,NA,81900,4,2,0,0,0,0,0,NA,2912,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1889",1,0,1,15,4,11,1954,46,1920,36,72800,6074,2,1,86340.796875,13,1,0,0,0,0,0,0,0,0,12,14,111020,9160.0595703125,0,0,0,4,46,0,1,1,0
"1927",0,0,1,16,6,10,1963,39,1989,26,30030,135,0,0,30030,3,2,0,0,0,0,0,0,0,0,12,12,96460,0,0,0,0,3,39,0,1,1,0
