"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"6192",1,0,1,16,3,NA,1970,NA,25,0,9165,0,NA,197940.59375,NA,NA,16,17,121683.1171875,2340,0,0,0,3,16,0,0,NA,0
"6203",0,0,1,14,1,10,1952,2018,43,24960,3974,1,1,88149.359375,5,2,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"6209",1,0,0,12,6,9,1958,2080,37,23400,10181,1,1,56941.55859375,11,2,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"6217",0,0,1,11,7,10,1939,0,55,0,107,0,1,71370,1,4,NA,NA,NA,NA,NA,NA,0,3,3,0,0,NA,1
"6220",0,0,1,12,4,10,1942,0,52,0,4655,0,NA,62088,5,3,11,NA,NA,7798.43994140625,0,NA,0,3,39,0,0,NA,1
"6228",0,0,1,10,1,9,1942,1820,53,21840,8296,0,1,81781.4375,25,3,NA,NA,NA,NA,NA,NA,0,1,18,0,1,NA,1
"6260",0,0,1,12,2,9,1946,1500,49,14664,6355,1,NA,32604,15,2,NA,NA,NA,NA,NA,NA,0,4,36,0,1,NA,1
"6261",0,0,1,NA,8,12,1963,2090,31,24960,10015,0,NA,53040,NA,1,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"6281",1,0,1,17,5,9,1955,1459,39,137284.6875,180,2,1,138220.6875,8,3,12,12,6425.64013671875,15598.4404296875,0,0,0,2,48,0,1,1,0
"6295",0,0,1,12,11,10,1950,1960,44,39000,5878,0,1,155709.84375,5,1,NA,NA,NA,NA,1,NA,0,2,22,0,1,NA,1
"6300",0,0,1,17,1,10,1939,2311,56,88921.5625,3308,0,0,147891.125,28,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"6316",1,0,1,11,10,11,1966,2564,28,15598.4404296875,97,0,1,19498.439453125,10,3,NA,NA,NA,NA,NA,NA,0,3,3,0,0,1,0
"6344",1,0,1,16,10,11,1952,1928,42,117003.1171875,5444,0,0,121528.6796875,23,1,NA,NA,NA,NA,1,NA,0,2,22,0,1,1,0
"6370",1,0,1,3,7,1,1942,NA,52,0,717,0,NA,39625.55859375,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,0
"6416",0,0,1,13,8,9,1956,2000,38,28080,1577,0,1,28080,20,2,NA,NA,NA,NA,NA,NA,0,3,23,0,1,NA,1
"6421",0,0,1,14,1,12,1958,1880,37,63087.9609375,2115,2,0,67331.15625,17,2,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"6440",0,0,1,10,12,8,1954,1707,40,8734.4404296875,6633,1,0,17657.640625,20,4,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"6452",0,0,1,12,5,11,1947,0,47,0,3534,3,NA,133228.6875,5,2,NA,NA,NA,NA,NA,NA,0,4,46,0,0,NA,1
"6467",1,1,0,12,7,0,1962,2182,32,31775.640625,3449,1,1,44255.640625,11,1,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"6503",0,0,1,17,10,10,1947,1600,47,56161.55859375,466,0,1,155260.5625,19,1,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"6535",0,0,1,17,7,11,1952,243,42,1229.28002929688,6068,2,NA,52001.0390625,15,3,12,12,780,43680,0,0,0,2,13,0,1,NA,1
"6549",0,NA,NA,16,9,8,1966,NA,28,NA,3222,0,0,35443.19921875,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,0
"6574",0,0,1,12,4,13,1956,1715,39,24960,5257,0,NA,73162.4375,20,1,17,NA,NA,13882.4404296875,0,NA,0,4,43,0,1,NA,1
"6592",1,0,1,12,10,10,1960,219,34,5460,2207,2,1,15448.6796875,6,2,13,NA,NA,8271.1201171875,0,NA,0,2,15,0,1,1,0
"6608",0,0,1,12,11,10,1936,2600,58,0,1045,0,1,63524.76171875,23,4,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"6613",0,0,1,13,10,12,1968,160,26,1248,961,2,1,1248,NA,1,14,NA,NA,23400,0,NA,0,3,45,1,0,NA,1
"6644",0,0,1,11,10,10,1938,2400,56,15598.4404296875,5491,0,NA,94224,17,4,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"6681",0,0,1,12,12,10,1958,926,36,10813.919921875,2334,5,NA,77965.6796875,9,3,12,13,31200,28080,0,0,0,4,25,0,0,NA,1
"6685",0,0,1,12,2,8,1966,1300,29,31887.9609375,2937,2,1,70323.2421875,2,1,12,NA,NA,0,0,NA,0,4,43,0,0,NA,1
"6686",0,0,1,7,8,12,1934,2458,59,15038.400390625,148,0,NA,51047.87890625,30,2,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"6703",1,0,1,12,1,8,1954,2500,41,28080,2953,0,0,28080,12,3,12,NA,NA,0,0,NA,0,4,36,0,1,1,0
"6729",0,1,0,12,8,11,1949,1800,45,42901.55859375,3975,0,0,42901.55859375,19,4,16,NA,NA,0,0,NA,0,3,19,0,1,1,0
"6753",1,0,1,17,9,12,1958,2640,36,0,728,3,1,212947.796875,9,1,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"6764",0,0,1,12,5,8,1952,1200,42,12735.83984375,4253,2,NA,61200.359375,NA,2,5,NA,NA,0,0,NA,0,3,23,0,1,NA,1
"6775",1,0,1,16,10,9,1965,NA,29,NA,5425,0,NA,109034.640625,NA,NA,15,6,0,0,0,0,0,3,3,0,1,NA,0
"6810",1,0,0,14,2,9,1956,1650,39,37438.44140625,5265,3,1,109580.640625,16,1,NA,NA,NA,NA,NA,NA,0,4,11,0,1,1,0
"6821",1,0,1,13,2,10,1955,2066,40,52313.0390625,3169,2,1,71657.0390625,16,3,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"6859",1,0,1,17,8,11,1957,3024,37,84241.5625,8418,0,1,84633.1171875,7,2,12,17,0,0,0,0,0,4,46,0,1,1,0
"6867",0,0,1,12,1,8,1950,1865,45,32760,2275,1,0,34009.55859375,22,2,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"6872",1,0,1,13,7,10,1939,0,55,0,8964,0,1,66769.5625,27,3,NA,NA,NA,NA,NA,NA,0,4,4,0,0,1,0
"6882",1,0,1,16,4,11,1950,2500,44,62401.55859375,566,2,0,71324.7578125,26,2,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"6902",0,1,0,12,4,6,1962,0,32,0,1862,2,1,32430.83984375,6,2,12,NA,NA,10918.4404296875,0,NA,0,3,32,0,0,NA,1
"6930",0,0,1,17,12,12,1954,69,40,1948.43994140625,2156,2,1,242547.234375,15,1,NA,NA,NA,NA,NA,NA,0,3,19,0,1,NA,1
"6931",0,0,1,12,4,10,1947,1434,47,13260,992,0,1,17004,11,4,NA,NA,NA,NA,NA,NA,0,2,26,0,1,NA,1
"6958",1,0,1,12,6,12,1952,1480,43,13102.4404296875,10399,3,1,24256.439453125,NA,5,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"6961",0,0,1,11,4,7,1953,1900,41,26520,143,0,NA,67158,19,3,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"6977",1,1,0,14,5,10,1968,NA,26,NA,2141,1,NA,73009.5625,NA,NA,12,13,39780,0,0,0,0,3,39,0,1,NA,0
"6999",0,0,1,16,12,12,1947,1976,47,46800,3496,3,1,247191.359375,25,3,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"7031",1,0,1,12,8,11,1934,2016,60,31200,1994,0,1,67080,32,2,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"7055",0,0,1,13,6,13,1953,1750,41,29911.439453125,1145,2,1,136595.15625,1,2,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"7061",1,0,1,16,6,9,1952,3276,42,140404.6875,4062,3,1,151636.6875,10,2,NA,16,0,NA,NA,0,0,4,2,0,1,1,0
"7081",1,0,1,12,9,8,1959,2500,35,40560,2584,2,1,48516,7,1,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"7087",0,0,1,12,2,10,1943,3458,52,117003.1171875,3122,0,NA,405614.03125,26,3,NA,NA,NA,NA,NA,NA,0,1,6,0,1,NA,1
"7089",0,0,1,11,3,9,1945,2200,49,31200,661,0,1,69111.1171875,10,3,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"7104",1,0,1,16,9,10,1950,2500,44,124803.1171875,1253,2,1,218718.234375,17,3,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"7111",0,0,1,14,9,10,1952,4032,41,68251.5625,6364,1,1,174879.125,7,3,5,5,0,0,0,0,0,3,41,0,1,NA,1
"7131",0,0,1,16,7,12,1951,1560,43,39000,2803,3,NA,216379.796875,12,1,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"7142",0,0,1,16,7,12,1948,1920,46,56161.55859375,3912,0,1,135255.125,17,3,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"7153",1,0,1,16,6,11,1943,2000,51,72819.2421875,5222,0,1,106789.796875,23,1,NA,NA,NA,NA,NA,NA,0,2,22,0,1,1,0
"7159",1,0,1,17,12,9,1946,2708,48,0,3563,1,1,58035.12109375,20,3,17,NA,NA,0,0,NA,0,4,4,0,1,1,0
"7177",0,0,1,12,6,7,1960,1133,33,17160,276,2,NA,115516.4375,7,1,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"7211",1,0,1,9,10,10,1957,1976,37,31200,1645,3,1,65988,11,2,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"7213",0,0,1,12,12,5,1951,1904,43,42120,436,1,1,121929.6015625,15,3,11,NA,NA,0,0,NA,0,2,13,0,1,NA,1
"7216",0,0,1,12,4,8,1955,1976,40,31200,8636,2,0,44060.640625,15,2,NA,NA,NA,NA,NA,NA,0,4,27,0,1,1,0
"7220",0,0,1,12,10,10,1958,2040,36,20280,1913,0,1,53846.51953125,11,3,13,10,0,0,0,0,0,2,21,0,1,NA,1
"7228",0,0,1,12,2,9,1939,0,56,0,3005,0,NA,54601.55859375,4,3,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"7276",1,0,1,17,2,7,1961,1610,34,53041.55859375,1294,3,1,54178.80078125,5,1,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"7278",0,0,1,16,8,11,1954,2350,40,70201.5625,767,2,NA,206238.234375,12,1,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"7299",0,0,1,16,8,12,1954,1492,40,39000,620,3,NA,113756.7578125,20,2,17,NA,NA,0,0,NA,0,3,42,0,1,NA,1
"7330",1,0,1,17,10,13,1953,4048,41,156004.6875,2012,4,1,165364.6875,12,3,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"7333",1,0,1,10,6,8,1946,867,48,0,1278,0,1,50542.44140625,20,3,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"7347",0,0,1,16,5,10,1949,1770,45,49920,6348,2,1,114349.5625,18,2,NA,NA,NA,NA,NA,NA,0,4,5,0,1,NA,1
"7350",1,0,1,14,3,11,1944,2000,51,17160,3948,1,1,92041.5625,NA,2,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"7363",0,0,1,12,4,10,1948,2000,46,41341.55859375,2264,0,NA,150544.6875,10,3,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"7367",0,0,1,12,11,9,1955,813,39,18720,2307,2,1,147937.921875,9,2,NA,NA,NA,NA,NA,NA,0,1,6,0,1,NA,1
"7405",1,0,1,14,7,9,1946,2250,48,0,6355,1,1,32604,20,2,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"7415",0,0,1,12,3,12,1955,1400,39,53041.55859375,9656,0,1,102961.5625,14,1,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"7423",1,0,1,13,1,10,1964,2550,31,29640,3212,3,1,53239.6796875,6,3,12,12,0,34320,0,0,0,2,12,0,1,1,0
"7445",0,0,1,14,12,9,1947,0,47,0,3448,1,NA,108232.796875,14,3,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"7459",1,0,1,14,1,11,1967,2200,28,78781.5625,3909,2,1,140557.5625,1,3,NA,14,0,NA,NA,0,0,1,29,0,1,1,0
"7479",1,1,0,8,7,8,1946,2440,48,40560,52,0,1,40560,30,5,3,NA,NA,0,0,NA,0,3,32,0,1,1,0
"7496",0,0,1,17,12,10,1949,1617,45,82681.5625,2118,1,1,178312.6875,8,3,5,4,0,0,0,0,0,1,31,0,1,NA,1
"7505",1,0,1,12,3,7,1962,1944,32,41276.0390625,764,2,1,44367.9609375,5,2,12,8,NA,0,0,0,0,3,16,0,1,1,0
"7506",0,0,0,17,5,10,1964,1764,30,219966.234375,3424,1,1,439968.375,6,2,16,16,0,0,0,0,0,4,4,0,1,NA,1
"7517",0,0,1,16,8,13,1960,1040,34,24960,2718,0,1,829717.1875,10,3,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"7524",1,0,1,17,12,12,1957,2772,37,46800,6187,0,1,181744.6875,9,1,16,17,0,0,0,0,0,4,5,0,1,1,0
"7525",0,0,1,15,6,11,1967,0,27,0,8003,1,1,109259.28125,8,1,15,17,0,54601.55859375,0,0,0,1,31,0,0,NA,1
"7543",0,0,1,17,2,12,1949,641,46,10732.7998046875,644,2,1,252214.5625,9,1,16,13,0,0,0,0,0,2,12,0,1,NA,1
"7555",1,0,1,10,8,9,1940,3156,54,21910.19921875,1318,0,1,43804.80078125,26,4,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"7565",0,0,1,14,1,9,1958,2756,37,24336,2143,2,NA,75606.9609375,18,1,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"7568",0,0,1,17,3,7,1959,1994,35,26663.51953125,1982,2,NA,66106.5625,4,3,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"7576",0,0,1,12,12,10,1945,NA,49,NA,988,0,0,39304.19921875,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,0
"7585",1,0,1,14,9,10,1945,1920,49,87361.5625,3748,1,1,119497.5625,21,2,NA,NA,NA,NA,NA,NA,0,2,22,0,1,1,0
"7597",1,0,1,16,7,10,1967,1952,27,30097.080078125,4525,0,0,39914.16015625,1,2,13,14,82680,41809.55859375,0,0,0,4,4,0,1,1,0
"7603",0,0,1,14,4,8,1953,0,41,0,9528,1,NA,25685.400390625,17,5,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"7610",1,0,1,12,2,9,1961,1960,34,26520,856,2,1,71760,7,2,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"7613",0,0,1,17,1,11,1965,1913,30,42745.55859375,674,0,0,42979.55859375,6,1,17,17,15598.4404296875,140403.125,0,0,0,2,34,0,1,1,0
"7635",1,0,1,17,3,9,1960,2550,31,85800,2871,1,1,104176.796875,7,3,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"7680",0,0,1,12,4,10,1951,0,43,0,3017,4,1,2494.43994140625,13,2,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"7686",0,0,1,8,4,12,1951,1950,43,30173.51953125,78,1,1,91097.7578125,16,3,8,10,0,0,0,0,0,3,3,0,1,NA,1
"7711",0,0,1,16,5,12,1962,0,32,0,4251,2,1,145275,13,1,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"7733",1,0,1,16,1,8,1950,NA,45,NA,1776,0,NA,201350.765625,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,0
"7746",0,0,1,13,3,11,1934,1680,60,9893.51953125,893,0,1,25198.6796875,30,2,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"7751",0,0,1,12,2,9,1935,NA,60,0,10359,1,NA,69736.6796875,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,0,0,NA,0
"7791",1,0,1,16,10,9,1948,2352,46,99843.1171875,1068,3,1,110059.5625,8,1,10,10,0,6630,0,0,0,3,32,0,1,1,0
"7795",1,0,1,15,11,10,1939,1664,55,53862.12109375,6558,0,1,102527.8828125,35,1,NA,NA,NA,NA,NA,NA,0,4,36,0,0,1,0
"7798",1,0,1,16,3,9,1947,0,48,0,3860,1,1,74787.9609375,29,4,NA,NA,NA,NA,NA,NA,0,2,15,0,0,1,0
"7800",1,0,1,13,11,10,1945,2174,49,48360,1301,0,1,88484.7578125,21,2,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"7807",1,0,1,12,3,9,1969,1885,26,21840,8004,0,1,50700,5,1,NA,5,0,38861.16015625,0,0,0,3,45,0,1,1,0
"7827",1,0,1,8,4,10,1948,1984,46,23400,93,0,1,26518.439453125,18,4,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"7837",1,0,1,17,2,13,1949,3436,46,54600,685,1,1,113958,12,2,13,NA,NA,3900,0,NA,0,3,32,0,1,1,0
"7853",0,0,1,12,2,12,1955,867,40,17160,2355,2,1,93475.203125,3,3,NA,NA,NA,NA,NA,NA,0,4,27,0,1,NA,1
"7856",1,0,1,13,4,12,1948,3500,46,46800,1356,0,1,89074.4375,21,2,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"7878",0,0,1,12,4,12,1945,1920,49,78001.5625,2303,1,NA,126675.1171875,19,2,NA,NA,NA,NA,NA,NA,0,1,28,0,1,NA,1
"7892",1,0,1,12,5,9,1957,2750,37,46800,3512,2,1,59280,9,2,8,10,0,0,0,0,0,4,5,0,1,1,0
"7896",1,0,1,17,10,10,1957,2520,37,91863.71875,4266,2,1,157068.59375,11,2,14,17,0,46956,0,0,0,3,9,0,1,1,0
"7904",1,0,1,12,5,9,1942,1400,52,56161.55859375,4780,1,1,106704,31,2,NA,NA,NA,NA,NA,NA,0,2,48,0,1,1,0
"7924",1,0,1,12,10,8,1952,1920,42,46428.71875,878,1,1,55353.48046875,14,1,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"7929",1,NA,NA,12,11,12,1963,NA,31,NA,33,0,0,61964.76171875,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,0
"7987",1,0,1,17,3,12,1948,2034,47,73789.5625,3305,6,1,159084.125,27,2,NA,NA,NA,NA,NA,NA,0,4,46,0,1,1,0
"7988",0,0,1,15,4,7,1949,200,45,53041.55859375,3283,1,1,117313.5625,18,2,NA,12,0,NA,NA,0,0,2,22,0,1,NA,1
"8007",1,0,1,14,1,12,1961,2200,34,54601.55859375,3925,2,1,163803.125,4,1,12,12,0,0,0,0,0,3,9,0,1,1,0
"8013",1,0,1,17,9,11,1961,2097,33,132604.6875,3200,1,1,187454.28125,5,1,16,17,116337,24960,0,0,0,3,32,0,1,1,0
"8017",1,0,1,13,3,11,1952,NA,41,NA,5420,0,0,63651.12109375,NA,NA,12,12,0,0,0,0,0,2,12,NA,NA,NA,0
"8020",1,0,1,14,7,11,1952,1920,42,81121.5625,3285,6,1,92353.5625,13,1,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"8028",0,0,1,14,11,7,1959,1816,35,20748,3083,0,1,74568,7,3,NA,NA,NA,NA,NA,NA,0,3,17,0,0,NA,1
"8061",1,0,1,14,4,5,1958,2704,36,0,9523,3,0,0,18,1,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"8073",0,0,1,12,1,11,1968,NA,27,NA,1943,1,NA,206139.953125,NA,NA,12,16,110763.1171875,53041.55859375,0,0,0,1,29,0,1,NA,0
"8076",1,0,1,17,6,13,1964,3984,30,78001.5625,3332,1,1,136542.125,3,2,14,17,109203.1171875,0,0,0,0,3,16,0,1,1,0
"8080",0,0,1,17,12,10,1960,1683,34,56161.55859375,8920,2,1,109825.5625,15,3,NA,12,0,NA,NA,0,0,3,9,0,1,NA,1
"8081",1,1,0,14,12,9,1952,2205,42,70201.5625,311,2,1,110761.5625,14,2,NA,NA,NA,NA,NA,NA,0,3,1,0,1,1,0
"8085",0,1,0,12,10,9,1957,1920,37,40560,311,2,1,110761.5625,9,2,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"8088",0,0,1,14,4,10,1948,1536,46,27300,775,0,1,106237.5625,15,2,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"8129",0,0,1,14,8,12,1940,2058,54,35880,2094,0,NA,159123.125,25,2,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"8151",0,0,1,16,6,11,1934,1000,60,3118.43994140625,64,0,0,10121.2802734375,22,2,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"8184",1,0,1,11,7,9,1960,2600,34,48358.44140625,5446,0,0,48547.19921875,17,3,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"8187",1,0,1,12,9,10,1966,2600,28,31200,5008,0,1,66613.5625,4,3,12,10,50737.44140625,7488,0,0,0,3,39,0,1,1,0
"8190",1,0,1,12,6,11,1956,1400,38,62401.55859375,749,2,1,78000,11,2,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"8195",0,0,1,13,9,8,1943,2206,51,31200,1314,0,NA,77064,32,3,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"8197",0,0,1,13,1,9,1965,1590,30,32760,4137,2,1,81120,1,2,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"8204",1,0,1,10,3,8,1955,0,39,0,147,1,1,49611.12109375,12,3,NA,NA,NA,NA,NA,NA,0,2,34,0,0,1,0
"8205",0,1,0,12,4,9,1959,1800,35,22620,314,4,1,42274.44140625,6,3,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"8220",1,1,0,12,4,11,1958,NA,36,NA,5021,2,0,53041.55859375,NA,NA,NA,NA,NA,53041.55859375,0,NA,0,4,4,0,1,NA,0
"8242",1,0,1,13,7,9,1947,3640,47,66069.1171875,795,1,1,70749.1171875,19,4,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"8247",1,0,1,14,11,10,1942,2270,52,101403.1171875,1054,1,1,110870.7578125,24,3,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"8258",1,0,1,13,9,13,1958,2140,36,83773.5625,573,0,0,83963.8828125,8,2,12,16,0,0,0,0,0,4,36,0,1,1,0
"8297",1,0,1,8,7,6,1969,2080,25,22620,2909,2,1,27298.439453125,8,3,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"8302",1,0,1,12,1,11,1945,2500,50,78001.5625,149,0,1,78001.5625,31,2,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"8303",0,0,1,16,12,12,1938,0,56,0,4170,0,1,1413413,13,2,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"8339",1,0,1,14,10,8,1958,1960,35,65521.55859375,2883,2,1,84739.203125,9,2,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"8345",0,0,1,14,9,11,1948,1587,46,53041.55859375,5411,1,0,70048.6796875,18,2,11,12,0,0,0,0,0,4,46,0,1,1,0
"8346",0,0,1,12,9,9,1959,0,35,0,3306,3,1,78001.5625,6,2,NA,NA,NA,NA,NA,NA,0,4,46,0,0,NA,1
"8359",1,0,1,16,3,11,1955,2142,40,96723.1171875,4594,3,1,161642.515625,8,1,NA,NA,NA,NA,NA,NA,0,4,43,0,1,1,0
"8366",0,0,1,12,9,10,1965,640,29,10140,77,2,1,51386.3984375,1,2,NA,NA,NA,NA,NA,NA,0,3,3,0,1,NA,1
"8387",1,0,0,14,7,10,1956,NA,38,NA,670,0,NA,18439.19921875,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,0,1,NA,0
"8391",0,0,1,16,1,12,1948,1960,47,39000,1262,0,1,42229.19921875,10,1,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"8405",1,0,1,12,11,7,1958,2040,36,0,1016,2,0,0,16,4,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"8413",1,0,0,17,7,10,1963,0,31,0,3834,0,1,141460.796875,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"8424",0,0,1,14,6,13,1955,1960,39,23400,3959,4,0,90169.5625,16,2,12,12,0,0,0,0,0,2,14,0,1,1,0
"8435",1,0,1,12,2,9,1961,2204,34,62401.55859375,2948,0,1,117001.5625,12,2,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"8459",1,0,1,16,6,9,1969,3000,25,44672.16015625,370,0,1,86994.9609375,NA,1,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"8483",0,0,1,14,9,9,1958,2050,36,65521.55859375,8127,3,1,169373.875,8,2,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"8490",0,0,1,14,8,11,1950,1984,44,37051.55859375,2441,0,0,37051.55859375,16,3,12,12,0,0,0,0,0,4,4,0,1,1,0
"8513",0,0,1,13,4,10,1960,1862,34,26520,3817,2,1,73320,8,1,NA,NA,NA,NA,NA,NA,0,4,36,0,1,NA,1
"8527",1,0,1,16,7,8,1951,2094,43,34318.44140625,6291,2,1,44988.83984375,15,3,NA,NA,NA,NA,NA,NA,0,4,5,0,1,1,0
"8535",0,0,1,16,1,12,1950,0,45,0,1495,1,1,208111.796875,17,2,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"8546",1,0,1,17,6,12,1959,2420,35,40747.19921875,9516,3,1,53041.55859375,17,4,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"8551",0,0,1,16,7,11,1943,1750,51,25624.560546875,5222,0,1,106789.796875,3,1,NA,NA,NA,NA,NA,NA,0,2,22,0,0,NA,1
"8565",1,0,1,16,2,11,1966,1764,29,70201.5625,2982,0,1,126049.5625,7,2,14,14,78001.5625,21840,0,0,0,1,20,0,1,1,0
"8573",1,0,1,16,8,11,1947,3289,47,210607.796875,4885,1,1,258715.078125,19,2,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"8580",1,0,1,17,9,9,1948,1880,46,49920,2308,1,1,73632,18,1,12,NA,NA,0,0,NA,0,3,1,0,1,1,0
"8597",0,1,0,13,3,6,1938,0,56,0,202,0,0,84968.5234375,28,4,NA,NA,NA,NA,NA,NA,0,3,10,0,0,1,0
"8622",0,0,1,12,6,11,1965,NA,29,NA,1142,0,NA,100153.5625,NA,NA,12,11,32760,0,0,0,0,1,29,0,1,NA,0
"8624",0,0,1,16,7,12,1954,1819,40,60841.55859375,3477,2,1,170511.125,11,1,12,NA,NA,0,0,NA,0,1,29,0,1,NA,1
"8629",1,0,1,16,4,11,1965,769,29,18720,467,0,1,62420.28125,9,2,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"8630",1,0,1,12,1,9,1958,3495,37,51480,1051,2,1,63960,9,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"8631",1,0,1,16,7,11,1961,2558,33,33306,5594,0,1,65442,5,3,10,NA,NA,0,0,NA,0,3,35,0,1,1,0
"8637",0,0,1,11,1,10,1961,2450,34,93603.1171875,1897,2,1,198126.234375,6,1,14,14,81121.5625,24960,0,0,0,3,42,0,1,NA,1
"8657",1,0,1,12,9,7,1966,2463,28,7798.43994140625,2110,2,1,28078.439453125,6,1,12,9,93601.5625,54601.55859375,0,0,0,2,24,0,1,1,0
"8661",1,0,1,12,8,12,1967,2600,27,20590.439453125,4629,1,1,36190.44140625,3,3,NA,7,0,NA,NA,0,0,3,45,0,1,1,0
