"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"58253",0,0,1,12,6,8,1957,2480,37,42120,6054,2,0,58812,10,2,8,9,0,1092,0,0,0,2,22,0,1,1,0
"58271",1,0,1,12,10,NA,1947,1912,47,42120,4280,1,1,63960,26,1,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"58303",1,1,0,13,1,10,1947,2330,48,0,793,0,1,32917.55859375,20,2,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"58322",0,0,1,3,12,10,1961,NA,33,0,1759,0,0,52929.23828125,NA,NA,12,12,0,634.919982910156,0,0,0,2,21,0,0,NA,0
"58331",0,0,1,16,7,10,1964,864,30,29640,3340,1,1,110760,4,2,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"58354",1,0,1,16,7,12,1941,715,53,2809.56005859375,6061,0,0,78235.5625,25,5,11,12,0,0,0,0,0,1,20,0,1,1,0
"58364",0,0,1,12,4,12,1955,1394,39,9358.4404296875,2197,0,1,95394,7,1,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"58369",0,0,1,17,8,11,1962,2486,32,57721.55859375,1130,0,0,57721.55859375,6,3,12,12,9732.83984375,2301,0,0,0,3,1,0,1,1,0
"58373",0,0,1,12,3,9,1943,1500,52,3586.43994140625,545,0,1,54754.44140625,24,4,NA,NA,NA,NA,NA,NA,0,2,12,0,0,NA,1
"58400",1,0,1,13,9,11,1955,2800,39,95163.1171875,5751,3,1,100487.3984375,12,1,12,12,0,0,0,0,0,2,12,0,1,1,0
"58407",0,0,1,16,9,11,1950,2448,44,53041.55859375,3127,0,NA,100074,16,1,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"58415",0,0,1,12,1,6,1949,2560,46,93604.6796875,3946,0,0,100044.359375,NA,3,NA,NA,NA,NA,NA,NA,0,2,21,0,0,1,0
"58418",0,0,1,12,6,12,1942,1952,52,19500,2545,0,NA,114070.3203125,27,4,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"58419",0,1,0,11,9,9,1969,0,25,0,9758,1,0,9143.16015625,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,1,0,NA,1
"58440",0,1,0,10,4,1,1957,NA,36,0,2406,0,0,6815.64013671875,NA,NA,NA,NA,NA,0,0,NA,0,2,13,0,0,NA,0
"58446",1,0,1,12,9,9,1966,1960,28,31825.560546875,2514,1,1,61949.16015625,1,1,10,NA,NA,0,0,NA,0,3,23,0,1,1,0
"58454",0,0,1,12,12,11,1937,0,57,0,2645,0,1,171450.234375,10,2,NA,NA,NA,NA,NA,NA,0,4,43,0,0,NA,1
"58472",0,0,1,12,4,11,1966,1548,28,26520,2096,2,1,79560,2,3,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"58474",1,0,1,12,8,10,1936,3405,58,127924.6796875,2421,0,1,128238.2421875,30,3,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"58482",0,0,1,14,8,12,1941,0,53,0,1239,0,1,592824.9375,5,1,NA,NA,NA,NA,NA,NA,0,1,29,0,0,NA,1
"58493",0,0,1,12,2,12,1935,0,60,0,7294,1,1,1404,20,3,NA,NA,NA,NA,NA,NA,0,2,13,0,0,NA,1
"58516",0,0,1,16,11,11,1961,3840,33,140404.6875,2448,3,1,445100.75,3,1,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"58517",0,0,1,12,10,9,1969,1750,25,18720,2613,1,0,62523.23828125,7,3,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"58523",1,0,1,14,8,11,1968,1915,26,42120,1720,0,0,46956,6,3,12,12,49920,5460,0,0,0,2,21,0,1,1,0
"58574",1,0,1,12,3,9,1950,2550,45,78001.5625,10413,0,0,83508.359375,25,1,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
