"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"26",1,0,1,14,6,11,1954,3516,36,92750,2040,0,0,92750,12,1,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"27",1,0,1,17,6,11,1948,2580,42,107257.5,3684,1,1,331625,19,2,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,21,0,1,1,0
"28",0,0,1,15,10,11,1963,928,27,14175,2846,0,0,14175,3,1,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,21,1,0,1,0
"30",1,0,1,17,10,11,1951,2470,40,80911.25,3736,2,1,246050,10,3,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"31",0,0,1,16,2,11,1953,2030,38,49000,2905,0,0,49000,14,1,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"32",0,0,1,16,9,11,1960,980,30,21000,5822,2,NA,109025,7,3,0,0,0,0,0,NA,0,0,NA,17,0,NA,NA,0,0,3,39,0,0,NA,1
"33",1,0,1,17,1,11,1959,2214,32,253750,4623,3,1,350000,8,3,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,34,0,1,1,0
"34",1,0,1,12,11,8,1965,1920,25,28000,292,0,0,28420,1,1,0,420,420,0,0,0,0,0,8,8,0,7000,0,0,0,2,13,0,1,1,0
"37",0,0,1,12,5,10,1953,1053,38,3500,6336,2,NA,23695,NA,3,0,0,0,0,0,NA,0,0,8,8,0,7000,0,0,0,2,13,0,0,NA,1
"38",0,0,1,12,10,11,1951,1778,39,28875,224,0,0,38332,10,3,0,0,0,0,0,0,4557,0,8,8,0,7000,0,0,0,2,13,0,1,1,0
"39",0,0,1,17,2,8,1962,0,29,0,50,1,1,57925,5,3,0,0,0,0,0,NA,0,0,8,8,0,7000,0,0,0,2,13,0,0,NA,1
"42",1,0,1,14,10,10,1947,1760,43,21000,58,4,1,26908,17,3,0,2408,6608,0,0,2400,0,0,8,8,0,7000,0,0,0,2,13,0,1,1,0
"44",0,0,1,16,9,8,1959,1440,31,11725,424,3,0,21735,4,3,0,0,0,0,0,0,10010,0,8,8,0,7000,0,0,0,2,13,0,1,1,0
"45",1,0,1,12,11,7,1949,2040,41,52500,4791,1,1,87368.75,21,3,0,0,0,0,0,0,0,0,8,8,0,7000,0,0,0,3,41,0,1,1,0
"47",1,0,1,10,5,9,1962,2400,29,47250,7520,0,0,47250,5,4,0,0,0,0,0,0,0,0,12,12,14350,9926,0,0,0,2,14,0,1,1,0
"48",0,0,1,8,7,9,1960,2080,30,12250,2926,3,NA,49000,8,3,0,0,0,0,0,NA,5250,0,12,12,14350,9926,0,0,0,2,14,0,1,NA,1
"49",0,0,1,12,9,9,1963,2048,27,26250,228,0,0,26250,8,2,0,0,0,0,0,0,0,0,12,12,14350,9926,0,0,0,2,14,0,1,1,0
"50",1,0,1,11,6,9,1949,2000,41,31500,202,0,0,31500,18,1,0,0,0,0,0,0,0,0,12,12,14350,9926,0,0,0,2,14,0,1,1,0
"51",0,0,1,12,6,9,1958,2071,32,17500,1325,2,1,70000,5,2,0,0,0,0,0,NA,0,0,12,12,14350,9926,0,0,0,2,14,0,1,NA,1
"52",0,0,1,10,6,6,1948,1504,42,17500,8501,2,NA,119875,20,1,0,0,0,0,0,NA,0,0,12,12,14350,9926,0,0,0,2,14,0,1,NA,1
"54",1,0,1,12,3,9,1953,2105,37,17500,3768,1,1,33250,14,3,0,3500,3500,0,0,0,0,0,12,12,14350,9926,0,0,0,2,14,0,1,1,0
"55",1,0,1,12,5,12,1947,3120,44,29750,7380,5,1,29750,19,2,0,0,1750,0,0,1000,0,0,12,12,14350,9926,0,0,0,2,14,0,1,1,0
"56",1,0,1,6,2,10,1948,2660,43,21000,4782,1,1,24046.75,19,4,0,0,2625,0,0,1500,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"59",1,0,1,10,2,8,1955,0,36,0,423,2,1,13007.75,12,4,2093,0,4613,0,0,1440,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"60",1,0,1,12,7,8,1953,2184,37,30569,780,2,1,46021.5,13,4,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"61",1,0,1,10,11,8,1960,2040,29,8925,2925,0,1,10325,8,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"62",1,0,1,12,5,11,1951,2425,39,26250,161,2,1,32784.5,17,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"63",0,0,1,12,10,8,1963,1636,27,19250,187,1,0,24641.75,NA,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"64",1,0,1,14,1,8,1956,2196,35,41125,504,2,1,59521,12,5,13146,0,13146,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"65",1,0,1,12,10,8,1962,2592,28,26075,7996,2,1,41825,4,2,0,0,0,0,0,0,0,0,3,NA,0,0,0,0,0,3,3,0,1,1,0
"68",0,1,0,12,3,8,1965,0,26,0,2976,2,0,5880,7,1,0,0,10458,0,0,2616,0,3360,12,NA,NA,0,0,NA,0,3,10,0,0,1,0
"69",1,1,0,12,2,8,1960,320,31,NA,3231,0,0,8890,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,0,1,NA,0
"70",1,1,0,12,3,8,1962,1916,29,33250,3473,0,0,34125,5,4,0,875,875,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,10,0,0,1,0
"72",0,1,0,12,4,8,1952,2150,39,35000,3840,1,0,35875,15,2,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"73",1,1,0,12,3,8,1961,533,30,6529.25,3232,0,0,16329.25,2,5,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,10,0,0,1,0
"75",1,1,0,12,2,8,1953,2016,38,45500,4278,2,1,66500,14,2,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"76",0,1,0,12,3,8,1958,2205,33,26250,3537,3,0,55562.5,15,2,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,10,0,1,1,0
"600",1,0,1,12,7,3,1954,1982,36,61250,2764,2,1,73500,12,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"637",1,0,1,17,12,12,1943,2205,47,122500,7053,1,1,192675,23,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"670",1,0,1,12,5,10,1963,1945,28,16079,1605,1,1,39025,7,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"671",0,0,1,12,7,11,1954,3040,36,14000,3051,2,NA,64127,11,3,0,0,0,0,0,NA,2730,0,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"674",0,0,1,17,8,10,1951,1200,39,NA,7358,3,1,116112.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,0
"677",0,0,1,8,2,11,1934,0,56,0,4602,0,NA,44583,18,5,0,0,8337,8337,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"688",0,0,1,17,2,11,1966,1352,25,0,8625,0,NA,118548.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,17,70344.75,29750,0,0,0,3,19,1,0,NA,0
"701",1,0,1,17,9,9,1955,2844,35,66500,6008,2,1,111300,11,2,0,0,0,0,0,0,0,0,12,NA,NA,4366.25,0,NA,0,4,4,0,1,1,0
"731",1,0,1,16,10,8,1965,NA,25,NA,5715,0,NA,112185.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,12,49035,44740.5,0,0,1,1,37,NA,NA,NA,0
"759",0,0,1,17,4,11,1959,1244,32,50750,3499,0,1,152950,1,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"764",0,0,1,13,5,11,1960,2404,30,22750,5653,2,1,47246.5,7,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"769",0,0,1,12,4,10,1960,0,31,0,6100,3,NA,32375,NA,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,0,NA,1
"770",0,1,0,13,1,9,1959,2160,32,43097.25,8536,2,1,82001.5,8,2,0,0,0,0,0,NA,0,0,NA,11,12628,NA,NA,0,0,1,20,0,1,NA,1
"780",1,0,1,15,10,13,1960,2828,30,10500,5230,0,0,10500,6,3,0,0,0,0,0,0,0,0,16,16,0,1487.5,0,0,0,3,32,0,1,1,0
"790",1,0,1,12,2,11,1952,3000,39,59500,1584,0,1,119175,15,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"796",1,0,1,12,5,12,1952,2295,38,53812.5,3616,0,0,54302.5,15,2,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,2,48,0,1,1,0
"805",1,1,0,12,12,8,1949,2080,41,24850,1621,4,1,49350,17,3,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,2,34,0,1,1,0
"817",1,0,1,12,1,10,1943,2868,49,40250,5034,0,0,41650,25,2,0,1400,1400,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"839",1,0,1,12,3,10,1945,2640,46,41125,3424,1,1,82831,20,3,0,0,0,0,0,0,0,0,8,8,25233.25,0,0,0,0,3,41,0,1,1,0
"840",1,0,1,17,5,10,1954,3035,36,115500,731,2,1,175000,13,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"841",0,0,1,12,12,10,1941,486,49,4025,4920,1,1,196997.5,7,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"842",0,0,1,16,2,11,1944,672,47,8225,6838,1,1,462271.25,8,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"849",1,0,1,13,3,9,1963,2369,28,57137.5,1348,1,1,69737.5,4,2,0,0,0,0,0,0,0,0,14,12,89250,0,0,0,0,3,42,0,1,1,0
"863",0,0,1,17,11,10,1950,1608,40,61250,6098,1,NA,106575,18,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"865",1,0,1,10,9,9,1956,2932,34,56525,3859,2,0,84808.5,10,2,0,787.5,21283.5,20496,0,0,0,0,5,NA,NA,5775,0,NA,0,2,48,0,1,1,0
"892",1,0,1,12,7,9,1932,2000,58,45500,2463,0,1,79975,33,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"893",0,0,1,16,2,10,1957,500,34,5250,6282,2,1,77000,8,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,0,NA,1
"894",0,0,1,17,4,9,1943,2354,48,43274,5975,1,0,45242.75,28,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"951",0,0,1,17,11,11,1958,1669,32,14350,6574,2,NA,60725,4,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"961",0,0,1,10,5,5,1964,0,27,0,8204,1,1,105000,NA,2,0,0,0,0,0,NA,0,0,8,NA,NA,0,0,NA,0,3,9,1,0,NA,1
"970",0,0,1,12,10,11,1948,1852,42,17500,8109,0,1,85680,12,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,1
"975",1,0,0,12,12,9,1938,2460,52,87500,7464,0,1,118475,29,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"976",0,0,1,12,5,10,1960,0,31,0,4378,2,NA,66500,7,3,0,0,0,0,0,NA,0,0,5,5,9283.75,0,0,0,0,3,41,0,0,NA,1
"998",0,0,1,12,5,11,1958,1968,32,24533.25,2426,0,0,27352.5,5,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"1036",0,1,0,13,7,10,1947,2250,43,8492.75,598,0,1,81329.5,12,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,1,0,1,NA,1
"1068",1,0,1,17,1,11,1950,2631,41,33988.5,3699,0,1,148400,13,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1081",0,0,1,12,2,11,1965,0,28,0,8574,2,1,22608.25,5,1,0,0,0,0,0,NA,0,0,12,12,66500,14875,0,0,0,4,4,0,0,NA,1
"1114",1,0,1,14,12,13,1953,1872,37,73500,5880,0,1,160520.5,13,1,0,0,0,0,0,0,0,0,14,14,0,0,0,0,0,4,4,0,1,1,0
"1154",0,0,1,17,12,8,1953,2064,37,105000,62,1,1,152250,11,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1162",1,0,1,15,11,11,1963,3179,27,37625,6755,0,1,71575,3,3,0,0,0,0,0,0,0,0,14,14,65420.25,55002.5,0,0,0,3,42,0,1,1,0
"1172",1,0,1,16,7,12,1959,1984,31,87500,1924,0,1,116896.5,7,2,0,0,0,0,0,0,0,0,16,17,84000,43445.5,0,0,0,2,21,0,1,1,0
"1180",0,0,1,17,9,12,1948,100,42,4900,4,2,1,100625,NA,1,0,0,0,0,0,NA,0,0,12,NA,NA,2289,0,NA,0,2,24,0,0,NA,1
"1183",1,0,1,12,10,9,1956,1400,32,17955,8547,2,1,21838.25,15,4,0,3883.25,3883.25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,0,1,0
"1185",1,0,1,12,7,10,1958,2900,32,64750,699,0,1,115500,8,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"1187",0,0,1,17,5,9,1952,2375,39,95375,6750,2,1,333375,14,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1205",1,0,1,17,3,11,1957,2410,34,94500,1439,2,1,117512.5,10,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"1211",0,0,1,17,11,7,1943,2018,47,56875,3253,0,0,67515,24,2,0,0,0,0,0,0,3640,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"1212",0,0,1,12,11,9,1943,1310,47,17500,7464,0,1,118475,8,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1247",0,0,1,17,8,10,1956,936,34,28000,8205,2,1,84262.5,7,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1249",1,0,1,14,1,10,1958,2452,33,99750,9189,0,0,99750,9,2,0,0,0,0,0,0,0,0,12,14,38500,14875,0,0,0,1,31,0,1,1,0
"1289",0,0,1,14,3,12,1959,0,32,0,7391,2,1,23275,6,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,22,0,0,NA,1
"1290",0,0,1,16,5,10,1961,1920,29,71750,3208,1,1,128625,6,1,0,0,0,0,0,NA,0,0,12,NA,NA,0,0,NA,0,1,29,0,1,NA,1
"1314",0,0,1,14,9,11,1960,882,30,21000,7132,2,1,61250,7,1,0,0,0,0,0,NA,0,0,12,14,21607.25,16625,0,0,0,2,26,0,0,NA,1
"1334",0,0,1,12,1,10,1942,1976,49,30975,4358,1,1,65436,25,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"1345",1,0,1,17,7,9,1953,2810,37,69650,7846,0,0,69650,12,3,0,0,0,0,0,0,0,0,15,16,0,0,0,0,0,4,4,0,1,1,0
"1358",0,0,1,12,5,10,1943,1827,47,21000,3783,0,1,128800,8,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1371",1,0,1,17,11,12,1948,1974,42,75250,7290,2,1,118562.5,15,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"1412",0,0,1,12,3,11,1960,1880,31,23800,452,2,1,79800,1,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"1419",0,0,1,12,1,8,1956,328,35,3640,5151,3,1,75390,6,3,0,0,0,0,0,NA,0,0,11,10,50750,14175,0,0,0,1,20,0,1,NA,1
"1429",1,0,0,3,10,8,1964,NA,27,0,6052,0,0,6825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,0,0,NA,0,1,31,0,0,NA,0
"1451",0,0,1,13,9,11,1964,1736,26,34994.75,4582,0,0,35309.75,6,2,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,4,43,0,1,1,0
"1472",0,0,1,17,4,11,1956,1920,34,59500,6270,0,1,114100,10,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"1490",0,0,1,11,10,11,1941,742,49,5075,3989,0,1,53200,25,2,0,0,11725,11725,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1495",0,0,1,12,3,11,1944,1948,47,33250,63,1,NA,104125,11,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"1505",1,0,1,12,8,9,1943,2080,46,41195,314,2,1,90084.75,26,3,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"1506",0,1,0,14,10,4,1953,2209,37,38500,6435,1,0,43085,18,1,0,0,0,0,0,0,0,0,8,NA,NA,0,0,NA,0,3,10,0,1,1,0
"1511",1,0,1,16,4,10,1957,2340,34,70000,7193,0,1,99750,8,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"1524",0,0,1,12,10,12,1965,1996,25,22274,6002,1,0,22282.75,4,2,0,0,0,0,0,0,0,0,14,16,38790.5,39690,0,0,0,3,42,0,1,1,0
"1544",0,0,1,12,12,9,1950,1904,40,22750,7056,2,1,89215,7,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"1546",0,0,1,14,9,10,1951,660,39,7000,4012,3,1,82657.75,14,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,4,2,0,1,NA,1
"1576",1,0,1,12,12,10,1945,2080,45,NA,4204,0,NA,99806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,0,1,0,NA
"1584",0,0,1,16,9,11,1943,3500,47,69125,8624,2,1,137214,23,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,38,0,1,NA,1
"1597",1,1,0,14,1,1,1958,2150,33,51625,1983,2,1,102375,9,2,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"1608",0,0,1,16,7,9,1936,0,54,0,725,0,1,216265,8,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"1612",0,1,0,12,5,7,1952,0,38,0,3432,2,0,22627.5,18,5,0,0,22365,22365,0,0,262.5,0,NA,NA,NA,NA,NA,NA,0,3,45,0,0,1,0
"1626",0,0,1,14,9,10,1950,1676,40,19250,306,0,NA,76037.5,18,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1631",0,0,1,16,8,12,1953,24,37,610.75,8090,3,1,69725.25,12,NA,0,0,0,0,0,NA,0,0,16,12,0,0,0,0,0,4,5,0,0,NA,1
"1637",0,1,0,14,5,0,1965,1800,25,NA,2449,0,1,62737.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,0
"1644",0,1,0,16,2,4,1959,571,32,7000,1077,1,1,42000,5,4,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,1
"1647",0,0,1,12,5,9,1953,0,36,0,314,2,NA,90084.75,NA,3,0,0,0,0,0,NA,5040,0,11,NA,NA,5073.25,0,NA,0,3,32,0,0,NA,1
"1662",0,0,1,16,9,11,1938,1104,52,26250,3176,0,1,150701.25,20,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"1664",0,0,1,12,11,12,1951,1572,39,52804.5,4804,0,NA,115276,14,4,12250,0,12250,0,0,NA,0,0,12,NA,NA,0,0,NA,0,4,4,0,1,NA,1
"1674",0,0,1,16,5,8,1950,1728,40,63000,4410,2,1,159600,17,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,6,0,1,NA,1
"1679",0,0,1,12,10,12,1956,466,34,3500,8938,3,1,120750,NA,2,0,0,0,0,0,NA,0,0,12,12,0,0,0,0,0,1,29,0,0,NA,1
"1734",0,0,1,12,11,12,1949,2100,41,32200,8324,1,0,36400,17,3,0,0,0,0,0,0,4200,0,9,12,0,0,0,0,0,4,4,0,1,1,0
"1797",0,0,1,16,9,9,1961,2256,30,59500,4506,0,1,101606.75,7,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1843",0,0,1,13,11,10,1961,3250,29,28875,3940,0,0,28875,10,2,0,0,0,0,0,0,0,0,12,NA,NA,26250,0,NA,0,3,35,0,1,1,0
"1847",0,1,0,12,7,9,1958,120,32,840,803,5,0,8183,NA,4,0,0,14889,0,0,4512,0,3996,8,NA,NA,0,0,NA,0,3,16,0,0,1,0
"1863",1,0,1,17,6,9,1949,2683,41,108500,7154,3,1,138250,17,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"1869",0,0,1,13,2,11,1958,2520,33,35000,8131,0,NA,73500,8,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"1885",0,0,1,12,11,10,1963,1840,27,NA,4906,0,NA,86170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,0
"1889",1,0,1,15,4,11,1954,1984,37,72164.75,6618,2,1,89680.5,13,2,0,0,0,0,0,0,0,0,12,14,51371.25,9800,0,0,0,4,46,0,1,1,0
"1927",0,0,1,16,6,10,1963,1976,27,32550,3430,0,0,32550,3,2,0,0,0,0,0,0,0,0,12,12,101500,0,0,0,0,3,39,0,1,1,0
"1945",1,0,1,16,10,11,1946,2400,44,143500,6497,2,1,165375,20,1,0,0,0,0,0,0,0,0,17,16,11375,0,0,0,0,1,6,0,1,1,0
"1955",0,0,1,12,5,12,1960,0,30,0,3245,3,1,43137.5,1,3,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"1956",0,0,1,12,8,11,1958,1152,32,15925,2146,2,1,30975,8,2,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"1981",0,0,1,12,2,10,1950,2295,41,42000,2733,1,1,96600,15,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"1982",0,0,1,16,5,12,1951,705,39,0,345,4,1,29750,10,1,0,0,0,0,0,NA,0,0,12,12,0,77000,0,0,0,2,40,0,1,NA,1
"2001",0,0,1,16,10,13,1953,1500,37,21700,3027,2,1,82600,10,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"2010",0,0,1,12,3,9,1957,2000,34,38500,9032,0,1,106750,12,1,0,0,0,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"2016",0,0,1,16,6,8,1949,2162,41,14000,5272,2,1,46795,10,2,0,507.5,507.5,0,0,NA,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
