"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","hhdens","inc_wcomp","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_ch","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"31896",0,0,0,12,10,11,1941,NA,44,NA,4657,3,NA,70720,NA,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,0
"31919",1,0,1,17,11,12,1931,1984,53,106380.5625,2834,0,1,155245.875,35,1,0.5,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"31935",0,0,1,14,6,11,1944,2040,40,24310,5309,1,NA,139230,8,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,1
"31959",0,NA,NA,12,2,10,1954,1200,31,NA,2808,0,NA,145860,NA,NA,0.100000001490116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,0,1,NA,0
"31975",0,0,1,12,10,11,1952,1800,33,50830,6011,2,1,110500,15,2,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,17,NA,NA,57046.73046875,0,NA,0,1,20,0,1,NA,1
"31993",0,0,1,13,9,9,1953,2000,31,39780,4319,0,1,156910,13,1,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,11,10,57460,0,0,0,0,2,21,0,1,NA,1
"32006",1,0,1,17,3,10,1928,1932,57,68510,3741,0,1,79560,38,3,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"32010",1,0,1,12,10,10,1954,1960,30,35360,1635,1,1,56355,10,3,0.400000005960464,0,0,0,0,0,0,0,0,12,10,0,17680,0,0,0,2,14,0,1,1,0
"32043",0,0,1,15,12,10,1954,0,30,0,5986,3,1,48637.6796875,NA,2,0.600000023841858,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,0,NA,1
"32083",0,0,1,17,12,9,1947,1408,37,32266,509,2,1,96488.6015625,19,1,0.5,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"32101",0,0,1,17,3,11,1936,2354,49,15447.900390625,5045,2,1,75140,22,2,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"32106",0,0,1,13,11,12,1926,1913,58,43614.3515625,5946,0,1,201629.34375,18,2,0.400000005960464,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,16,0,1,NA,1
"32118",0,0,1,16,10,10,1952,0,32,0,353,2,1,44200,NA,4,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,34,0,0,NA,1
"32140",1,0,1,14,1,11,1960,2102,25,23426,4665,0,1,50388,5,2,0.300000011920929,0,0,0,0,0,0,0,0,12,16,NA,NA,NA,NA,0,2,34,0,1,1,0
"32141",0,0,1,12,9,12,1951,2098,31,59228,1656,3,NA,136571.375,11,2,1,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,48,0,1,NA,1
"32142",0,0,1,16,6,12,1954,1077,30,11050,6348,4,1,23205,4,2,1.20000004768372,0,0,NA,NA,NA,NA,0,NA,12,12,44200,0,0,0,0,1,37,0,0,NA,1
"32154",1,0,1,16,11,11,1924,2295,60,15794.8701171875,4586,0,0,35802,42,2,0.300000011920929,0,0,0,0,0,0,0,0,NA,17,0,NA,NA,0,0,2,21,0,1,1,0
"32178",1,0,1,12,8,8,1955,2110,29,24431.55078125,4938,1,1,45194.5,11,2,0.800000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"32202",0,0,1,16,4,6,1956,0,29,0,2050,0,1,91604.5,NA,2,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,41,1,0,NA,1
"32210",0,1,0,15,4,8,1943,1896,41,24310,102,1,0,24310,22,1,0.300000011920929,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"32225",1,0,1,12,7,10,1939,2000,45,46410,6350,1,1,121994.2109375,28,5,0.600000023841858,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"32234",0,1,0,13,11,9,1949,1925,35,55636.75,5095,3,0,60333,14,4,0.600000023841858,0,0,0,0,0,0,663,0,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"32252",1,0,1,16,5,9,1942,1760,42,0,3392,0,NA,75803,NA,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,0,0
"32253",1,0,1,16,12,8,1959,2750,25,62112.05078125,6836,0,1,108522.046875,8,1,0.699999988079071,0,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,1,31,0,1,1,0
"32266",0,0,1,17,10,12,1950,2072,34,66300,1670,0,1,181220,17,4,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
"32273",0,0,1,12,8,10,1954,1993,30,28730,6160,1,1,113594,12,1,0.5,0,0,NA,NA,NA,NA,0,NA,12,11,89726,1326,0,0,0,2,13,0,1,NA,1
"32279",0,0,1,14,9,10,1959,2205,25,59670,6225,0,0,74494.6796875,8,1,0.300000011920929,0,0,0,0,0,0,0,0,12,NA,NA,29614,0,NA,0,4,43,0,1,1,0
"32315",1,0,1,12,10,11,1957,2368,27,65195,4073,3,1,90046.453125,14,3,0.699999988079071,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"32318",0,0,1,12,8,13,1943,2040,41,NA,1972,1,NA,75891.3984375,NA,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,3,23,0,1,NA,0
"32332",1,0,1,16,2,10,1956,2609,29,77350,2283,1,1,78189.796875,11,1,0.400000005960464,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"32341",0,1,0,10,7,8,1938,0,45,0,6704,0,1,22119.890625,NA,4,1.29999995231628,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"32345",0,0,1,12,9,11,1924,0,60,0,2144,0,1,80223,NA,4,0.200000002980232,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,5,0,0,NA,1
"32347",0,0,1,14,12,8,1947,2068,37,33150,1971,3,1,78161.0703125,16,1,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,23,0,1,NA,1
"32351",0,0,1,16,5,11,1932,1700,52,21437,3190,0,1,128622,8,1,0.300000011920929,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,1,NA,1
"32359",0,0,1,12,7,5,1942,0,42,0,5318,2,1,89438.703125,NA,2,0.699999988079071,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"32360",1,0,1,12,6,10,1926,343,58,0,4312,0,1,77756.640625,40,5,0.5,0,0,23205,23205,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,0,0,1,0
