"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"37083",0,NA,NA,6,12,10,1919,840,55,8398,3341,0,NA,77650.5625,27,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"37145",1,0,1,12,8,9,1948,2080,27,42692.78125,29,2,1,76284.78125,9,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,0,0,1,0
"37156",0,NA,NA,12,9,11,1944,2040,31,22100,700,1,NA,111605,13,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"37160",0,1,0,7,11,7,1932,416,42,4420,1785,3,1,22842.560546875,21,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"37169",0,0,1,10,5,11,1921,NA,53,NA,418,1,NA,40664,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,0
"37170",0,0,1,14,6,13,1923,0,52,0,3671,1,1,108290,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"37179",0,0,1,10,9,8,1914,1101,60,5980.259765625,4528,0,0,25061.400390625,16,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,61,0,1,1,0
"37202",1,0,1,16,NA,12,NA,1000,25,12376,1616,0,0,12818,7,0.200000002980232,0,0,0,0,0,0,0,12,12,78043.9375,10943.919921875,0,0,0,2,26,NA,71,0,1,1,0
"37208",1,0,1,17,10,12,1949,2370,25,22100,2866,2,1,26343.19921875,7,1,0,0,0,0,0,3315,0,16,NA,NA,41990,0,NA,0,3,3,2,82,0,1,1,0
"37222",1,0,1,13,11,11,1932,2980,42,78455,1298,3,1,192712,24,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,71,0,1,1,0
"37228",1,0,1,16,5,11,1948,1500,26,55250,4923,0,0,60333,9,0.400000005960464,3978,3978,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,0,0,1,0
"37254",0,0,1,11,10,9,1934,2080,41,17680,3438,2,1,37857.30078125,3,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"37275",0,0,1,12,10,10,1930,0,44,0,2457,3,1,44863,4,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
