"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"24",1,0,1,NA,NA,11,NA,641,28,NA,1076,3,NA,134155.84375,NA,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,16,110500,NA,NA,0,0,2,34,NA,NA,NA,NA,NA,0
"27",1,0,1,17,6,11,1948,2327,26,83980,1736,0,1,109138.640625,8,0.5,0,0,0,0,0,0,0,12,16,110500,0,0,0,0,2,21,NA,88,0,1,1,0
"42",1,0,1,14,10,10,1947,2376,28,34034,4779,0,0,34034,9,0.200000002980232,0,0,0,0,0,0,0,8,9,38012,0,0,0,0,2,13,NA,33,0,1,1,0
"45",1,0,1,12,11,7,1949,2200,26,39780,3848,2,1,40522.55859375,8,0.800000011920929,397.799987792969,397.799987792969,0,0,0,0,0,8,9,38012,0,0,0,0,2,13,NA,NA,0,0,1,0
"50",1,0,1,11,6,9,1949,1732,25,23868,4503,0,1,47559.19921875,6,0.400000005960464,2475.19995117188,2475.19995117188,0,0,0,0,0,12,12,10873.2001953125,0,0,0,0,2,14,NA,11,0,1,1,0
"52",0,0,1,10,6,6,1948,0,27,0,1902,1,1,44200,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,12,12,10873.2001953125,0,0,0,0,2,14,NA,NA,NA,NA,NA,1
"55",1,0,1,12,5,12,1947,4117,28,28906.80078125,4504,2,1,35094.80078125,10,1,2652,2652,0,0,0,0,0,12,12,10873.2001953125,0,0,0,0,2,14,NA,51,0,1,1,0
"56",1,0,1,6,2,10,1948,2660,27,24089,2210,2,1,24221.599609375,8,1,0,349.179992675781,0,0,79,0,0,2,NA,7514,0,0,0,0,3,3,NA,11,0,1,1,0
"57",1,0,1,4,8,8,1946,2080,28,7956,2209,2,1,14055.599609375,9,1,0,4826.64013671875,0,0,312,0,780,2,NA,7514,0,0,0,0,3,3,NA,11,0,1,1,0
"67",1,1,0,NA,NA,8,NA,1040,26,NA,546,4,NA,37923.6015625,NA,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,0,0,NA,0,3,10,NA,NA,NA,NA,NA,0
"622",0,0,1,9,NA,8,NA,0,29,0,2275,1,NA,68885.703125,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"637",1,0,1,17,12,12,1943,512,31,20332,389,0,1,57902,13,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,92,0,1,1,0
"652",0,0,0,12,10,2,1941,1200,33,15470,281,1,NA,43514.8984375,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"665",1,0,1,12,NA,11,NA,4284,45,0,3854,0,1,38896,27,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,61,0,1,1,0
"677",0,0,1,8,2,11,1934,2000,41,24310,3039,0,NA,81770,23,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"680",1,1,0,12,2,12,1916,1752,59,97240,844,5,1,136436.5625,41,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"805",1,1,0,12,12,8,1949,2000,25,51272,5101,1,1,51272,6,0.5,0,0,0,0,0,0,0,12,6,61880,19890,0,0,0,2,34,NA,30,0,1,1,0
"811",1,1,0,6,NA,8,NA,4080,44,66300,2417,2,1,67626,26,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,44,0,1,1,0
"813",1,0,1,7,5,8,1916,2000,58,53040,3467,0,1,65592.796875,41,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,51,0,1,1,0
"815",1,0,1,16,NA,9,NA,NA,25,NA,2312,0,NA,79560,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,0
"817",1,0,1,12,1,10,1943,2470,33,44200,1320,0,0,44200,15,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,71,0,1,1,0
"839",1,0,1,12,3,10,1945,1936,30,37128,2538,1,0,45128.19921875,12,0.200000002980232,0,0,0,0,0,0,0,8,8,28641.599609375,10426.7802734375,0,0,0,3,41,NA,42,0,1,1,0
"841",0,0,1,12,12,10,1941,0,32,0,4344,3,1,78941.203125,6,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"842",0,0,1,16,2,11,1944,0,31,0,5034,3,1,222326,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"859",1,0,1,13,10,9,1919,1936,55,63648,2381,0,1,80002,37,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,92,0,1,1,0
"892",1,0,1,12,7,9,1932,2075,42,74945.5234375,987,1,1,86101.6015625,24,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,1,33,0,1,1,0
"894",0,0,1,17,4,9,1943,960,31,22100,2165,2,1,93129.3984375,13,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"970",0,0,1,12,10,11,1948,0,26,0,5113,1,1,155142,1,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,NA,NA,NA,NA,NA,1
"975",1,0,0,12,12,9,1938,2270,36,64090,2076,3,1,86632,19,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,56,0,1,1,0
"991",0,0,1,12,8,11,1924,1920,52,22100,3215,0,1,89726,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1036",0,1,0,13,7,10,1947,2080,27,NA,2955,1,1,36610.859375,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,0
"1050",0,NA,NA,12,NA,9,NA,80,29,663,3768,2,NA,36023,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"1141",1,0,1,16,8,11,1949,1760,25,44200,4123,1,1,66300,7,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,91,0,1,1,0
"1161",1,0,1,13,9,10,1930,2990,44,97240,1444,2,1,97240,26,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,30,0,1,1,0
"1180",0,0,1,17,9,12,1948,375,26,1105,5600,0,1,112268,8,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,12,11,82654,0,0,0,0,2,24,NA,NA,NA,NA,NA,1
"1211",0,0,1,17,11,7,1943,1620,31,37570,312,2,1,90610,13,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1212",0,0,1,12,11,9,1943,2080,31,22542,2076,3,1,86632,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1237",1,0,1,14,NA,12,NA,2205,33,75140,1643,0,1,120997.5,15,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,62,0,1,1,0
"1264",0,0,1,12,9,9,1949,2115,25,35360,4549,0,0,35360,7,0.300000011920929,0,0,0,0,0,0,0,12,NA,NA,0,0,NA,0,3,9,NA,61,0,1,1,0
"1274",1,0,1,NA,NA,11,NA,NA,59,NA,4406,0,NA,49702.8984375,NA,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,0
"1313",0,1,0,12,6,9,1924,1600,50,13260,4914,0,NA,71771.9609375,28,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1328",1,0,1,16,8,12,1926,2642,48,75140,1440,1,1,108378.3984375,30,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,32,0,1,1,0
"1334",0,0,1,12,1,10,1942,1920,33,28730,4800,1,1,90610,15,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1358",0,0,1,12,5,10,1943,0,32,0,2684,2,1,44642,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1363",1,1,0,12,11,4,1950,1600,26,NA,4589,0,0,42874,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,0
"1371",1,0,1,17,11,12,1948,2746,26,35360,4322,0,1,75767.640625,8,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,92,0,1,1,0
"1374",0,0,1,12,2,10,1926,1600,48,15368.33984375,109,2,NA,61336.33984375,21,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"1431",1,0,1,16,3,11,1927,1840,48,110500,3648,0,1,179010,25,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,32,0,1,1,0
"1489",1,0,1,8,NA,0,NA,1920,46,31382,4218,0,0,41990,28,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,3,31,0,1,1,0
"1490",0,0,1,11,10,11,1941,2500,33,29614,1045,2,1,101266.6171875,11,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"1495",0,0,1,12,3,11,1944,1482,31,15028,1738,2,NA,73814,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"1519",1,0,1,16,1,11,1917,1631,58,132600,1221,0,0,192270,40,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,44,0,1,1,0
"1532",0,0,1,12,8,11,1929,140,45,1326,2816,0,1,85836.3984375,10,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"1583",0,0,1,12,4,10,1947,0,27,0,5056,3,NA,123760,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"1584",0,0,1,16,9,11,1943,64,31,3536,3909,2,1,66300,11,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,38,NA,NA,NA,NA,NA,1
"1608",0,0,1,16,7,9,1936,0,38,0,2681,4,1,115251.5,2,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"1662",0,0,1,16,9,11,1938,1400,37,33150,3426,2,1,145860,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"1680",0,0,1,12,10,13,1924,0,51,0,3792,0,1,76395.28125,5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,29,NA,NA,NA,NA,NA,1
"1700",1,0,1,12,7,9,1916,2000,59,55250,3874,0,1,64090,41,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,61,0,1,1,0
"1734",0,0,1,12,11,12,1949,0,25,0,717,3,1,83980,2,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,10,12,23868,34476,0,0,0,3,19,NA,NA,NA,NA,NA,1
"1772",1,0,1,8,2,10,1928,2325,47,59099.8203125,4246,1,1,59497.62109375,29,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,30,0,1,1,0
"1776",1,0,1,12,1,10,1938,2280,37,81770,3987,2,1,86190,17,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,62,0,1,1,0
"1778",0,0,1,12,8,10,1920,180,54,2210,3941,0,1,78234,11,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"1787",1,0,1,12,3,13,1921,2550,54,110500,5151,1,1,117130,36,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,31,0,1,1,0
"1815",0,0,1,9,10,11,1915,1855,59,48178,3996,0,0,48332.69921875,41,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,11,0,1,1,0
"1822",0,0,1,12,8,12,1923,0,51,0,5523,0,1,86632,5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"1834",1,0,1,12,8,9,1929,2340,45,58962.80078125,2701,1,1,68377.3984375,27,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,26,NA,11,0,1,1,0
"1838",1,1,0,12,NA,8,NA,1584,44,26520,3733,4,1,37813.1015625,21,1.39999997615814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,51,0,1,1,0
"1844",1,0,1,12,12,11,1928,1997,46,66300,702,3,1,68532.1015625,24,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,31,0,1,1,0
"1858",1,0,1,12,9,10,1919,1960,56,26431.599609375,2652,0,1,55250,21,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,69,0,1,1,0
"1863",1,0,1,17,6,9,1949,2216,25,66300,2606,1,1,66300,8,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,92,0,1,1,0
"1886",0,NA,NA,16,NA,12,NA,2040,48,12393.6796875,3653,2,NA,88621,5,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,40,NA,NA,NA,NA,NA,1
"1888",0,0,1,13,12,13,1920,0,54,0,5242,0,1,441995.59375,12,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,43,NA,NA,NA,NA,NA,1
"1896",0,NA,NA,16,NA,7,NA,600,28,8840,1365,0,NA,27426.099609375,8,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,2,NA,NA,NA,NA,NA,1
"1929",1,0,1,16,8,11,1926,2227,48,55638.9609375,5030,0,1,94976.9609375,28,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,61,0,1,1,0
"1945",1,0,1,16,10,11,1946,2686,28,55250,1447,0,1,60333,10,0.400000005960464,0,0,0,0,0,0,0,16,16,79560,70720,0,0,0,1,28,NA,62,0,1,1,0
"1981",0,0,1,12,2,10,1950,975,25,15470,652,2,1,65592.796875,5,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"1990",0,0,1,12,9,10,1947,1856,27,48620,2276,1,1,119340,9,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"2016",0,0,1,16,6,8,1949,23,25,221,1856,2,1,61256.78125,7,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"2031",1,0,1,16,11,10,1939,3200,35,41990,2892,2,1,108290,17,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,11,0,1,1,0
"2032",1,0,1,16,5,11,1947,4165,28,55692,4780,1,1,62432.5,9,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,87,0,1,1,0
"2048",0,0,1,17,1,10,1947,0,28,0,5060,1,1,117351,3,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,12,16,141440,2210,0,0,0,2,22,NA,NA,NA,NA,NA,1
"2065",1,0,1,16,4,13,1946,2695,29,35360,282,2,1,41548,11,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,1,0,1,0
"2096",1,0,1,13,12,11,1930,1560,44,22232.599609375,1870,4,1,51493,26,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,57,0,1,1,0
"2111",0,NA,NA,12,NA,10,NA,0,39,0,1861,2,NA,64532,20,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"2114",1,0,1,15,4,10,1930,1972,45,56134,5674,0,1,79560,21,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,31,0,1,1,0
"2147",1,0,1,14,8,9,1949,2500,25,61880,2870,0,0,63869,8,0.300000011920929,1989,1989,0,0,0,0,0,12,14,159120,0,0,0,0,3,9,NA,61,0,1,1,0
"2192",1,0,0,4,NA,5,NA,2034,41,41990,5226,4,1,79042.859375,20,1,2797.86010742188,4190.16015625,0,0,315,0,0,NA,NA,NA,NA,NA,NA,0,4,2,1,40,0,1,1,0
"2205",1,0,1,13,3,11,1938,NA,35,NA,3138,2,1,28071.419921875,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,42,NA,NA,NA,NA,0,NA
"2209",0,0,1,15,11,12,1946,0,28,0,2478,1,0,27404,6,0.400000005960464,0,23868,23868,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,NA,88,0,1,1,0
"2219",0,0,1,12,7,10,1923,1950,51,26520,380,1,NA,59563.921875,21,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"2224",1,0,1,12,NA,9,NA,3087,31,48620,5620,0,0,53963.78125,14,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,55,0,1,1,0
"2255",1,0,1,12,10,9,1913,0,60,0,4807,0,1,72930,35,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,0,0,1,0
"2263",1,0,1,16,7,12,1948,2420,27,17680,911,0,0,19536.400390625,9,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,11,0,1,1,0
"2280",0,0,1,11,11,11,1944,800,30,8203.51953125,5354,2,0,25238.19921875,11,0.5,0,3288.47998046875,0,3076.32006835938,48,1105,0,NA,NA,NA,NA,NA,NA,0,1,37,4,NA,0,0,1,0
"2325",1,0,1,NA,NA,13,NA,2080,47,NA,366,0,NA,48399,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,0,0,NA,0,3,32,NA,NA,NA,NA,NA,0
"2355",1,0,1,12,6,10,1945,2640,29,34918,4186,0,0,34918,11,0.200000002980232,0,0,0,0,0,0,0,10,NA,NA,0,0,NA,0,2,13,NA,85,0,1,1,0
"2357",0,0,1,12,3,10,1947,1250,27,15470,1442,2,1,49946,8,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"2368",0,0,1,13,4,10,1942,0,32,0,131,4,1,97151.6015625,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"2387",0,1,0,16,8,10,1947,2000,27,NA,1825,0,NA,35625.19921875,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,12,NA,NA,13702,0,NA,0,3,16,NA,NA,NA,NA,NA,0
"2393",1,0,1,12,11,10,1934,2000,40,58344,240,1,1,134889.5625,22,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,57,0,1,1,0
"2394",1,0,1,10,5,12,1943,2040,31,33592,2256,2,1,36774.3984375,13,1,0,0,0,0,0,3315,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,33,0,1,1,0
"2415",0,0,1,7,3,7,1938,2550,36,13260,2156,1,1,59228,11,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"2443",1,0,1,12,2,10,1945,1949,30,55250,2470,0,1,83980,12,0.300000011920929,0,0,0,0,0,0,0,12,8,3094,21216,0,0,0,2,13,NA,44,0,1,1,0
"2451",0,0,1,17,6,11,1948,2068,26,30940,3272,0,1,59670,8,0.5,NA,NA,NA,NA,NA,NA,NA,12,12,66300,0,0,0,0,5,50,NA,NA,NA,NA,NA,1
"2452",1,0,1,12,1,6,1927,0,48,0,907,0,1,36098.140625,28,0.300000011920929,0,14426.8798828125,14426.8798828125,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,2,NA,0,0,1,0
"2464",0,0,0,6,NA,7,NA,680,28,8840,5244,0,NA,46410,12,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"2490",0,0,1,11,11,7,1942,0,32,0,2398,2,0,41486.12109375,2,0.400000005960464,28641.599609375,39364.51953125,10722.919921875,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,0,0,1,0
"2539",1,1,0,10,NA,6,NA,0,59,0,4080,0,1,11951.6796875,35,0.400000005960464,0,7125.0400390625,5215.60009765625,0,432,0,0,NA,NA,NA,NA,NA,NA,0,3,17,3,NA,0,0,1,0
"2581",0,0,1,15,3,12,1924,2000,50,17680,5067,0,1,110500,3,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"2586",0,0,1,8,9,5,1929,0,46,0,4100,2,1,32637.279296875,20,0.699999988079071,0,17812.599609375,0,0,546,0,3484,NA,NA,NA,NA,NA,NA,0,1,37,2,NA,0,0,1,0
"2616",0,0,1,12,3,10,1937,0,39,0,1439,8,1,43492.80078125,4,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"2633",0,NA,NA,11,NA,10,NA,0,48,0,891,1,NA,32853.859375,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"2636",0,0,1,12,8,7,1936,1600,38,30940,2672,1,1,104930.796875,21,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,37,NA,NA,NA,NA,NA,1
"2666",0,1,0,12,8,8,1929,2000,47,19890,4421,0,1,127123.6171875,16,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"2667",0,0,1,4,4,0,1934,NA,40,NA,163,2,NA,108687.796875,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,0
"2668",1,0,1,12,NA,9,NA,2166,38,81770,3373,3,1,120104.65625,21,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,71,0,1,1,0
"2695",1,0,1,13,NA,11,NA,3896,32,46410,5540,2,1,69615,12,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,62,0,1,1,0
"2701",1,0,1,12,6,11,1924,2050,50,106080,1184,1,1,113815,29,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,51,0,1,1,0
"2710",1,0,1,12,5,10,1917,2024,57,26161.98046875,2191,0,1,33905.8203125,40,1,0,477.359985351562,0,0,108,0,0,NA,NA,NA,NA,0,NA,0,3,9,NA,83,0,1,1,0
"2713",1,0,1,15,11,12,1945,2550,29,83980,3185,2,1,83980,11,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,61,0,1,1,0
"2801",1,0,1,12,12,12,1941,1652,33,30940,5334,0,1,39780,7,0.400000005960464,0,742.559997558594,0,0,168,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,32,0,1,1,0
"2804",1,1,0,5,3,8,1925,2236,48,25578.5390625,40,2,1,54821.26171875,26,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,62,0,1,1,0
"2807",1,0,1,12,6,8,1944,2460,30,53040,2277,2,1,77350,12,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,51,0,1,1,0
"2839",1,0,1,16,12,10,1927,2750,48,441995.59375,4731,1,1,441995.59375,29,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,62,0,1,1,0
"2882",1,0,1,14,12,9,1947,2212,27,37128,1271,0,1,72930,9,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,31,0,1,1,0
"2888",1,0,1,12,NA,9,NA,2000,53,68510,2312,0,1,79560,25,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,40,NA,51,0,1,1,0
"2922",1,0,1,14,9,8,1915,2128,59,72930,1580,0,1,131274,41,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,55,0,1,1,0
"2947",1,0,1,13,8,11,1944,2526,30,35890.3984375,894,1,1,73460.3984375,12,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,61,0,1,1,0
"2966",0,NA,NA,11,NA,5,NA,1040,37,26520,4669,0,NA,95719.5234375,7,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"2978",0,0,1,16,NA,12,NA,2025,31,20774,1587,0,NA,64974,5,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"2997",1,0,1,12,5,10,1934,1800,40,26078,2162,2,1,57902,17,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,42,0,1,1,0
"3012",0,0,1,16,3,11,1930,1400,45,39780,3137,0,1,114920,21,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
