"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"3731",0,0,1,12,5,10,1916,NA,0,54,0,3304,0,NA,85795.078125,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"3748",0,0,1,12,10,9,1912,NA,0,59,0,409,0,1,50744.3984375,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"3759",0,0,1,12,11,10,1929,NA,0,41,0,3717,1,1,91140,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"3760",1,NA,NA,9,1,8,1926,NA,1920,45,NA,733,0,NA,61740,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,0
"3764",1,0,1,13,NA,12,NA,NA,3120,38,99960,3005,4,1,156114,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,43,0,1,1,0
"3772",0,0,1,17,1,10,1946,NA,1080,25,43512,3621,0,NA,83496,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,NA,NA,1
"3780",1,0,1,13,6,10,1935,NA,2775,35,32634,4090,1,1,32634,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,55,0,1,1,0
"3789",1,0,1,16,4,12,1913,NA,2303,58,147000,3259,0,0,150528,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,57,0,1,1,0
"3830",1,0,0,14,2,10,1936,NA,2038,35,73500,1366,0,1,112660.796875,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,87,0,1,1,0
"3867",1,0,1,8,12,8,1920,NA,1910,49,57629.87890625,1078,3,1,104023.078125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,11,0,1,1,0
"3871",0,NA,NA,11,NA,NA,NA,NA,0,25,0,1990,2,NA,63856.80078125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"3876",0,0,1,NA,NA,13,NA,NA,120,25,882,2222,2,NA,36162,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"3908",0,1,0,12,4,10,1922,NA,1350,49,11760,4528,0,NA,101018.3984375,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,3,16,NA,NA,NA,NA,NA,1
"3933",0,NA,NA,9,NA,4,NA,NA,0,59,0,4313,0,NA,24837.119140625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,22,NA,NA,NA,NA,NA,1
"3936",1,0,1,12,8,8,1920,NA,1980,50,34509.71875,1018,1,1,60246.48046875,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,0,0,1,0
"3959",1,0,1,12,8,10,1923,NA,2182,47,52920,4348,0,1,82614,0.5,0,0,0,0,0,0,0,8,6,1834.56005859375,0,0,0,0,2,34,NA,87,0,1,1,0
"3980",1,0,1,10,7,10,1937,NA,2289,33,63145.3203125,2170,2,1,107598.1171875,0.800000011920929,940.799987792969,940.799987792969,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,32,0,1,1,0
"4078",1,1,0,6,5,6,1910,NA,2020,60,24343.19921875,1165,0,1,31610.880859375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,1,NA,51,0,1,1,0
"4081",1,0,1,16,6,10,1946,NA,2295,25,41160,1097,0,1,73382.3984375,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,62,0,1,1,0
"4116",1,0,1,13,2,8,1935,NA,2040,36,46369.6796875,1113,2,1,75199.3203125,0.800000011920929,0,20109.599609375,12465.599609375,7644,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,92,0,1,1,0
"4134",0,NA,NA,12,NA,10,NA,NA,2000,28,46452,3500,1,NA,188160,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"4142",0,1,0,11,9,2,1914,NA,0,55,0,643,5,1,50332.80078125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
