"birthyear","birthmonth","f_id","black","white","id","male","h_sentscore1972","birthstate","inc_labor","hours","edu","hhchildren","married","fam_inc","works","age","state","f_edu","m_edu","f_inc_labor","m_inc_labor","region","state","study","head","wife"
1960,2,2848001,1,0,2848007,1,8,10,NA,NA,NA,8,0,38803.3203125,NA,8,10,11,12,30780,2052,3,10,NA,0,0
1962,3,2848001,1,0,2848009,1,8,10,NA,NA,NA,8,NA,38803.3203125,NA,6,10,11,12,30780,2052,3,10,NA,0,0
1950,12,NA,1,0,2848172,1,8,10,NA,NA,NA,8,NA,38803.3203125,NA,NA,10,NA,12,NA,2052,3,10,NA,NA,NA
1952,4,2848001,1,0,2848003,0,8,10,NA,NA,NA,8,NA,38803.3203125,NA,16,10,11,12,30780,2052,3,10,NA,0,0
1961,3,2848001,1,0,2848008,1,8,10,NA,NA,NA,8,0,38803.3203125,NA,7,10,11,12,30780,2052,3,10,NA,0,0
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,2,2848001,1,0,2848004,1,8,10,NA,320,NA,8,NA,38803.3203125,NA,15,10,11,12,30780,2052,3,10,NA,0,0
1958,3,2848001,1,0,2848006,0,8,10,NA,NA,NA,8,NA,38803.3203125,NA,10,10,11,12,30780,2052,3,10,NA,0,0
1966,1,5012172,1,0,5012007,1,9,12,NA,NA,NA,6,0,22572,NA,2,12,NA,11,NA,0,2,12,NA,0,0
1953,10,NA,1,0,5136007,0,8,39,NA,NA,NA,9,NA,25225.919921875,NA,14,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1960,1,5136177,1,0,5136010,0,8,39,NA,NA,NA,9,NA,25225.919921875,NA,7,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1950,12,NA,1,0,5136003,1,9,39,NA,NA,NA,9,NA,25225.919921875,NA,17,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1956,9,NA,1,0,5136005,1,8,39,NA,NA,NA,9,0,25225.919921875,NA,11,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1954,12,NA,1,0,5136008,0,8,39,NA,NA,NA,9,NA,25225.919921875,NA,13,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1957,11,NA,1,0,5136006,1,8,39,NA,NA,NA,9,NA,25225.919921875,NA,10,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1952,11,NA,1,0,5136004,1,8,39,NA,NA,NA,9,NA,25225.919921875,NA,15,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1960,1,NA,1,0,5136009,0,8,39,NA,NA,NA,9,NA,25225.919921875,NA,7,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1967,9,NA,1,0,5136011,0,8,39,NA,NA,NA,9,0,25225.919921875,NA,1,39,NA,12,NA,4596.47998046875,3,39,NA,0,0
1965,5,NA,0,1,5235012,1,6,37,NA,NA,NA,9,NA,42408,NA,3,37,NA,10,NA,0,1,37,NA,0,0
1952,3,NA,0,1,5235003,1,6,37,NA,NA,NA,9,NA,42408,NA,16,37,NA,10,NA,0,1,37,NA,0,0
1960,7,NA,0,1,5235008,1,6,37,NA,NA,NA,9,NA,42408,NA,8,37,NA,10,NA,0,1,37,NA,0,0
1957,8,5235001,0,1,5235007,1,6,37,NA,NA,NA,9,NA,42408,NA,11,37,7,10,13680,0,1,37,NA,0,0
1962,3,NA,0,1,5235009,1,6,37,NA,NA,NA,9,NA,42408,NA,6,37,NA,10,NA,0,1,37,NA,0,0
1954,6,5235001,0,1,5235005,1,6,37,NA,NA,NA,9,NA,42408,NA,14,37,7,10,13680,0,1,37,NA,0,0
1964,5,NA,0,1,5235011,0,6,37,NA,NA,NA,9,NA,42408,NA,4,37,NA,10,NA,0,1,37,NA,0,0
1953,5,5235001,0,1,5235004,1,6,37,NA,NA,NA,9,NA,42408,NA,15,37,7,10,13680,0,1,37,NA,0,0
1963,4,NA,0,1,5235010,1,6,37,NA,NA,NA,9,NA,42408,NA,5,37,NA,10,NA,0,1,37,NA,0,0
1955,11,5235001,0,1,5235006,0,6,37,NA,NA,NA,9,NA,42408,NA,12,37,7,10,13680,0,1,37,NA,0,0
1966,8,5299001,1,0,5299012,0,9,23,NA,NA,NA,9,0,10670.400390625,NA,1,23,7,8,0,0,3,23,NA,0,0
