"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","study","works","head","wife"
"67422",1,0,1,13,7,11,1923,3276,47,56463.4296875,4335,2,1,137005.5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"67431",1,0,1,14,NA,12,NA,3000,45,65591,3891,0,1,112007.359375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,1,0
"67472",0,0,1,12,4,10,1931,31,39,306.5,1031,6,1,108169.9765625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,1
"67500",0,0,1,13,3,10,1920,520,57,18390,389,0,1,81896.796875,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"67519",0,0,1,12,4,10,1943,0,27,0,1049,3,1,18390,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,1
"67529",0,0,1,14,10,9,1943,0,26,0,2089,2,1,58848,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"67533",1,0,1,14,10,9,1909,1880,60,44136,781,0,1,54998.359375,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,4,0,1,1,0
"67567",1,0,1,8,11,10,1932,1950,52,77238,1724,2,1,105999.9609375,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,1,1,0
"67581",0,NA,NA,12,NA,9,NA,2000,26,25746,512,1,NA,67552.6015625,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,1
"67606",0,0,1,12,5,10,1918,1260,52,22907.810546875,323,1,NA,94898.53125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,4,4,NA,NA,NA,NA,1
"67614",0,0,1,10,6,9,1940,0,29,0,4216,0,1,39501.71875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,35,NA,NA,NA,NA,1
"67619",0,NA,NA,12,NA,NA,NA,0,35,0,4321,3,NA,139151,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"67622",1,0,1,10,7,10,1924,1906,45,54434.3984375,488,3,1,113392.7421875,1.39999997615814,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,40,NA,0,1,1,0
"67643",1,1,0,12,NA,6,NA,360,28,NA,4585,1,NA,43228.76171875,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,0
"67647",0,NA,NA,8,NA,12,NA,1248,39,12260,2946,2,NA,64365,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,1
"67651",0,0,1,15,8,9,1941,3525,28,18390,1624,0,0,19003,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"67678",0,0,1,10,4,10,1919,2040,51,25746,397,0,0,33715,0.200000002980232,0,0,0,0,0,9195,0,NA,NA,NA,NA,NA,NA,0,2,21,3,0,1,1,0
"67698",1,0,1,NA,NA,8,NA,0,25,0,214,0,0,36780,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,1,0,1,0
"67699",1,0,1,7,NA,NA,NA,3000,45,64365,2271,1,1,146500.875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"67720",0,0,1,11,8,7,1916,0,54,0,4360,0,1,10053.2001953125,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,1
"67809",1,0,1,12,8,9,1927,2032,43,55789.12890625,3088,1,1,88284.2578125,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,2,0,1,1,0
"67832",1,0,1,7,12,7,1913,2142,58,22196.73046875,3837,0,1,23888.609375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,1,1,0
"67840",1,0,1,8,10,11,1926,1790,43,67430,1890,2,1,70495,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"67865",1,0,1,12,NA,10,NA,NA,32,NA,2955,3,NA,33328.80859375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,31,NA,NA,NA,0,NA
"67867",0,NA,NA,12,NA,NA,NA,NA,45,NA,4585,1,NA,43228.76171875,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,0
"67924",1,0,1,12,NA,0,NA,2700,42,73560,543,4,1,73560,0.899999976158142,0,61293.87109375,0,0,9999,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"67928",0,0,1,12,11,8,1943,0,26,0,1722,1,1,52718,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"67945",1,0,1,11,NA,10,NA,3768,55,11113.6904296875,1997,2,1,36075.05078125,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,1,0
"67975",1,0,1,13,7,12,1941,3640,28,58848,4502,0,0,58848,0.200000002980232,0,0,0,0,0,0,0,12,8,30650,0,0,0,0,3,3,NA,0,1,1,0
"68019",1,0,1,10,3,11,1942,2000,28,39845,3793,0,1,61300,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"68039",0,1,0,8,1,10,1931,0,39,0,3835,4,1,67430,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,1
"68042",0,0,1,13,4,10,1927,330,42,3708.64990234375,111,3,0,18408.390625,0.600000023841858,0,11401.7998046875,0,0,0,0,1860,NA,NA,NA,NA,NA,NA,0,4,5,2,0,0,1,0
"68072",1,1,0,12,1,10,1929,1540,41,51492,900,2,1,91257.3125,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,1,0,1,1,0
"68081",0,0,1,8,6,7,1914,1840,52,24520,3238,0,0,24520,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"68099",1,0,1,12,NA,10,NA,1840,48,98080,61,1,1,122600,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"68105",1,0,1,NA,NA,NA,NA,NA,26,NA,3070,0,NA,104210,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,0
"68129",1,0,1,12,7,11,1938,2895,31,44840.94921875,472,2,1,62391.140625,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"68156",0,0,1,11,10,11,1924,192,45,3065,564,2,1,61300,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"68162",1,0,1,12,9,10,1940,1280,28,26052.5,3864,0,0,27008.779296875,0.300000011920929,956.280029296875,956.280029296875,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,1,0,1,0
"68173",0,0,1,12,NA,7,NA,1980,57,25746,1333,0,0,25746,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"68215",1,0,1,11,NA,NA,NA,1560,54,23294,4015,1,1,23294,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,35,NA,0,1,1,0
"68223",0,0,1,15,5,13,1943,0,26,0,1384,3,1,183961.296875,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"68247",1,0,1,8,9,11,1922,4150,48,52914.16015625,468,1,1,120233.8203125,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"68255",1,0,1,16,5,10,1926,2288,43,204742,3257,1,1,387293.40625,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"68267",0,0,1,12,2,9,1920,0,50,0,1596,1,1,202290,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"68409",1,0,1,NA,NA,NA,NA,4032,26,41684,1036,1,1,60993.5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,0,1,1,0
"68438",0,0,1,12,8,9,1931,2200,38,25163.650390625,2079,0,0,70396.921875,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,1,0
