"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","study","works","head","wife"
"17806",1,0,1,12,4,8,1935,2584,34,55231.30078125,470,4,1,103547.9609375,1.29999995231628,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"17812",1,1,0,12,NA,11,NA,2568,49,61300,2371,1,1,71721,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,0,1,1,0
"17848",0,0,1,11,6,7,1938,0,31,0,1792,5,1,64365,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"17907",1,0,1,12,10,10,1920,3254,48,43351.359375,3814,1,1,70176.2421875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"17924",1,0,1,12,NA,NA,NA,2250,32,NA,1491,0,NA,55170,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,0
"17950",1,0,1,8,8,11,1910,3640,59,23416.599609375,3727,0,0,25133,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,1,1,0
"18000",1,0,1,12,NA,11,NA,2000,58,44749,645,0,1,48151.1484375,0.400000005960464,1563.15002441406,62857.01953125,0,0,9999,0,0,NA,NA,NA,NA,NA,NA,0,2,34,4,0,1,1,0
"18003",1,0,1,12,11,10,1944,2870,25,49653,3866,2,1,49653,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,0,1,1,0
"18031",1,0,1,8,NA,8,NA,1040,39,21455,3053,4,1,27707.599609375,0.699999988079071,6252.60009765625,6252.60009765625,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"18069",0,0,1,16,11,11,1917,1820,52,38006,987,0,1,120148,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"18160",1,0,1,NA,NA,9,NA,NA,30,NA,4389,3,NA,51823.01953125,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,0,0
"18190",1,0,1,8,1,10,1917,2000,53,49040,2010,0,1,79199.6015625,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"18193",0,0,1,11,10,12,1933,0,36,0,1364,4,1,63206.4296875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,1
"18300",1,0,1,12,9,9,1916,2197,54,43063.25,258,0,1,79389.6328125,0.300000011920929,0,61293.87109375,0,0,9999,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"18315",1,0,1,4,8,8,1922,2640,47,34328,2802,6,1,40764.5,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,4,0,1,1,0
"18321",1,0,1,12,6,8,1911,1920,58,51492,1314,0,1,78464,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,0,1,1,0
"18329",1,0,1,10,NA,7,NA,1530,60,35339.44921875,3649,0,0,71230.6015625,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,0,1,1,0
"18345",0,0,1,12,3,10,1924,1040,46,12750.400390625,2863,0,NA,121564.03125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,1
"18349",1,0,1,10,6,10,1943,2641,26,62096.8984375,1610,1,1,63396.4609375,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,1,1,0
"18369",1,0,1,16,10,12,1941,3884,28,128730,4531,1,1,128944.546875,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"18376",0,0,1,12,9,9,1935,720,34,14895.900390625,966,4,1,104326.46875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"18441",1,0,1,17,NA,11,NA,2100,60,79690,1858,1,1,92256.5,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,3,0,1,1,0
"18477",0,0,1,12,3,12,1927,0,43,0,1759,4,NA,69728.75,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"18479",1,0,1,12,6,11,1927,3036,42,26469.33984375,3467,1,1,39250.390625,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"18501",0,0,1,12,3,11,1926,1600,25,49653,3697,0,0,50112.75,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"18518",0,0,1,12,1,9,1930,0,40,0,3114,2,1,101145,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"18585",1,0,1,8,5,11,1916,3360,54,12260,2185,1,1,36167,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,1,0,1,1,0
"18624",0,0,1,12,9,10,1925,0,45,0,4309,3,1,190643,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,1
"18654",1,0,1,15,8,11,1944,1991,25,36596.1015625,1649,3,1,37515.6015625,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"18658",0,NA,NA,7,NA,NA,NA,2040,42,22681,4421,2,NA,99888.3515625,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,1
"18664",0,0,1,12,9,11,1926,1800,43,18390,3643,1,1,144195.984375,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,1
"18690",0,0,1,9,NA,10,NA,400,53,1103.40002441406,188,0,NA,8814.9404296875,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,1
"18723",0,0,1,12,9,11,1921,2040,48,40966.7890625,3263,2,1,88069.7109375,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,NA,1
"18760",1,0,1,11,6,9,1925,2500,43,NA,2293,3,NA,114569.703125,1.10000002384186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,0,1,31,NA,NA,NA,NA,0
"18761",0,NA,NA,12,NA,13,NA,0,40,0,2588,2,NA,124132.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"18773",1,0,1,12,10,8,1944,2478,25,46005.6484375,2950,1,1,52166.30078125,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"18826",0,0,1,12,8,11,1923,2000,46,50400.859375,4211,0,1,101200.171875,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"18851",1,0,1,NA,NA,NA,NA,NA,29,NA,4529,0,NA,75797.453125,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,0
"18865",1,0,1,16,1,10,1943,1656,27,10114.5,2333,0,0,10114.5,1,0,0,0,0,0,0,0,NA,NA,73560,0,0,0,0,1,18,NA,0,1,1,0
"18901",0,1,0,16,3,10,1945,1968,25,21859.580078125,3409,0,0,24618.080078125,0.300000011920929,2758.5,2758.5,0,0,0,0,0,6,3,26518.380859375,4413.60009765625,0,0,0,3,39,NA,0,1,1,0
"18937",1,0,1,16,7,13,1912,2115,57,267268,1368,0,1,291788,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,46,NA,0,1,1,0
"18949",0,0,1,14,11,11,1936,0,33,0,2666,2,1,104210,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"18990",1,0,1,16,4,12,1945,2277,26,49040,76,2,1,49040,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"19026",0,0,1,9,5,7,1931,1872,39,22068,1428,6,1,56089.5,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"19029",1,0,1,8,10,9,1920,2000,49,51737.19921875,28,0,1,96866.2578125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"19044",0,NA,NA,4,NA,8,NA,0,56,0,4001,0,NA,9195,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,1
"19051",0,0,1,12,8,10,1911,0,58,0,553,1,1,74479.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,1
"19052",1,0,1,9,NA,11,NA,2144,43,50879,1892,7,1,79077,1.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"19058",1,0,0,16,NA,10,NA,2752,35,85820,1293,7,1,85820,1.10000002384186,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"19069",1,0,1,NA,NA,NA,NA,2783,32,44136,2598,3,1,74602.1015625,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"19073",1,0,1,17,8,12,1941,3060,28,92477.1796875,1038,4,1,92783.6796875,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,1,1,0
"19104",0,0,1,12,5,8,1940,2040,29,30650,470,4,1,103547.9609375,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"19120",0,0,1,13,5,11,1921,240,48,2942.39990234375,988,0,1,110217.3984375,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"19158",1,0,1,17,9,10,1932,1688,37,110340,3528,0,1,114018,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"19184",1,0,1,12,9,9,1933,1820,37,30043.130859375,600,9,1,64309.828125,2.79999995231628,2758.5,50854.48046875,0,6130,4446,0,2400,NA,NA,NA,NA,NA,NA,0,1,29,NA,0,1,1,0
"19190",0,0,1,12,9,11,1928,0,41,0,2020,2,1,83368,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"19207",0,0,1,13,2,10,1929,0,41,0,2422,3,1,88866.609375,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"19215",1,0,0,12,4,9,1935,2009,34,51277.44921875,1171,0,1,93225.0390625,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"19250",1,0,1,4,4,4,1909,2340,60,141321.015625,123,0,1,268297.84375,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,2,0,1,1,0
"19254",0,0,1,16,NA,12,NA,0,46,0,2665,0,NA,364735,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"19287",0,0,1,12,2,10,1928,2295,42,30650,3057,2,1,130569,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,NA,1
"19289",1,0,1,17,10,12,1919,2400,50,162445,4120,0,1,164284,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,4,0,1,1,0
"19298",1,0,1,12,8,12,1932,2040,38,27707.599609375,2261,1,1,87352.5,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"19304",1,0,1,12,NA,11,NA,2540,27,41071,3316,2,1,60196.6015625,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,1,0
"19339",0,0,1,14,3,12,1911,0,59,0,575,0,1,63261.6015625,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,1
"19360",1,0,1,16,2,12,1925,2304,45,85820,3297,2,1,94279.3984375,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,1,0
"19365",0,0,1,12,NA,8,NA,2000,26,31876,1275,0,NA,120761,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"19378",1,0,1,16,4,8,1945,1952,25,55170,3847,0,1,79837.1171875,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"19383",1,0,1,12,NA,8,NA,1600,26,NA,470,4,NA,103547.9609375,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,0
"19403",0,0,1,12,8,7,1912,1248,57,11034,2368,0,NA,19787.640625,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"19407",1,0,1,12,3,9,1925,3000,45,85820,1326,2,1,96547.5,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,0,1,1,0
"19413",1,0,1,17,10,13,1928,2695,42,171640,3360,3,1,175318,0.600000023841858,0,61293.87109375,0,0,9999,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,0,1,1,0
"19414",0,1,0,12,12,5,1943,NA,25,NA,4348,3,NA,54557,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,51492,3065,0,0,0,3,8,NA,NA,NA,NA,0
"19459",0,0,1,12,12,10,1929,0,40,0,4113,1,NA,50266,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,1
"19462",0,0,1,10,3,11,1928,2080,42,31876,3475,1,1,127810.5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"19470",0,0,1,8,9,11,1915,1840,54,23600.5,1186,0,0,23600.5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,1,0,1,1,0
"19538",1,0,1,12,NA,11,NA,2020,29,53331,116,3,1,53331,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"19556",0,0,1,7,8,8,1929,0,41,0,3044,3,1,125885.6796875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"19558",1,1,0,12,3,7,1938,1960,32,30650,529,2,1,40764.5,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,0,1,1,0
"19562",1,0,1,12,8,10,1928,2352,41,85820,2422,3,1,88866.609375,0.800000011920929,0,2280.36010742188,2280.36010742188,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"19565",0,0,1,12,10,10,1945,2000,25,27585,883,0,1,66204,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,1
"19579",1,1,0,NA,NA,10,NA,1920,52,42910,4530,0,1,46894.5,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"19619",1,0,1,8,10,8,1913,1920,57,73560,2509,0,1,79690,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,1,0
"19623",1,0,1,17,4,12,1932,2295,37,87046,1713,0,1,155996.234375,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,NA,0,1,1,0
"19670",0,1,0,9,6,7,1912,0,50,0,1348,4,1,22595.1796875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,1
"19680",0,0,1,12,12,6,1944,880,25,11647,1088,1,1,65774.8984375,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,1
"19743",1,0,1,17,10,9,1932,3040,37,71279.640625,3810,3,1,97926.75,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,0,1,1,0
"19749",0,NA,NA,15,NA,NA,NA,NA,27,NA,521,0,NA,97467,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,0
"19757",1,1,0,16,10,8,1910,1782,58,44577.359375,748,3,1,66400.15625,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,0,1,1,0
"19769",1,0,1,16,8,8,1932,1979,37,119535,2443,3,1,129343,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"19775",0,NA,NA,11,3,9,1914,2600,55,29424,763,2,NA,79224.1171875,1.29999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"19785",0,0,1,16,12,12,1944,471,25,9195,2736,2,NA,59461,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"19819",1,0,1,6,8,8,1909,3060,60,18390,2038,3,1,19064.30078125,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,2,0,1,1,0
"19837",1,0,1,13,NA,11,NA,2400,57,91950,1716,0,1,91950,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,22,2,0,1,1,0
"19872",1,0,1,8,NA,11,NA,2075,50,83355.7421875,3320,0,1,93396.6796875,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,0,1,1,0
"19898",1,0,1,12,12,9,1925,2184,43,44234.078125,1405,1,1,69207.703125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"19919",0,NA,NA,12,NA,12,NA,0,35,0,745,2,NA,61882.3515625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,1
"19920",0,0,1,8,2,8,1917,0,53,0,3416,1,1,8582,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,1
"19928",0,0,1,12,5,12,1922,2000,47,39477.19921875,1170,0,NA,85390.8984375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,1
"19943",1,0,1,14,12,11,1941,2000,28,NA,105,3,1,51001.6015625,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,34,NA,NA,NA,0,NA
"19946",1,0,1,17,5,12,1931,2860,37,245200,2339,3,1,252556,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,0,1,1,0
"19950",0,0,1,12,11,12,1935,2040,33,37368.48046875,2243,1,NA,82332.03125,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,1
"19958",0,0,1,12,1,11,1928,14,42,214.550003051758,2957,2,1,125536.2734375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,36,NA,NA,NA,NA,1
"19973",0,0,1,12,4,9,1924,2080,45,33715,1935,1,NA,112589.7109375,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,1
"19992",0,0,1,12,8,10,1940,1200,29,14712,4555,1,0,14712,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,0,1,1,0
"20001",0,0,1,12,4,12,1944,1400,26,15018.5,3819,1,1,71782.296875,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"20063",1,0,1,12,12,9,1942,2450,27,68656,3815,0,1,104038.359375,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,0,1,1,0
"20121",0,0,1,16,3,10,1942,0,28,0,1339,4,1,70200.7578125,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,1
"20148",0,0,1,14,7,10,1910,1665,59,51492,3197,0,0,53637.5,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,2,0,1,1,0
"20194",0,0,1,12,4,9,1921,2080,49,NA,3046,2,NA,87849.03125,1.39999997615814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,0
"20203",0,0,1,14,12,11,1933,0,35,0,1924,2,1,70495,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"20230",1,1,0,12,6,8,1940,2601,29,73560,642,2,1,73633.5625,0.699999988079071,0,61293.87109375,0,0,9999,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,1,0
"20264",1,0,1,15,9,12,1926,2196,43,165510,3311,0,1,224971,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,0,1,1,0
"20271",0,1,0,11,12,7,1939,240,30,2642.03002929688,482,5,NA,50462.16015625,1.70000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,1
"20290",0,0,1,13,2,8,1939,2600,31,6007.39990234375,1538,2,1,76496.2734375,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,1
"20313",1,0,1,12,10,10,1937,2695,32,38907.109375,1245,2,1,104148.703125,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,0,1,1,0
"20338",0,0,1,17,10,9,1928,0,41,0,1405,1,1,69207.703125,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"20422",0,NA,NA,12,NA,10,NA,2500,30,72027.5,2187,3,NA,170965.703125,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,1
"20456",1,0,1,12,12,11,1942,2060,27,45975,2833,2,1,67430,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,2,0,1,1,0
"20497",0,0,1,12,1,9,1931,0,39,0,2544,3,1,144055,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,1
"20499",1,0,1,17,8,12,1938,2000,31,61300,4285,2,1,85820,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,0,1,1,0
"20504",1,0,1,14,NA,10,NA,3640,35,48427,2759,2,1,51240.671875,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,1,0
"20534",0,0,1,14,5,11,1931,0,38,0,1890,2,1,70495,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"20566",0,0,1,12,8,12,1926,0,43,0,769,4,1,68962.5,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,1
"20567",1,0,1,10,1,13,1942,2520,28,31477.55078125,4124,0,1,31477.55078125,0.400000005960464,0,0,0,0,0,0,0,NA,8,7067.89013671875,15067.5400390625,0,0,0,2,26,NA,0,1,1,0
"20620",1,0,1,8,NA,9,NA,2417,34,31876,1482,2,1,57009,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,0,1,1,0
"20644",0,0,1,10,NA,10,NA,3060,48,30607.08984375,566,4,NA,94156.796875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,1
"20708",0,0,1,13,1,11,1939,224,31,3678,998,1,1,62985.75,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,1
"20761",0,0,1,8,7,10,1939,1040,30,11640.8701171875,1506,4,1,82258.46875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,18,NA,NA,NA,NA,1
"20763",1,0,1,9,10,10,1944,1784,25,49469.1015625,646,3,1,51087.421875,1.20000004768372,1618.31994628906,1618.31994628906,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"20779",1,0,1,10,3,12,1913,1400,57,61300,221,0,1,64328.21875,0.300000011920929,1802.21997070312,1802.21997070312,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,0,1,1,0
"20781",0,0,1,8,8,9,1912,0,57,0,557,0,1,102518.1171875,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,1
"20788",1,0,1,12,4,9,1935,2260,30,61300,2413,2,1,74173,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,0,1,1,0
"20801",1,0,1,11,11,10,1941,2095,28,49040,1426,1,1,63139,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,NA,0,1,1,0
"20829",0,0,1,12,6,11,1930,0,39,0,818,5,1,120822.296875,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,1
"20833",0,NA,NA,13,NA,NA,NA,0,27,0,3882,1,NA,113405,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,NA,NA,NA,NA,1
