"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"18479",1,0,1,12,6,11,1927,NA,2040,47,48396.6015625,5122,0,1,86940,29,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,11,0,1,1,0
"18501",0,0,1,12,3,11,1926,NA,2352,48,48300,2373,0,0,48300,35,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,86,0,1,1,0
"18518",0,0,1,12,1,9,1930,NA,0,44,0,572,1,1,72643.203125,3,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"18572",1,0,1,13,12,12,1946,NA,2500,27,44436,1140,0,0,68827.5,7,0.5,0,0,0,0,0,0,0,8,12,58443,30564.240234375,0,0,0,2,21,NA,31,0,1,1,0
"18585",1,0,1,8,5,11,1916,NA,3588,58,30429,4168,0,1,49217.69921875,40,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,61,0,1,1,0
"18588",1,0,1,12,6,11,1946,NA,2550,27,77280,758,0,1,131859,9,0.300000011920929,0,0,0,0,0,0,0,12,NA,NA,58418.8515625,0,NA,0,2,21,NA,NA,0,0,1,0
"18624",0,0,1,12,9,10,1925,NA,0,49,0,914,2,1,219765,2,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"18654",1,0,1,15,8,11,1944,NA,2218,29,45971.94140625,1352,4,1,46319.69921875,11,1.20000004768372,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,61,0,1,1,0
"18664",0,0,1,12,9,11,1926,NA,875,48,1932,5192,1,1,63273,10,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,46,NA,NA,NA,NA,NA,1
"18680",1,0,1,12,8,8,1945,NA,2519,28,58443,1827,1,1,72430.6796875,10,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,0,NA,0,1,31,NA,44,0,1,1,0
"18690",0,0,1,9,NA,10,NA,NA,0,57,0,4348,0,NA,11447.099609375,4,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,NA,NA,NA,1
"18723",0,0,1,12,9,11,1921,NA,2040,52,44083.41015625,1682,1,0,69740.3671875,31,0.300000011920929,0,11128.3203125,11128.3203125,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,NA,92,0,1,1,0
"18760",1,0,1,11,6,9,1925,NA,3120,49,67620,85,0,1,78729,31,0.5,0,0,0,0,0,0,0,NA,NA,NA,0,0,NA,0,1,31,NA,55,0,1,1,0
"18761",0,NA,NA,12,NA,13,NA,NA,0,44,0,2947,2,NA,143209.5,14,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"18773",1,0,1,12,10,8,1944,NA,2075,29,49266,4396,1,1,56568.9609375,11,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,31,0,1,1,0
"18792",0,NA,NA,8,NA,6,NA,NA,0,44,0,4064,0,NA,15586.41015625,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,NA,NA,1
"18826",0,0,1,12,8,11,1923,NA,2000,50,46368,3871,0,1,97508.0390625,20,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"18829",1,0,1,12,NA,9,NA,NA,2040,26,48300,4678,0,1,84525,5,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,11,0,1,1,0
"18865",1,0,1,16,1,10,1943,NA,2513,31,27453.720703125,1185,0,1,38833.19921875,12,0.699999988079071,0,0,0,0,0,0,0,NA,NA,69552,0,0,0,0,1,18,NA,82,0,1,1,0
"18892",1,0,1,13,8,12,1947,NA,2000,26,40089,3855,1,1,52424.8203125,8,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,92,0,1,1,0
"18901",0,1,0,16,3,10,1945,NA,2448,29,28980,3250,0,0,28980,9,0.200000002980232,0,0,0,0,0,0,0,6,3,19320,2898,0,0,0,3,39,NA,42,0,1,1,0
"18907",0,0,1,13,12,11,1945,NA,0,28,0,4663,1,1,22246.98046875,5,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"18949",0,0,1,14,11,11,1936,NA,0,37,0,2869,2,1,111331.5,6,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"18963",1,0,1,11,3,8,1946,NA,648,28,NA,1377,3,NA,81366.1796875,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,11,40924.58984375,0,0,0,0,1,37,NA,NA,NA,NA,NA,0
"18965",0,0,1,16,1,12,1948,NA,1800,26,36225,5119,1,1,74865,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"18990",1,0,1,16,4,12,1945,NA,3250,29,77280,1896,3,1,77280,9,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,62,0,1,1,0
"19026",0,0,1,9,5,7,1931,NA,0,42,0,3866,6,1,56221.19921875,4,1.79999995231628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"19029",1,0,1,8,10,9,1920,NA,2266,53,53130,2260,0,1,56085.9609375,35,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,1,33,0,1,1,0
"19052",1,0,1,9,NA,11,NA,NA,2368,47,NA,1085,5,NA,60331.53125,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,0,0
"19058",1,0,0,16,NA,10,NA,NA,2334,40,91770,5344,7,1,99015,15,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,87,0,1,1,0
"19073",1,0,1,17,8,12,1941,NA,2540,32,113988,3068,4,1,115920,14,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,55,0,1,1,0
"19104",0,0,1,12,5,8,1940,NA,2000,34,42093.44921875,124,4,1,157071.59375,5,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"19120",0,0,1,13,5,11,1921,NA,0,52,0,357,0,1,90127.796875,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"19147",1,0,1,15,NA,13,NA,NA,2770,25,31515.75,1520,1,1,57863.3984375,7,0.600000023841858,1352.40002441406,1352.40002441406,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,5,NA,69,0,1,1,0
"19158",1,0,1,17,9,10,1932,NA,3643,41,159390,207,0,1,247537.5,23,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,88,0,1,1,0
"19184",1,0,1,12,9,9,1933,NA,1972,42,37674,2215,10,1,53130,25,2.59999990463257,0,12558,0,0,2600,0,0,NA,NA,NA,NA,NA,NA,0,1,29,NA,31,0,1,1,0
"19190",0,0,1,12,9,11,1928,NA,1400,45,23667,1634,0,1,135355.921875,2,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"19207",0,0,1,13,2,10,1929,NA,800,44,14490,754,2,1,106260,12,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,1
"19215",1,0,0,12,4,9,1935,NA,1952,39,53130,4419,1,1,92615.25,21,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,61,0,1,1,0
"19254",0,0,1,16,NA,12,NA,NA,4576,53,0,4902,0,0,85573.109375,12,0.200000002980232,0,1231.65002441406,1231.65002441406,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,0,0,1,0
"19256",0,NA,NA,12,NA,8,NA,NA,450,28,4830,3338,2,NA,57380.3984375,7,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"19287",0,0,1,12,2,10,1928,NA,2091,46,29946,1686,1,1,150937.5,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,NA,NA,1
"19289",1,0,1,17,10,12,1919,NA,2350,54,222180,4379,0,1,224353.5,30,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,6,NA,31,0,1,1,0
"19290",0,0,1,12,12,10,1937,NA,480,36,NA,860,4,NA,97570.828125,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,0
"19298",1,0,1,12,8,12,1932,NA,1984,42,53130,580,1,1,99498,24,0.600000023841858,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,62,0,1,1,0
"19304",1,0,1,12,NA,11,NA,NA,2000,31,53130,3908,3,1,58926,12,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,40,0,1,1,0
"19359",1,0,1,16,2,10,1949,NA,2667,25,48300,510,0,1,72933,4,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,87,0,1,1,0
"19360",1,0,1,16,2,12,1925,NA,2112,49,77280,2335,1,0,86553.6015625,26,0.300000011920929,0,9273.599609375,9273.599609375,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,31,0,1,1,0
"19365",0,0,1,12,NA,8,NA,NA,1385,30,9660,1569,0,0,13900.740234375,10,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,61,0,1,1,0
"19375",1,0,1,9,7,8,1948,NA,1840,26,52647,1846,2,1,54096,8,0.800000011920929,1449,1449,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,83,0,1,1,0
"19378",1,0,1,16,4,8,1945,NA,2600,29,54579,5127,1,1,54709.41015625,11,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,30,0,1,1,0
"19383",1,0,1,12,NA,8,NA,NA,2000,31,NA,124,4,NA,157071.59375,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,NA,NA,NA,NA,NA,0
"19407",1,0,1,12,3,9,1925,NA,2232,49,71967,2374,1,1,81771.8984375,31,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,37,NA,55,0,1,1,0
"19413",1,0,1,17,10,13,1928,NA,2083,46,82308.03125,2699,1,1,156733.5,21,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,NA,61,0,1,1,0
"19414",0,1,0,12,12,5,1943,NA,NA,28,NA,817,2,1,23256.44921875,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,3,8,NA,NA,NA,NA,NA,0
"19430",0,NA,NA,13,NA,6,NA,NA,1960,50,28980,1514,0,NA,77280,32,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,3,NA,NA,NA,NA,NA,1
"19448",0,0,1,NA,NA,11,NA,NA,2000,26,NA,699,1,NA,56511,NA,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19320,0,NA,0,3,16,NA,NA,NA,NA,NA,0
"19459",0,0,1,12,12,10,1929,NA,0,44,0,1067,0,NA,78922.203125,NA,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,32,NA,NA,NA,NA,NA,1
"19462",0,0,1,10,3,11,1928,NA,0,46,0,2060,0,1,109158,5,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,20,NA,NA,NA,NA,NA,1
"19470",0,0,1,8,9,11,1915,NA,1976,58,27719.369140625,2610,0,0,27719.369140625,20,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,86,0,1,1,0
"19475",1,0,1,16,12,11,1947,NA,2990,26,38640,1034,2,1,39316.19921875,6,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,71,0,1,1,0
"19531",1,0,1,16,12,10,1946,NA,1920,27,62790,3285,2,1,64123.078125,9,0.800000011920929,0,1197.83996582031,0,0,248,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,57,0,1,1,0
"19532",0,0,1,12,1,8,1947,NA,1960,27,23184,5289,0,NA,57960,9,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,0,3,39,NA,NA,NA,NA,NA,1
"19538",1,0,1,12,NA,11,NA,NA,2496,32,42252.83984375,260,3,1,72821.90625,15,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,51,0,1,1,0
"19556",0,0,1,7,8,8,1929,NA,0,44,0,1631,1,1,91514.0078125,2,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,29,NA,NA,NA,NA,NA,1
"19558",1,1,0,12,3,7,1938,NA,3641,36,42291.48046875,4894,1,1,59679.48046875,17,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,23,NA,NA,0,1,1,0
"19562",1,0,1,12,8,10,1928,NA,1630,44,60858,754,2,1,106260,27,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,31,0,1,1,0
"19565",0,0,1,12,10,10,1945,NA,2058,29,28980,3417,0,1,91287,10,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"19579",1,1,0,NA,NA,10,NA,NA,2100,56,48300,200,0,1,48300,20,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,30,0,1,1,0
"19623",1,0,1,17,4,12,1932,NA,1800,42,38640,2592,0,1,77280,17,NA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,42,NA,92,0,1,1,0
"19636",1,0,1,NA,NA,10,NA,NA,NA,27,NA,2095,2,NA,67137,NA,1.70000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,0
"19670",0,1,0,9,6,7,1912,NA,1508,53,5192.25,3162,1,1,17919.30078125,10,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"19680",0,0,1,12,12,6,1944,NA,0,29,0,5030,1,1,44436,3,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,1
"19704",1,0,1,17,11,11,1943,NA,2411,30,82110,2993,0,1,86940,12,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,21,0,1,1,0
"19714",0,0,1,17,6,12,1946,NA,1600,28,42504,1286,0,1,94185,10,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,6,NA,NA,NA,NA,NA,1
"19743",1,0,1,17,10,9,1932,NA,2490,41,72450,740,3,1,95151,20,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,24,NA,87,0,1,1,0
"19769",1,0,1,16,8,8,1932,NA,3069,42,48300,2519,3,1,104328,18,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,51,0,1,1,0
"19775",0,NA,NA,11,3,9,1914,NA,2500,60,21735,5423,0,NA,82187.28125,39,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,4,4,NA,NA,NA,NA,NA,1
"19785",0,0,1,16,12,12,1944,NA,1920,30,48300,2736,2,NA,125097,9,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"19846",0,0,1,17,7,9,1945,NA,2000,28,48300,1602,0,1,124131,9,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,NA,NA,NA,NA,NA,1
"19872",1,0,1,8,NA,11,NA,NA,2400,54,112249.203125,2077,0,1,128961,36,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,33,0,1,1,0
"19898",1,0,1,12,12,9,1925,NA,2500,48,38557.890625,4802,0,1,38557.890625,30,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,1,30,0,1,1,0
"19919",0,NA,NA,12,NA,12,NA,NA,0,39,0,2622,2,NA,79115.3984375,6,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,NA,NA,NA,1
"19920",0,0,1,8,2,8,1917,NA,0,57,0,3706,1,1,10872.330078125,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"19928",0,0,1,12,5,12,1922,NA,1875,51,33810,4836,0,0,49145.25,29,0.300000011920929,3743.25,3743.25,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,4,NA,62,0,1,1,0
"19943",1,0,1,14,12,11,1941,NA,3672,32,24633,3131,5,1,26589.150390625,14,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,61,0,1,1,0
"19946",1,0,1,17,5,12,1931,NA,3060,41,120750,1635,3,1,120750,21,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,88,0,1,1,0
"19949",1,1,0,10,NA,10,NA,NA,1440,25,55854.12109375,2046,1,0,57931.01953125,5,1,0,2076.89990234375,2076.89990234375,0,0,0,0,NA,NA,NA,42248.01171875,0,NA,0,2,34,NA,31,0,1,1,0
"19950",0,0,1,12,11,12,1935,NA,2175,37,33810,5185,1,NA,74382,19,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,1
"19958",0,0,1,12,1,11,1928,NA,1880,46,13524,1078,2,0,48300,20,0.5,0,0,0,0,0,30187.5,0,NA,NA,NA,NA,NA,NA,0,4,36,NA,30,0,1,1,0
"19973",0,0,1,12,4,9,1924,NA,1960,50,39123,791,0,NA,73667.15625,20,0.699999988079071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,1
"19992",0,0,1,12,8,10,1940,NA,1500,33,15456,1294,1,0,19803,16,0.300000011920929,0,0,0,0,0,3622.5,0,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,0,0,1,0
"20001",0,0,1,12,4,12,1944,NA,1360,30,19561.5,1177,2,0,38398.5,6,0.699999988079071,0,0,0,0,0,19320,0,NA,NA,NA,NA,NA,NA,0,1,20,NA,88,0,1,1,0
"20063",1,0,1,12,12,9,1942,NA,2354,31,74865,1602,0,1,124131,15,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,21,NA,30,0,1,1,0
"20121",0,0,1,16,3,10,1942,NA,2040,32,25599,659,4,1,119301,1,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"20194",0,0,1,12,4,9,1921,NA,960,52,NA,1336,2,NA,76314,NA,1.20000004768372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,37,NA,NA,NA,NA,NA,0
"20203",0,0,1,14,12,11,1933,NA,225,40,4830,2371,2,1,91770,22,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"20230",1,1,0,12,6,8,1940,NA,2856,34,56047.3203125,1992,0,0,56047.3203125,16,0.100000001490116,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,42,NA,31,0,1,1,0
"20264",1,0,1,15,9,12,1926,NA,2112,47,178710,3612,0,1,224595,26,0.400000005960464,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,62,0,1,1,0
"20271",0,1,0,11,12,7,1939,NA,0,33,0,684,5,0,30429,4,1,0,28980,28980,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,82,0,1,1,0
"20290",0,0,1,13,2,8,1939,NA,0,35,0,656,2,1,81515.90625,9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"20293",1,0,1,12,3,12,1947,NA,2202,27,40412.609375,1268,2,1,40412.609375,9,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,85,0,1,1,0
"20313",1,0,1,12,10,10,1937,NA,2875,36,69730.7109375,3980,2,1,169050,18,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,NA,81,0,1,1,0
"20338",0,0,1,17,10,9,1928,NA,0,46,0,4802,0,1,38557.890625,7,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"20367",0,0,1,16,11,12,1948,NA,1620,25,32361,831,0,1,32361,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,NA,NA,NA,NA,NA,1
"20385",0,0,1,14,9,11,1945,NA,0,28,0,2961,1,1,72450,2,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"20408",0,0,1,NA,NA,10,NA,NA,NA,52,NA,1751,1,NA,43470,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,16,NA,NA,NA,NA,NA,0
"20422",0,NA,NA,12,NA,10,NA,NA,2250,34,46368,5182,3,NA,110124,16,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,42,NA,NA,NA,NA,NA,1
"20456",1,0,1,12,12,11,1942,NA,1974,31,51681,842,2,1,52067.3984375,14,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,14,3,40,0,1,1,0
"20497",0,0,1,12,1,9,1931,NA,0,43,0,81,1,1,214935,4,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"20499",1,0,1,17,8,12,1938,NA,1936,35,43470,1278,2,1,51893.51953125,18,0.600000023841858,2434.32006835938,2434.32006835938,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,13,NA,NA,0,0,1,0
"20504",1,0,1,14,NA,10,NA,NA,3930,39,62790,3297,2,1,61824,21,0.699999988079071,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,2,2,91,0,1,1,0
"20506",0,0,1,12,8,13,1948,NA,1400,25,53130,2226,0,0,104183.1015625,7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,72450,33810,0,0,0,2,12,NA,NA,NA,NA,NA,1
"20534",0,0,1,14,5,11,1931,NA,0,42,0,645,0,1,95194.46875,4,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,34,NA,NA,NA,NA,NA,1
"20566",0,0,1,12,8,12,1926,NA,0,48,0,1385,1,1,128217.1796875,3,0.899999976158142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,NA,1
"20567",1,0,1,10,1,13,1942,NA,1760,32,25116,3267,1,1,38640,14,0.699999988079071,0,0,0,0,0,0,0,NA,8,11799.6904296875,724.5,0,0,0,2,26,NA,51,0,1,1,0
"20605",0,0,0,13,8,9,1946,NA,0,26,0,1813,2,1,101430,1,0.800000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,9,NA,NA,NA,NA,NA,1
"20620",1,0,1,8,NA,9,NA,NA,2808,38,24633,5081,2,1,25840.5,20,1.29999995231628,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,41,NA,61,0,1,1,0
"20695",1,0,1,12,1,12,1946,NA,3426,28,53250.75,1987,2,1,58080.75,10,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,2,92,0,1,1,0
"20697",1,0,1,16,NA,9,NA,NA,1760,26,28675.7109375,1826,0,1,64176.2109375,8,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,1,31,NA,61,0,1,1,0
"20700",1,0,1,15,10,11,1946,NA,2090,27,53130,2029,0,1,89548.203125,6,0.300000011920929,0,0,0,0,0,0,0,NA,NA,NA,78366.75,0,NA,0,3,45,NA,51,0,1,1,0
"20708",0,0,1,13,1,11,1939,NA,2016,35,46851,3595,1,0,70807.796875,10,0.200000002980232,0,0,0,0,0,12075,0,NA,NA,NA,NA,NA,NA,0,3,19,NA,82,0,1,1,0
"20709",0,0,1,16,1,9,1947,NA,80,27,1207.5,2334,1,1,47575.5,9,0.600000023841858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
"20741",1,0,1,12,NA,8,NA,NA,0,25,0,244,0,0,43938.51171875,5,0.300000011920929,6003.68994140625,24946.94921875,18943.259765625,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,10,2,NA,0,0,1,0
"20761",0,0,1,8,7,10,1939,NA,875,34,14490,2055,4,1,91707.2109375,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,18,NA,NA,NA,NA,NA,1
"20763",1,0,1,9,10,10,1944,NA,1840,29,54487.23046875,3018,4,1,56902.23046875,11,1,2415,2415,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,51,0,1,1,0
"20788",1,0,1,12,4,9,1935,NA,4000,39,57960,1733,3,1,65543.1015625,21,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,9,NA,91,0,1,1,0
