"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","birthstate","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","hhdens","inc_unemp","inc_trans_pub","inc_ssi","inc_othwelf","inc_fdstmp","inc_al","inc_afdc","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","med15","occ","study","works","head","wife"
"49980",1,0,1,10,3,12,1932,NA,2080,42,41055,474,0,0,41055,24,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,32,NA,51,0,1,1,0
"50031",0,0,1,14,1,10,1916,NA,1736,58,27313.650390625,4667,0,0,40489.890625,16,0.200000002980232,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,3,16,NA,87,0,1,1,0
"50068",1,0,1,8,NA,8,NA,NA,2000,53,38640,2327,4,1,66813.390625,35,0.899999976158142,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,43,NA,61,0,1,1,0
"50081",1,0,1,12,9,12,1942,NA,2776,31,83984.0390625,878,2,1,154560,13,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,4,36,1,51,0,1,1,0
"50093",0,NA,NA,12,NA,10,NA,NA,0,54,0,4206,0,NA,27033.509765625,6,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,31,NA,NA,NA,NA,NA,1
"50105",0,0,1,4,9,10,1913,NA,0,60,0,717,0,1,24150,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,45,NA,NA,NA,NA,NA,1
"50110",1,0,1,16,6,11,1939,NA,2253,34,82110,4633,2,1,83076,14,0.5,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,12,NA,71,0,1,1,0
"50118",1,0,1,12,7,11,1944,NA,2448,29,63756,1081,2,1,63756,11,0.800000011920929,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,0,2,34,NA,32,0,1,1,0
"50129",1,0,1,NA,NA,10,NA,NA,1726,25,NA,3545,0,NA,68643.9609375,NA,0.200000002980232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,48,NA,NA,NA,NA,0,0
"50145",0,0,1,4,4,8,1920,NA,1920,53,22218,4272,0,1,45402,33,0.300000011920929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,41,NA,NA,NA,NA,NA,1
"50174",0,0,1,9,9,10,1915,NA,0,59,0,1239,0,1,19320,NA,0.400000005960464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,14,NA,NA,NA,NA,NA,1
