"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"37886",0,0,1,17,4,10,1969,1668,27,17760,2019,0,1,46324,9,1,67,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"37888",1,0,1,12,1,10,1943,1920,54,0,4992,0,1,36230.3984375,24,2,71,NA,NA,NA,NA,NA,NA,0,4,27,0,1,1,0
"37910",1,0,1,14,9,10,1947,3486,49,109520,2753,2,1,178488,19,2,64,12,NA,NA,0,0,NA,0,1,31,0,1,1,0
"37912",0,0,1,12,12,10,1945,1048,51,25160,107,0,1,101824,5,4,66,NA,NA,NA,NA,NA,NA,0,3,39,0,1,NA,1
"37928",0,0,1,14,2,12,1962,0,35,0,5472,0,NA,30638.9609375,5,2,64,NA,NA,NA,NA,NA,NA,0,3,45,0,0,NA,1
"37929",0,0,0,14,11,7,1970,NA,26,NA,1478,5,1,29490.48046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,1,NA,0
"37953",0,0,1,17,10,11,1949,2328,47,50320,1357,0,0,75480,15,3,65,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"37960",1,0,0,12,1,10,1950,3600,45,0,5080,1,1,64172.80078125,16,3,71,NA,NA,NA,NA,NA,NA,0,3,10,0,1,1,0
"37961",0,0,1,16,8,10,1959,984,37,113960,4768,1,1,1063602,8,1,61,NA,NA,NA,NA,NA,NA,0,3,19,0,1,NA,1
"37977",1,0,1,14,12,10,1947,1856,49,56240,2971,0,1,125054.078125,19,1,71,NA,NA,NA,NA,1,NA,0,2,22,0,1,1,0
"37985",0,0,1,17,12,8,1955,2000,41,89273.6015625,5199,3,NA,165937.59375,20,1,66,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"37994",1,0,1,15,12,12,1950,2080,46,19240,6138,0,0,19536,10,5,68,12,13,0,0,0,0,0,2,13,0,1,1,0
"38005",0,0,1,12,3,11,1957,2550,39,17316,1430,1,1,124024,4,2,67,NA,NA,NA,NA,NA,NA,0,3,41,0,1,NA,1
"38078",0,0,1,13,4,10,1962,NA,34,NA,3898,0,NA,71632,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,0
"38085",0,0,1,17,3,11,1953,1040,43,51800,3665,2,1,163155.203125,10,2,64,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"38112",1,0,1,12,9,8,1958,2548,38,123136,997,2,1,162652,8,3,73,NA,NA,NA,NA,NA,NA,0,2,22,0,1,1,0
"38130",0,0,1,NA,6,8,1954,0,42,0,420,1,NA,28350.880859375,NA,5,66,NA,NA,NA,NA,NA,NA,0,2,13,0,0,NA,1
"38135",1,0,1,14,8,9,1969,886,27,38480,2604,0,1,67412.5234375,8,2,68,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"38140",1,0,1,12,10,11,1951,2704,45,50912,1208,0,1,101232,15,2,69,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"38172",1,0,1,16,9,10,1943,1896,53,148000,4881,0,1,187664,23,3,69,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"38179",1,0,1,12,10,9,1971,2383,25,31080,2745,1,1,38480,5,1,73,10,NA,NA,0,0,NA,0,1,37,0,1,1,0
"38191",1,1,0,10,1,8,1961,2080,36,44400,6003,1,1,176860,17,1,72,NA,NA,NA,NA,NA,NA,0,3,23,0,1,1,0
"38198",1,0,1,16,2,9,1962,2430,35,0,5629,3,1,87231.203125,5,1,72,14,13,59200,81400,0,0,0,1,28,0,1,1,0
"38206",1,0,1,12,4,8,1945,2783,51,0,2190,0,1,29363.19921875,21,4,72,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"38221",0,0,1,14,9,NA,1948,1797,48,57720,4374,1,0,87044.71875,22,2,63,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"38252",1,0,1,12,8,9,1944,0,52,0,2799,0,0,33892,30,4,75,NA,NA,NA,NA,NA,NA,0,3,3,0,0,1,0
"38255",0,0,1,16,7,11,1958,0,38,0,3902,2,1,53354,6,1,62,NA,NA,NA,NA,NA,NA,0,4,4,0,0,NA,1
"38263",0,0,1,17,6,10,1952,1900,44,68080,266,2,1,140600,13,2,63,12,12,NA,0,0,0,0,2,34,0,1,NA,1
"38268",1,0,1,13,11,11,1971,NA,25,0,2238,0,0,26085,NA,NA,NA,13,15,0,25900,0,0,0,1,29,1,0,NA,0
"38279",0,0,0,16,12,9,1966,191,30,1184,301,3,1,78441.4765625,2,3,66,NA,NA,NA,NA,NA,NA,0,3,35,1,0,NA,1
"38290",1,0,1,16,1,13,1967,2106,30,25900,1788,1,1,25974,3,1,71,NA,NA,NA,NA,NA,NA,0,3,19,0,1,1,0
"38312",1,0,1,9,4,9,1938,1920,58,74000,2892,0,1,81044.796875,29,3,68,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"38325",0,0,1,14,8,11,1957,1912,39,51356,1927,1,NA,151552,17,1,60,NA,NA,NA,NA,NA,NA,0,2,34,0,1,NA,1
"38340",0,0,1,12,8,10,1965,0,31,7400,6221,1,1,70637.4375,7,2,60,NA,NA,NA,NA,NA,NA,0,6,NA,0,0,NA,1
"38345",1,0,1,12,7,8,1948,2004,49,44400,6132,0,1,54789.6015625,27,3,70,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"38359",1,0,1,14,5,11,1960,2124,36,0,672,1,1,3620.080078125,7,2,72,17,17,18056,77700,0,0,0,2,12,0,1,1,0
"38367",0,0,1,16,10,12,1967,1477,29,34040,1688,0,0,42920,4,2,68,16,17,778332,0,0,0,0,4,4,0,1,1,0
"38371",0,0,1,17,6,NA,1952,2679,44,60680,5718,0,1,68746,24,1,67,NA,NA,NA,NA,NA,NA,0,6,NA,0,1,NA,1
"38390",0,0,1,12,1,11,1954,0,43,0,1977,1,1,66600,1,1,64,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"38421",0,0,1,12,3,8,1958,0,39,0,2124,5,NA,52627.734375,9,3,62,12,12,49868.6015625,30280.80078125,0,0,0,2,12,0,0,NA,1
"38443",0,0,1,12,7,12,1959,0,37,0,3569,1,1,63936,1,1,68,NA,NA,NA,NA,NA,NA,0,3,16,0,0,NA,1
"38463",1,0,1,15,4,13,1949,2475,48,340400,6256,3,1,350760,18,1,68,NA,NA,NA,NA,NA,NA,0,2,48,0,1,1,0
"38478",1,0,1,12,1,8,1963,1830,34,62160,4360,2,1,74000,4,3,67,NA,10,0,NA,NA,0,0,1,20,0,1,1,0
"38493",0,0,1,12,11,12,1967,2065,29,22198.51953125,6219,1,NA,29600,3,1,67,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"38498",0,0,1,14,2,11,1942,0,55,0,3479,0,NA,152906.203125,NA,NA,64,NA,NA,NA,NA,NA,NA,0,4,36,0,1,NA,1
"38504",1,0,0,13,9,13,1943,2080,53,37000,3109,0,1,82880,24,5,67,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"38505",1,0,1,12,7,8,1966,2160,30,20720,1651,0,0,20720,3,1,NA,9,NA,NA,13447.2802734375,0,NA,0,3,41,0,1,1,0
"38507",1,0,1,17,7,11,1964,2020,32,37429.19921875,2084,2,1,39057.19921875,7,2,70,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"38527",0,0,1,16,4,10,1960,400,36,8880,1265,0,NA,186480,16,1,63,NA,NA,NA,NA,NA,NA,0,6,NA,0,0,NA,1
"38538",0,0,1,12,12,10,1954,960,42,9620,2573,0,NA,87616,10,4,63,10,12,59200,0,0,0,0,1,37,0,0,NA,1
"38543",0,1,0,17,11,11,1958,2000,38,69746.4765625,4718,2,1,116042.359375,14,2,67,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"38546",0,0,1,17,9,12,1954,1696,42,32232.919921875,1406,2,1,108111.0390625,12,2,68,NA,NA,NA,NA,NA,NA,0,4,36,0,1,NA,1
"38555",0,0,1,12,5,9,1967,1800,29,34780,2962,1,1,71827.359375,2,1,66,NA,NA,NA,NA,NA,NA,0,3,23,0,1,NA,1
"38570",0,0,1,14,9,13,1948,2024,48,82880,3301,1,0,83294.3984375,20,2,64,NA,12,0,NA,NA,0,0,4,4,0,1,1,0
"38571",0,0,1,12,4,9,1949,1581,47,12284,3413,0,1,69207.7578125,5,2,70,NA,NA,NA,NA,NA,NA,0,1,37,0,1,NA,1
"38581",1,1,0,8,6,8,1943,2259,53,14800,691,0,1,37710.3984375,24,4,69,NA,NA,NA,NA,NA,NA,0,3,3,0,1,1,0
"38590",1,0,1,12,1,11,1955,2448,42,71040,1526,0,1,130411.6796875,12,1,71,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"38603",1,0,1,17,10,12,1937,2940,59,778332,25,0,1,830132,25,1,72,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"38607",0,0,0,14,4,11,1969,1888,27,29600,2817,1,1,81400,3,2,68,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"38609",1,0,1,12,8,9,1964,2047,32,26048,4095,0,0,26048,6,1,72,12,12,88800,19240,0,0,0,4,4,0,1,1,0
"38615",1,0,1,13,10,NA,1946,2244,50,100640,3303,0,0,102194,26,2,69,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"38620",1,0,1,13,12,11,1951,NA,46,0,4072,2,NA,25752,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,2,21,0,0,0,0
"38623",1,1,0,12,8,8,1946,2300,50,86608.1171875,3257,0,1,124126.1171875,20,3,68,NA,NA,NA,NA,NA,NA,0,2,12,0,1,1,0
"38624",0,0,1,12,5,8,1951,2260,46,19240,6311,0,0,19980,29,3,67,9,NA,NA,0,0,NA,0,3,32,0,1,1,0
"38650",1,0,1,17,10,9,1945,2116,51,78440,3699,1,1,137788,21,1,71,NA,NA,NA,NA,NA,NA,0,2,26,0,1,1,0
"38655",1,0,1,16,9,11,1958,2672,38,14800,3648,3,1,10360,8,2,75,NA,NA,NA,NA,NA,NA,0,3,39,0,1,1,0
"38657",1,0,1,16,1,13,1940,0,57,0,2807,0,0,29497.880859375,27,4,72,12,NA,NA,0,0,NA,0,1,18,0,0,1,0
"38669",1,0,1,16,3,12,1942,1920,55,111296,4103,0,1,205869.484375,24,2,72,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"38682",1,0,1,16,4,10,1959,1960,37,71040,1742,2,1,457408.8125,12,1,73,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"38742",1,0,1,17,3,11,1956,1750,40,47064,1430,1,1,124024,11,3,68,17,NA,NA,53280,0,NA,0,3,41,0,1,1,0
"38761",1,0,1,16,10,6,1964,2570,32,39220,4585,0,0,39220,7,2,71,12,NA,NA,0,0,NA,0,3,50,0,1,1,0
"38765",1,0,1,10,9,7,1940,0,56,0,2777,0,1,16072.7998046875,34,3,68,NA,NA,NA,NA,NA,NA,0,2,13,0,0,1,0
"38775",1,0,1,10,8,9,1937,2940,59,13320,1382,0,1,15244,30,1,71,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"38778",0,0,1,12,12,8,1960,3224,36,26373.599609375,5413,3,0,115173.6015625,15,1,63,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"38779",1,0,1,14,7,13,1951,1770,45,59940,2547,0,1,91464,15,3,72,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"38785",1,0,1,12,10,13,1961,2500,35,45880,711,0,0,82880,5,2,69,12,14,0,7696,0,0,0,2,21,0,1,1,0
"38802",0,0,1,13,12,11,1968,1491,28,27380,1633,1,NA,59496,4,1,62,12,11,0,28120,0,0,0,3,17,0,1,NA,1
"38811",0,0,1,17,9,12,1936,0,60,0,5704,0,1,188685.203125,19,5,63,NA,NA,NA,NA,NA,NA,0,1,31,0,0,NA,1
"38827",0,0,1,12,2,7,1954,1200,43,29230,5792,0,1,134648.921875,12,2,62,NA,NA,NA,NA,NA,NA,0,2,12,0,1,NA,1
"38868",0,0,1,11,11,12,1953,2920,43,65120,158,0,0,88800,12,3,63,8,8,0,0,0,0,0,4,4,0,1,1,0
"38870",0,0,1,13,1,9,1940,0,57,0,167,0,NA,112972.84375,25,3,64,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"38876",0,1,0,13,4,12,1960,120,36,3552,2257,2,0,8085.38818359375,7,3,NA,NA,NA,NA,NA,NA,NA,0,2,24,0,0,1,0
"38889",0,0,1,16,5,12,1952,3120,44,81400,1489,3,0,108928,2,1,65,13,10,142080,11840,0,0,0,3,10,0,1,1,0
"38894",1,0,1,13,2,11,1971,2128,26,42920,6346,0,0,47360,8,2,74,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"38906",0,0,1,14,12,11,1963,0,33,0,1863,1,1,99051.9609375,14,2,68,NA,NA,NA,NA,NA,NA,0,3,9,0,0,NA,1
"38929",0,0,1,12,5,10,1955,1936,41,34040,719,1,1,116920,11,2,65,NA,NA,NA,NA,NA,NA,0,4,46,0,1,NA,1
"38932",1,0,1,17,10,13,1948,2450,48,133200,1307,0,1,187220,18,3,69,NA,NA,NA,NA,NA,NA,0,1,20,0,1,1,0
"38935",0,0,1,17,1,NA,1972,2626,25,37000,6209,0,0,37044.3984375,7,1,72,17,17,149332,51800,0,0,0,3,42,0,1,1,0
"38969",0,0,1,12,3,11,1936,816,60,8261.3603515625,2633,0,1,32533.359375,24,2,68,NA,NA,NA,NA,NA,NA,0,4,49,0,1,NA,1
"38990",1,0,1,17,10,12,1945,3120,51,148000,3114,1,1,227328,21,2,71,14,NA,NA,48840,0,NA,0,1,29,0,1,1,0
"39004",1,0,1,12,5,9,1938,1907,58,0,5369,0,1,62160,27,4,69,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"39008",0,0,1,16,3,10,1956,1470,40,53280,993,0,0,53576,20,1,66,12,NA,NA,17760,0,NA,0,3,42,0,1,1,0
"39046",0,0,1,16,5,11,1965,1170,31,41440,3179,3,1,103896,6,1,67,17,NA,NA,407,0,NA,0,1,20,0,1,NA,1
"39056",1,0,1,12,4,13,1968,2304,28,59200,421,2,1,92056,6,1,77,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"39058",1,0,1,12,2,9,1943,2600,54,0,2550,1,1,65120,24,2,69,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"39066",0,0,1,13,11,11,1948,3640,48,207200,5681,0,0,209124,17,3,66,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"39078",1,0,1,16,8,11,1969,2160,27,31820,1633,1,1,59496,4,2,70,NA,NA,NA,NA,NA,NA,0,3,17,0,1,1,0
"39084",0,0,1,14,9,11,1953,0,43,0,292,0,NA,63349.921875,13,4,71,12,15,20720,0,0,0,0,3,39,0,0,NA,1
"39085",1,0,1,12,10,10,1957,2244,39,82880,719,1,1,116920,8,2,72,12,NA,NA,0,0,NA,0,4,46,0,1,1,0
"39091",1,0,1,17,6,11,1940,347,56,99160,1733,0,1,123728,26,1,71,NA,NA,NA,NA,NA,NA,0,3,9,0,0,1,0
"39094",1,0,1,12,6,10,1965,1980,31,56684,5381,0,1,109178.1171875,12,1,77,17,17,0,6808,0,0,0,2,34,0,1,1,0
"39097",0,0,1,12,3,12,1957,2084,39,30636,2071,2,1,85840,10,2,62,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"39111",0,0,1,6,10,10,1955,1743,41,22940,418,1,NA,75320.15625,7,4,66,6,8,0,0,0,0,0,2,13,0,1,NA,1
"39145",1,0,1,17,9,10,1950,1504,46,56240,4734,1,1,117364,16,1,70,12,12,0,8878.51953125,0,0,0,4,5,0,1,1,0
"39181",1,0,1,17,12,9,1959,2928,37,284350.90625,4020,2,1,289781.03125,NA,2,72,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"39184",1,0,1,16,6,11,1946,0,50,0,1149,0,1,43660,11,5,71,NA,NA,NA,NA,NA,NA,0,2,14,0,0,1,0
"39197",1,0,1,14,4,12,1955,2210,42,21460,5377,0,0,21460,7,2,71,13,12,22200,NA,0,0,0,3,32,0,1,1,0
"39198",1,0,1,12,4,11,1947,2500,49,0,1699,0,1,94720,20,2,72,NA,NA,NA,NA,NA,NA,0,3,17,0,1,1,0
"39201",1,0,1,7,1,10,1941,2940,55,38835.19921875,1376,0,1,114512.0390625,25,5,68,6,NA,NA,0,0,NA,0,3,45,0,1,1,0
"39223",1,0,1,12,8,8,1967,1813,29,29600,3522,0,0,52195.16015625,NA,1,69,12,12,42846,16280,0,0,0,2,26,0,1,1,0
"39229",1,0,1,13,8,13,1953,2205,43,76960,710,1,1,98627.9765625,13,2,74,12,14,0,7696,0,0,0,2,21,0,1,1,0
"39231",0,0,1,16,5,10,1945,0,51,0,2478,0,1,85840,7,3,66,NA,NA,NA,NA,NA,NA,0,4,43,0,0,NA,1
"39240",0,0,1,12,8,13,1936,0,60,0,2415,0,1,106101.203125,6,2,64,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,1
"39270",1,0,0,13,6,7,1970,2336,26,148,1334,0,0,148,5,1,67,8,NA,NA,0,0,NA,0,4,4,0,1,1,0
"39291",1,0,1,16,8,11,1948,980,48,248526.046875,566,1,1,258960.046875,18,1,71,12,10,0,0,0,0,0,4,2,0,1,1,0
"39292",0,0,1,12,3,8,1963,2124,34,22200,4321,2,0,22200,16,3,NA,NA,NA,NA,NA,NA,NA,0,3,41,0,0,1,0
"39302",0,0,0,16,12,10,1944,1785,52,19025.400390625,592,0,1,50851.3203125,NA,2,59,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"39308",0,0,1,16,3,11,1964,3224,33,88800,4396,2,NA,120398,NA,2,NA,12,8,0,0,0,0,0,3,47,0,1,NA,1
"39321",0,0,1,12,3,NA,1950,1880,47,56536,5844,2,1,96200,26,2,63,12,NA,NA,0,0,NA,0,2,22,0,1,NA,1
"39336",0,0,1,12,11,11,1966,1912,30,25752,2704,1,0,28060.623046875,7,2,61,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"39352",1,0,1,17,8,13,1970,2473,26,34040,1656,1,1,35520,7,1,73,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"39389",0,0,1,12,8,10,1954,1300,42,17760,360,1,1,53280,15,2,62,NA,NA,NA,NA,NA,NA,0,3,45,0,1,NA,1
"39397",1,0,1,6,8,10,1939,0,57,0,5035,0,0,11970.240234375,7,5,NA,NA,NA,NA,NA,NA,NA,0,3,3,0,0,1,0
"39417",0,0,1,12,7,11,1950,2000,46,26640,3470,0,1,59348,13,3,66,NA,NA,NA,NA,NA,NA,0,2,14,0,1,NA,1
"39425",1,0,1,16,1,12,1949,1944,48,31080,1172,1,1,99775.6796875,26,3,72,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"39433",1,1,0,11,4,8,1962,NA,34,NA,4178,3,NA,5268.7998046875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,10,NA,NA,NA,0
"39435",1,0,1,11,11,7,1959,2640,37,40256,972,3,1,51232.58203125,7,3,72,8,12,0,0,0,0,0,2,34,0,1,1,0
"39449",1,0,1,16,3,10,1957,2500,40,127280,4461,3,1,127724,10,1,68,NA,NA,NA,NA,NA,NA,0,3,9,0,1,1,0
"39487",0,0,1,16,11,11,1966,0,30,0,3489,2,1,153920,1,1,66,12,16,0,27380,0,0,0,3,3,1,0,NA,1
"39514",1,0,1,16,8,10,1947,3120,49,38480,3664,0,0,88800,20,1,72,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"39518",0,0,1,10,6,8,1943,805,53,13447.2802734375,1650,0,0,63947.83984375,18,4,69,NA,NA,NA,NA,NA,NA,0,3,41,0,1,1,0
"39521",0,0,1,12,7,13,1936,1666,60,26640,2417,0,1,81400,14,3,66,NA,NA,NA,NA,NA,NA,0,3,35,0,1,NA,1
"39522",0,0,1,17,10,13,1956,1040,40,44400,1448,0,NA,48248,NA,4,63,13,17,2960,0,0,0,0,3,32,0,0,NA,1
"39540",0,1,0,17,9,12,1939,NA,57,0,4473,0,NA,75869.2421875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,0,0,NA,0
"39543",0,0,1,14,10,8,1963,2088,33,23845.759765625,471,1,1,71877.6796875,3,1,70,12,14,19536,0,0,0,0,4,4,0,1,NA,1
"39547",0,1,0,14,1,3,1972,1824,25,22200,2324,2,1,60680,3,3,63,13,NA,NA,0,0,NA,0,3,42,0,1,NA,1
"39574",0,0,1,12,11,8,1958,1520,38,16724,1950,2,0,25145.19921875,15,3,63,8,8,0,0,0,0,0,2,14,0,1,1,0
"39589",1,0,1,14,8,12,1937,0,59,0,238,0,1,59348,30,4,70,NA,NA,NA,NA,NA,NA,0,3,9,0,0,1,0
"39601",1,0,1,8,4,7,1961,0,35,0,1618,2,1,16617.439453125,6,4,69,NA,NA,NA,NA,NA,NA,0,2,13,0,0,1,0
"39609",1,0,0,12,6,7,1955,3750,41,65120,962,2,1,74000,11,2,71,NA,NA,NA,NA,NA,NA,0,4,4,0,1,1,0
"39622",0,0,1,15,1,NA,1949,0,48,1110,2529,0,1,7548,15,2,63,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"39623",1,0,1,12,1,12,1953,182,43,14800,2095,0,0,28208.80078125,11,4,74,12,12,11188.7998046875,0,0,0,0,5,51,0,0,1,0
"39627",0,0,1,13,4,11,1964,520,32,3996,2459,0,0,66156,14,3,NA,NA,NA,NA,NA,NA,NA,0,1,6,0,1,NA,1
"39637",0,0,1,14,7,10,1959,1600,37,81400,5712,2,NA,173012,6,3,NA,NA,14,NA,NA,NA,NA,0,4,4,0,1,NA,1
"39641",0,0,1,13,5,11,1960,1807,36,25160,4874,2,1,71780,7,2,64,NA,NA,NA,NA,NA,NA,0,3,9,0,1,NA,1
"39651",0,0,1,13,1,11,1940,1920,58,60680,4485,0,1,109446,18,5,NA,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"39656",0,0,1,12,10,10,1953,1920,43,59200,1188,1,1,82140,13,2,67,12,12,0,32560,0,0,0,2,34,0,1,NA,1
"39672",1,NA,NA,12,1,12,1963,NA,34,NA,3416,0,0,15392,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,19,NA,NA,NA,0
"39702",1,0,1,14,12,10,1948,2108,48,56240,176,0,1,74592,18,2,72,10,12,0,0,0,0,0,1,20,0,0,1,0
"39734",0,0,1,10,6,10,1972,0,25,0,6095,1,1,63785.0390625,NA,NA,64,NA,NA,NA,NA,NA,NA,0,1,20,0,0,NA,1
"39746",1,0,1,12,12,11,1967,2016,29,41440,1981,2,1,83914.5234375,5,3,66,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"39769",0,0,1,17,3,10,1945,1287,51,109520,845,0,1,236800,21,2,66,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"39780",1,1,0,12,5,7,1956,1920,40,45880,4691,1,1,83176,10,4,70,11,NA,NA,1480,0,NA,0,2,13,0,1,1,0
"39798",1,0,1,13,9,12,1940,NA,56,NA,3753,1,NA,314797.46875,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,17,0,1,NA,0
"39816",1,0,1,12,8,11,1952,2000,44,38480,116,3,1,56240,23,1,76,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"39829",0,0,1,12,12,9,1938,2400,58,22275.48046875,2005,0,0,22275.48046875,7,2,68,NA,NA,NA,NA,NA,NA,0,4,36,0,1,1,0
"39848",1,0,1,16,12,10,1952,2205,44,97680,839,3,1,128316,14,2,66,12,NA,NA,0,0,NA,0,2,12,0,1,1,0
"39849",0,0,1,12,9,9,1955,2000,41,0,4322,1,NA,152736,4,1,63,11,9,0,0,0,0,0,2,13,0,1,NA,1
"39853",0,0,1,12,6,12,1967,2365,29,32262.51953125,2622,0,1,50271.16015625,6,3,NA,16,16,65860,68080,0,0,0,4,4,0,1,NA,1
"39862",0,0,1,12,11,9,1965,1280,31,8880,3503,2,NA,83791.046875,5,3,69,12,NA,NA,35074.51953125,0,NA,0,3,41,0,1,NA,1
"39865",0,0,1,12,12,10,1951,1944,45,16724,1374,0,NA,55248.3984375,24,2,66,12,NA,NA,0,0,NA,0,2,40,0,1,NA,1
"39883",0,0,1,15,12,9,1955,1907,41,41440,1851,2,1,100640,10,2,65,NA,NA,NA,NA,NA,NA,0,3,23,0,1,NA,1
"39886",1,0,1,15,6,11,1965,2500,31,66600,1370,4,1,111777,2,2,72,11,14,0,59200,0,0,0,2,15,0,1,1,0
"39887",0,0,1,14,10,10,1961,2450,35,33300,4338,3,1,106708,6,4,67,NA,NA,NA,NA,NA,NA,0,2,26,0,1,NA,1
"39891",0,0,1,12,9,9,1960,770,36,14786.6796875,2902,3,1,36252.6015625,7,2,63,NA,NA,NA,NA,NA,NA,0,3,3,0,0,NA,1
"39904",0,0,1,12,12,10,1965,1560,31,5920,1832,2,1,40594.921875,5,1,64,NA,NA,NA,NA,NA,NA,0,2,26,0,1,NA,1
"39916",0,0,1,12,8,8,1959,0,37,0,678,0,0,10656,6,3,63,9,11,0,0,0,0,0,1,37,0,0,1,0
"39917",1,1,0,12,11,7,1956,2025,40,41440,1849,0,0,42624,12,3,74,10,11,1480,7104,0,0,0,3,3,0,1,1,0
"39942",0,0,1,17,10,10,1953,0,43,0,866,3,NA,33476.50390625,12,5,63,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"39951",0,0,1,12,2,8,1953,272,44,1184,5798,2,NA,135124,24,1,NA,NA,NA,NA,NA,NA,NA,0,1,37,0,0,NA,1
"39953",1,0,1,17,12,10,1959,3120,37,81400,5654,1,0,81918,NA,NA,73,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"39973",0,0,1,14,4,11,1940,4160,56,44400,3600,0,0,59200,4,2,67,NA,NA,NA,NA,NA,NA,0,2,26,0,0,1,0
"40005",0,0,1,16,5,10,1962,0,34,0,1350,3,1,155400,4,1,68,16,16,0,23657.80078125,0,0,0,2,26,0,0,NA,1
"40007",1,0,1,17,11,9,1951,1920,45,66600,3888,2,1,69856,15,2,70,12,NA,NA,32560,0,NA,0,3,42,0,1,1,0
"40016",1,0,1,16,9,10,1945,3000,51,102712,5386,1,1,141932,17,2,70,NA,NA,NA,NA,NA,NA,0,3,42,0,1,1,0
"40078",1,0,1,17,9,13,1953,2290,43,300440,3235,2,1,316720,13,2,70,NA,NA,NA,NA,NA,NA,0,1,29,0,1,1,0
"40141",1,0,1,13,1,10,1966,2174,31,29600,6077,2,1,53280,4,2,71,15,12,34040,1776,0,0,0,2,24,0,1,1,0
"40161",0,0,1,12,5,9,1950,1820,46,20720,2874,0,1,112480,15,1,67,NA,NA,NA,NA,NA,NA,0,2,22,0,1,NA,1
"40172",1,0,1,12,4,10,1970,2356,26,33744,1602,0,0,33921.6015625,6,2,73,11,12,22200,0,0,0,0,3,41,0,1,1,0
"40181",1,0,1,16,8,13,1948,2400,48,148000,4878,0,1,156880,18,1,73,12,13,0,0,0,0,0,2,15,0,1,1,0
"40189",0,0,1,16,5,11,1939,0,57,0,557,0,NA,152440,37,3,62,NA,NA,NA,NA,NA,NA,0,3,32,0,0,NA,1
"40192",0,0,1,12,12,7,1965,2750,31,1.48000001907349,1461,2,NA,51854.76171875,5,2,67,NA,NA,NA,NA,NA,NA,0,2,13,0,1,NA,1
