"","male","black","white","edu","birthmonth","h_sentscore1972","birthyear","hours","age","inc_labor","int_id","hhchildren","married","fam_inc","workexp","health","height","m_edu","f_edu","f_inc_labor","m_inc_labor","m_prison","f_prison","prison","region","state","study","works","head","wife"
"20176",1,0,1,16,5,11,1950,1974,46,57720,1914,1,1,94720,16,3,70,12,12,0,0,0,0,0,4,43,0,1,1,0
"20187",1,0,1,16,6,12,1957,2450,39,65860,1962,2,1,114848,10,4,70,13,16,3404,14626.83984375,0,0,0,3,16,0,1,1,0
"20192",1,0,1,17,7,11,1958,2540,38,125800,2826,3,1,182410,12,2,75,NA,NA,NA,NA,NA,NA,0,1,6,0,1,1,0
"20195",0,0,1,16,10,11,1957,0,39,0,2057,3,1,10734.4404296875,7,1,67,NA,12,0,NA,NA,0,0,4,11,0,0,NA,1
"20199",1,0,1,12,7,13,1960,2284,36,0,1448,0,1,48248,NA,1,72,NA,NA,NA,NA,NA,NA,0,3,32,0,1,1,0
"20205",0,0,1,14,11,11,1968,1994,28,47360,3390,1,1,59052,NA,3,NA,NA,NA,NA,NA,NA,NA,0,3,32,0,1,NA,1
"20207",1,0,1,12,2,12,1953,2304,44,76960,3742,2,1,124320,13,2,69,NA,NA,NA,NA,NA,NA,0,3,16,0,1,1,0
"20211",0,0,1,17,3,9,1954,3033,42,52525.19921875,3889,2,1,140120.484375,9,1,68,NA,NA,NA,NA,NA,NA,0,2,40,0,1,NA,1
"20220",1,0,1,17,6,11,1969,3000,27,85840,2401,0,0,136160,7,3,73,16,16,39812,25900,0,0,0,4,5,0,1,1,0
"20257",0,0,1,17,12,12,1952,2232,44,39960,5471,0,1,226514,18,1,68,NA,NA,NA,NA,NA,NA,0,1,6,0,1,NA,1
"20268",0,0,1,12,12,9,1957,1190,39,14800,1997,3,1,66888.6015625,5,2,64,12,12,0,0,0,0,0,1,20,0,1,NA,1
"20271",0,1,0,11,12,7,1939,1080,57,1480,1524,0,NA,32767.19921875,20,2,65,NA,NA,NA,NA,NA,NA,0,2,13,0,0,NA,1
"20283",1,0,1,16,4,11,1948,1836,48,69560,4213,0,1,133940,9,3,71,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"20290",0,0,1,13,2,8,1939,0,58,0,3895,2,1,62834.87890625,9,4,64,NA,NA,NA,NA,NA,NA,0,3,42,0,0,NA,1
"20313",1,0,1,12,10,10,1937,0,59,0,968,0,1,128612,29,1,72,NA,NA,NA,NA,NA,NA,0,4,2,0,0,1,0
"20317",1,0,1,17,1,12,1957,2295,40,259000,5053,4,1,260480,8,1,70,12,NA,NA,40404,0,NA,0,4,4,0,1,1,0
"20323",0,0,1,12,8,11,1957,2040,39,32560,3496,2,0,39960,19,2,62,NA,NA,NA,NA,NA,NA,0,1,6,0,1,1,0
"20385",0,0,1,14,9,11,1945,854,51,6649.64013671875,898,0,1,36977.80078125,5,2,64,NA,NA,NA,NA,NA,NA,0,1,31,0,1,NA,1
"20394",1,0,1,13,1,12,1949,2940,48,75480,1124,1,1,112776,18,2,67,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"20396",0,0,1,16,3,11,1961,1970,36,53280,2805,3,0,67858.5859375,17,4,72,NA,NA,NA,NA,NA,NA,0,2,13,0,1,1,0
"20444",1,0,1,12,8,11,1959,1936,37,39960,5223,2,1,59052,7,2,70,16,10,0,0,0,0,0,3,39,0,1,1,0
"20456",1,0,1,12,12,11,1942,2632,54,56240,4753,0,1,78884,24,2,68,NA,NA,NA,NA,NA,NA,0,2,14,0,1,1,0
"20471",0,0,1,14,5,9,1950,3997,46,23680,5378,2,1,100182.6796875,11,3,62,8,NA,NA,0,0,NA,0,2,15,0,1,NA,1
"20482",1,0,1,12,5,10,1967,2790,29,55648,3956,4,1,164940.078125,5,1,71,NA,NA,NA,NA,NA,NA,0,2,21,0,1,1,0
"20485",0,0,1,12,6,9,1958,1870,38,73704,2904,1,1,133781.640625,9,1,66,NA,6,0,NA,NA,0,0,2,21,0,1,NA,1
"20499",1,0,1,17,8,12,1938,2728,58,241240,3740,0,1,248039.125,28,1,72,NA,NA,NA,NA,NA,NA,0,2,13,0,0,1,0
"20500",1,0,1,14,2,8,1962,3500,35,46620,4334,2,1,61864,4,2,71,12,NA,NA,25900,0,NA,0,2,24,0,1,1,0
"20507",1,0,1,12,9,9,1962,2600,34,76960,5633,1,1,84360,10,2,73,NA,NA,NA,NA,NA,NA,0,1,31,0,1,1,0
"20516",0,0,1,14,11,10,1969,2277,27,38480,4379,0,1,79239.203125,6,2,64,12,17,90280,31080,0,0,0,2,14,0,1,NA,1
"20538",1,0,1,12,3,8,1959,2068,37,48100,1564,2,1,60680,7,3,73,NA,NA,NA,NA,NA,NA,0,2,15,0,1,1,0
"20551",0,0,1,12,3,8,1958,2040,38,23021.400390625,2156,2,NA,47885.3984375,2,1,NA,12,12,0,0,0,0,0,3,35,0,1,NA,1
"20567",1,0,1,10,1,13,1942,520,55,972.359985351562,2352,0,1,8822.2802734375,21,4,66,9,NA,NA,0,0,NA,0,2,26,0,0,1,0
"20574",0,0,1,16,6,9,1957,1808,39,48840,4277,1,1,183224,9,2,64,NA,NA,NA,NA,NA,NA,0,3,42,0,1,NA,1
"20580",1,0,1,12,12,11,1955,2104,41,39220,5001,1,0,39220,23,1,72,10,NA,NA,38480,0,NA,0,2,13,0,1,1,0
"20610",1,0,1,12,1,10,1966,1140,31,29663.640625,6140,3,0,52677.12109375,4,2,69,NA,NA,NA,NA,NA,NA,0,2,24,0,1,1,0
"20643",1,0,1,11,9,11,1957,3594,39,34040,3530,3,1,50320,9,1,72,13,10,8880,37000,0,0,0,3,23,0,1,1,0
"20660",0,0,1,17,11,11,1962,720,34,88800,1614,3,1,240352,6,1,67,16,17,38480,37000,0,0,0,4,4,0,1,NA,1
"20695",1,0,1,12,1,12,1946,1512,51,37000,4419,1,1,89910,21,3,68,NA,NA,NA,NA,NA,NA,0,2,34,0,1,1,0
"20696",0,0,1,17,9,10,1949,1176,47,56980,1827,2,1,65889.6015625,14,1,64,17,NA,NA,0,0,NA,0,3,17,0,1,NA,1
"20700",1,0,1,15,10,11,1946,1996,50,56240,5419,1,1,118197.2421875,20,2,70,NA,NA,NA,NA,NA,NA,0,3,45,0,1,1,0
"20703",1,0,1,17,2,11,1954,2370,43,76368,2326,1,1,152629.4375,14,1,70,17,NA,NA,407,0,NA,0,1,20,0,1,1,0
"20704",0,0,1,12,1,8,1955,0,42,0,389,4,1,15986.9599609375,5,2,64,8,7,0,0,0,0,0,2,14,0,0,NA,1
"20708",0,0,1,13,1,11,1939,1654,58,32890.0390625,4708,0,NA,84217.921875,25,2,62,NA,NA,NA,NA,NA,NA,0,3,19,0,1,NA,1
"20709",0,0,1,16,1,9,1947,1824,50,35520,5132,0,1,84300.796875,32,2,64,NA,NA,NA,NA,NA,NA,0,2,15,0,1,NA,1
"20722",1,0,1,12,4,9,1955,2600,41,26640,584,2,1,48944.7578125,23,3,65,NA,NA,NA,NA,NA,NA,0,1,37,0,1,1,0
"20730",0,0,1,14,9,11,1956,462,40,2960,5203,3,1,46975.19921875,7,3,60,12,NA,NA,14800,0,NA,0,3,42,0,1,NA,1
"20745",1,0,0,16,10,10,1971,2500,25,68080,1786,0,0,68228,4,1,67,16,17,0,1110,0,0,0,2,15,0,1,1,0
"20752",1,0,1,12,2,10,1956,1640,41,0,1573,1,1,22599.599609375,18,2,73,13,NA,NA,10636.759765625,0,NA,0,2,15,0,1,1,0
"20754",0,0,1,16,8,12,1949,1960,47,88800,5379,0,NA,124909.0390625,12,1,64,NA,NA,NA,NA,NA,NA,0,4,4,0,1,NA,1
"20756",1,0,1,17,12,9,1953,2180,43,0,6166,0,0,444,13,1,70,2,8,0,14356,0,0,0,1,31,0,1,1,0
"20761",0,0,1,8,7,10,1939,833,58,16280,6298,0,1,66481.6015625,18,1,70,NA,NA,NA,NA,NA,NA,0,1,18,0,1,NA,1
"20769",0,0,1,12,3,10,1955,1560,42,35995.078125,4383,2,1,120350.640625,12,2,62,12,16,44400,0,0,0,0,3,19,0,1,NA,1
"20773",0,0,1,17,3,7,1955,1907,42,74000,2974,0,0,91760,12,2,65,11,12,37000,0,0,0,0,2,22,0,1,1,0
"20801",1,0,1,11,11,10,1941,2250,55,53280,4488,0,1,85407.84375,25,2,71,NA,NA,NA,NA,NA,NA,0,4,43,0,1,1,0
"20835",1,0,1,10,2,10,1963,2580,34,41440,2319,3,1,60270.0390625,5,3,73,11,9,6068,0,0,0,0,2,13,0,1,1,0
"20845",1,0,1,11,11,11,1943,0,53,0,6332,0,NA,21742.369140625,NA,NA,67,NA,NA,NA,NA,NA,NA,0,4,36,0,0,NA,1
"20852",1,1,0,17,12,4,1955,2020,41,62160,8,0,0,62160,11,4,70,NA,NA,NA,NA,NA,NA,0,3,1,0,1,1,0
