"","male","black","white","edu","hours","age","inc_labor","int_id","hhchildren","married","fam_inc"
"53165",1,0,1,14,3060,33,46080,3859,2,1,88608
"53190",0,0,1,17,1912,44,69120,3322,0,1,123648
"53207",1,0,1,16,5028,27,100684.796875,6964,0,0,100684.796875
"53208",1,0,1,12,2695,25,60864,402,1,1,83904
"53245",1,0,1,15,1983,32,35919.359375,3881,3,1,86231.0390625
"53253",0,0,1,15,1902,41,25920,6364,2,1,78528
"53295",0,0,1,17,0,39,0,5771,2,1,141264
"53333",0,0,1,12,1560,42,31601.279296875,3101,0,0,31601.279296875
"53334",1,0,1,12,3315,46,144000,1771,0,0,157248
"53362",1,0,1,17,2047,59,71040,6019,2,1,98112
"53381",0,0,1,16,0,59,0,2781,0,1,1728000
"53408",1,0,1,12,2570,60,21120,1825,0,1,50496
"53422",1,0,1,16,1920,48,16243.2001953125,1097,3,1,65280
"53424",0,1,0,16,1230,55,44327.0390625,2233,0,0,96483.84375
"53456",1,0,1,12,3759,35,265776,5205,1,1,357120
"53459",0,0,1,12,1496,35,10176,2813,2,1,61632
"53466",0,0,1,16,1856,43,57600,3554,1,1,166091.515625
"53473",0,0,1,16,2755,39,59520,1829,0,0,60096
